"";"x"
"1";"https://www.vlr.gg/164419/anonymo-mentos-vs-acend-challengers-league-east-surge-split-1-w1"
"2";"https://www.vlr.gg/164418/diamant-esports-vs-nom-esports-challengers-league-east-surge-split-1-w1"
"3";"https://www.vlr.gg/164417/rapid-ninjas-vs-anorthosis-famagusta-esports-challengers-league-east-surge-split-1-w1"
"4";"https://www.vlr.gg/164416/b8-esports-vs-zero-tenacity-challengers-league-east-surge-split-1-w1"
"5";"https://www.vlr.gg/165862/albion-vs-murash-gaming-challengers-league-japan-split-1-oq-group-a-ubsf"
"6";"https://www.vlr.gg/165907/scaroos-vs-hero-zero-anubis-challengers-league-indonesia-split-1-opening-b"
"7";"https://www.vlr.gg/165908/hike-digital-esports-vs-kaze-obelisk-challengers-league-indonesia-split-1-opening-b"
"8";"https://www.vlr.gg/165859/murash-gaming-vs-style-challengers-league-japan-split-1-oq-group-a-ubqf"
"9";"https://www.vlr.gg/165902/arf-team-vs-le-crapaud-challengers-league-indonesia-split-1-opening-a"
"10";"https://www.vlr.gg/165903/pwyh-vs-dominatus-challengers-league-indonesia-split-1-opening-a"
"11";"https://www.vlr.gg/165157/rat-attack-vs-dark-ratio-challengers-league-north-america-lr5"
"12";"https://www.vlr.gg/165131/disguised-vs-oxygen-esports-challengers-league-north-america-ubsf"
"13";"https://www.vlr.gg/165156/oresports-vs-the-silk-road-challengers-league-north-america-lr5"
"14";"https://www.vlr.gg/165130/the-nation-vs-breakthru-challengers-league-north-america-ubsf"
"15";"https://www.vlr.gg/165152/oresports-vs-happy2bhere-challengers-league-north-america-lr4"
"16";"https://www.vlr.gg/165153/the-silk-road-vs-the-ganaccis-challengers-league-north-america-lr4"
"17";"https://www.vlr.gg/165154/nearest-airport-vs-rat-attack-challengers-league-north-america-lr4"
"18";"https://www.vlr.gg/165155/nsic-vs-dark-ratio-challengers-league-north-america-lr4"
"19";"https://www.vlr.gg/164415/nom-esports-vs-anorthosis-famagusta-esports-challengers-league-east-surge-split-1-w1"
"20";"https://www.vlr.gg/164414/zero-tenacity-vs-rapid-ninjas-challengers-league-east-surge-split-1-w1"
"21";"https://www.vlr.gg/164413/b8-esports-vs-cyber-wolves-esports-challengers-league-east-surge-split-1-w1"
"22";"https://www.vlr.gg/164684/onyx-ravens-vs-nasr-esports-masters-pro-league-season-3-main-event-ubf"
"23";"https://www.vlr.gg/164412/anonymo-mentos-vs-enterprise-esports-challengers-league-east-surge-split-1-w1"
"24";"https://www.vlr.gg/164411/acend-vs-diamant-esports-challengers-league-east-surge-split-1-w1"
"25";"https://www.vlr.gg/165151/99-strength-vs-dark-ratio-challengers-league-north-america-lr3"
"26";"https://www.vlr.gg/165148/happy2bhere-vs-moon-raccoons-challengers-league-north-america-lr3"
"27";"https://www.vlr.gg/165150/rat-attack-vs-jiliboo-challengers-league-north-america-lr3"
"28";"https://www.vlr.gg/165129/oxygen-esports-vs-nearest-airport-challengers-league-north-america-ubqf"
"29";"https://www.vlr.gg/165149/the-ganaccis-vs-mct-esports-challengers-league-north-america-lr3"
"30";"https://www.vlr.gg/165127/oresports-vs-breakthru-challengers-league-north-america-ubqf"
"31";"https://www.vlr.gg/165126/the-nation-vs-the-silk-road-challengers-league-north-america-ubqf"
"32";"https://www.vlr.gg/165128/nsic-vs-disguised-challengers-league-north-america-ubqf"
"33";"https://www.vlr.gg/165142/where-is-fullerton-vs-the-ganaccis-challengers-league-north-america-lr2"
"34";"https://www.vlr.gg/165146/soniqs-vs-99-strength-challengers-league-north-america-lr2"
"35";"https://www.vlr.gg/165147/dark-ratio-vs-division-0-challengers-league-north-america-lr2"
"36";"https://www.vlr.gg/165118/dark-ratio-vs-the-nation-challengers-league-north-america-uro16"
"37";"https://www.vlr.gg/165120/oresports-vs-jiliboo-challengers-league-north-america-uro16"
"38";"https://www.vlr.gg/165124/oxygen-esports-vs-mochi-fanclub-challengers-league-north-america-uro16"
"39";"https://www.vlr.gg/165119/the-silk-road-vs-soniqs-challengers-league-north-america-uro16"
"40";"https://www.vlr.gg/165122/nsic-vs-mct-esports-challengers-league-north-america-uro16"
"41";"https://www.vlr.gg/165123/disguised-vs-where-is-fullerton-challengers-league-north-america-uro16"
"42";"https://www.vlr.gg/165121/breakthru-vs-team-reckaroo-challengers-league-north-america-uro16"
"43";"https://www.vlr.gg/165125/happy2bhere-vs-nearest-airport-challengers-league-north-america-uro16"
"44";"https://www.vlr.gg/165102/dark-ratio-vs-perfect-world-challengers-league-north-america-uro32"
"45";"https://www.vlr.gg/165103/dmg-vs-the-nation-challengers-league-north-america-uro32"
"46";"https://www.vlr.gg/165104/moon-raccoons-vs-the-silk-road-challengers-league-north-america-uro32"
"47";"https://www.vlr.gg/165105/soniqs-vs-qor-challengers-league-north-america-uro32"
"48";"https://www.vlr.gg/165106/oresports-vs-girl-kissers-challengers-league-north-america-uro32"
"49";"https://www.vlr.gg/165107/the-ganaccis-vs-jiliboo-challengers-league-north-america-uro32"
"50";"https://www.vlr.gg/165108/breakthru-vs-cosmic-divide-challengers-league-north-america-uro32"
"51";"https://www.vlr.gg/165109/basilisk-vs-team-reckaroo-challengers-league-north-america-uro32"
