;time1RND;time1R;time1ACS;time1KAST;time1KD;time1ADR;time1KPR;time1APR;time1FKPR;time1FDPR;time1K;time1D;time1A;time1FK;time1FD;time2RND;time2R;time2ACS;time2KAST;time2KD;time2ADR;time2KPR;time2APR;time2FKPR;time2FDPR;time2K;time2D;time2A;time2FK;time2FD
1;1228,998;1,036;210,414;71,8;1,06;136,756;0,732;0,288;0,094;0,09;895,858;842,568;329,248;112,414;108,088;1012,778;1,056;209,344;72,2;1,094;136,342;0,726;0,324;0,098;0,086;722,32;640,204;369,4;79,846;63,248
2;918,572;1,012;209,6;70,6;1,056;134,786;0,738;0,248;0,11;0,1;697,792;629,998;228,226;103,424;81,858;730,636;1,02;211,762;71;1,084;138,688;0,74;0,258;0,108;0,098;552,568;491,344;200,556;68,268;54,364
3;169,052;1,04;213,218;72,6;1,044;140,388;0,74;0,324;0,102;0,098;127,592;120,548;54,548;17,896;16,396;523,87;0,996;203,216;69;1,03;132,084;0,708;0,288;0,1;0,094;387,346;359,49;147,752;54,346;48,52
4;245,16;0,98;202,286;68,8;0,95;131,264;0,688;0,312;0,102;0,102;170,444;179,314;85,272;23,852;25,646;222,302;0,942;196,528;70,2;0,908;128,688;0,674;0,338;0,1;0,102;153,436;165,282;67,886;22,042;22,528
5;645,064;1,024;215,62;71,4;1,066;138,49;0,748;0,276;0,114;0,102;482,64;443,338;189,962;69,51;64,52;468,136;0,982;214,776;70,8;1;136,334;0,738;0,264;0,124;0,122;372,418;354,496;118,606;69,438;66,744
6;381,18;1,018;211,534;71,6;1,032;137,54;0,736;0,256;0,12;0,112;279,996;273,528;92,088;48,31;45,39;1002,022;0,994;211,52;69,2;1,086;137,95;0,74;0,258;0,102;0,094;734,61;642,752;284,026;74,858;64,75
7;467,992;1,03;212,122;70,2;1,122;137,076;0,738;0,288;0,098;0,084;350,006;309,536;132,324;47,88;39,38;1127,19;1,034;222,11;68;1,158;142,084;0,776;0,28;0,118;0,1;919,626;758,558;277,552;157,416;116,41
8;283,386;0,942;190,568;69,4;0,914;122,942;0,658;0,28;0,094;0,102;193,594;199,592;79,808;26,944;28,948;407,336;1,056;214,416;71,6;1,092;139,102;0,75;0,29;0,108;0,098;286,946;274,812;145,596;36,242;35,11
9;717,37;1,01;207,764;70,8;1,034;135,042;0,726;0,266;0,112;0,106;522,56;503,954;194,6;83,798;80,592;199,526;0,948;206,188;68,6;0,948;134,442;0,708;0,3;0,104;0,102;147,12;147,9;59,296;22,014;21,324
10;655,06;0,946;188,444;69,2;0,938;125,936;0,654;0,296;0,076;0,094;424,376;444,152;233,284;40,43;44,96;681,69;1,02;209,192;72;1,038;134,214;0,732;0,286;0,104;0,096;508,826;483,7;195,01;75,468;65,282
11;986,338;1,006;203,882;70,8;1,004;132,512;0,708;0,274;0,096;0,1;694,868;692,918;268,258;91,196;94,504;1584,368;1,058;207,282;72,4;1,114;134,87;0,732;0,246;0,102;0,092;1193,36;1037,802;384,09;185,302;157,386
12;1796,052;1,088;220,08;73,2;1,14;140,816;0,76;0,288;0,116;0,096;1398,71;1186,142;491,66;224,95;177,53;832,082;1,04;227,818;71,6;1,108;144,54;0,802;0,232;0,138;0,116;678,81;599,04;186,536;115,642;88,694
13;236,09;0,972;200,52;70;0,978;129,376;0,698;0,302;0,098;0,098;173,79;168,458;57,53;27,548;25,874;594,362;1,032;215,434;71,4;1,058;136,804;0,748;0,252;0,124;0,114;471,362;418,742;109,402;96,686;77,504
14;1076,41;1,024;209,874;71;1,082;132,67;0,734;0,266;0,102;0,096;838,812;744,166;239;135,854;119,85;493,932;0,93;202,138;67,2;0,936;130,51;0,69;0,268;0,1;0,108;358,414;362,152;131,07;52,3;49,806
15;100,078;0,846;188,782;64,2;0,848;126,592;0,654;0,238;0,082;0,122;68,152;76,562;23,382;8,534;10,99;124,012;1,016;205,126;69,4;1,028;132,842;0,702;0,262;0,104;0,1;92,036;86,212;31,384;13,87;12,292
16;176,468;0,998;201,74;72,4;0,996;133,04;0,696;0,328;0,086;0,09;118,442;123,452;58,538;14,188;15,062;954,218;1,14;236,744;73,4;1,19;151,174;0,824;0,266;0,142;0,118;819,652;675,99;223,478;160,136;127,248
17;821,2;0,99;202,948;69,8;1,032;131,938;0,706;0,258;0,098;0,086;592,87;546,832;232,402;68,064;56,192;1804,684;1,066;211,354;73,2;1,092;134,94;0,742;0,278;0,106;0,096;1427,268;1248,896;470,122;238,904;199,016
18;1671,464;1,044;220,072;70,6;1,134;141,758;0,768;0,288;0,108;0,092;1250,48;1117,67;477,466;191,984;159,292;2572,372;1,112;231,446;72,8;1,224;144,88;0,812;0,244;0,13;0,1;2192,77;1721,364;579,674;376,072;228,67
19;1222,986;1,124;222,69;74,8;1,222;140,372;0,78;0,308;0,106;0,086;980,134;764,336;367,06;134,622;97,784;1322,516;1,106;217,35;73;1,162;138,45;0,762;0,288;0,116;0,094;1054,024;872,512;380,378;174,126;132,352
