;x
1;https://www.vlr.gg/179441/douyu-gaming-vs-j-team-fgc-valorant-invitational-2023-act-1-qualifiers-play-in
2;https://www.vlr.gg/179442/oxyg3nious-vs-tjd-esports-club-fgc-valorant-invitational-2023-act-1-qualifiers-play-in
3;https://www.vlr.gg/165585/stanbul-wildcats-vs-digital-athletics-challengers-league-turkey-birlik-split-1-w7
4;https://www.vlr.gg/165586/fire-flux-esports-vs-papara-supermassive-challengers-league-turkey-birlik-split-1-w7
5;https://www.vlr.gg/166057/vamonos-vs-hsdirr-challengers-league-northern-europe-polaris-split-1-r1
6;https://www.vlr.gg/165587/s2g-esports-vs-galatasaray-esports-challengers-league-turkey-birlik-split-1-w7
7;https://www.vlr.gg/165648/qlash-vs-gmt-esports-challengers-league-italy-rinascimento-split-1-w5
8;https://www.vlr.gg/165649/macko-esports-vs-axolotl-challengers-league-italy-rinascimento-split-1-w5
9;https://www.vlr.gg/166058/who-cars-vs-bonk-challengers-league-northern-europe-polaris-split-1-r1
10;https://www.vlr.gg/167048/oddik-vs-the-union-challengers-league-brazil-split-1-w6
11;https://www.vlr.gg/165650/wlgaming-esports-vs-outplayed-challengers-league-italy-rinascimento-split-1-w5
12;https://www.vlr.gg/168998/g2-esports-vs-oxygen-esports-challengers-league-north-america-w3
13;https://www.vlr.gg/168999/faze-clan-vs-shopify-rebellion-challengers-league-north-america-w3
