;time1RND;time1R;time1ACS;time1KAST;time1KD;time1ADR;time1KPR;time1APR;time1FKPR;time1FDPR;time1K;time1D;time1A;time1FK;time1FD;time2RND;time2R;time2ACS;time2KAST;time2KD;time2ADR;time2KPR;time2APR;time2FKPR;time2FDPR;time2K;time2D;time2A;time2FK;time2FD;ganhador
1;62,11;0,934;192,736;72,2;0,9;126,952;0,664;0,3;0,1;0,1;43,38;45,6;15,802;6,778;6,532;94,576;0,864;187,594;64,4;0,878;121,35;0,648;0,258;0,08;0,118;63,022;66,428;26,318;7,792;10,42;1
2;780,712;0,972;206,012;68,2;1,034;133,636;0,722;0,244;0,11;0,1;576,66;526,736;212,132;85,99;72,816;42,72;0,646;161,03;56,2;0,666;107,18;0,548;0,206;0,076;0,126;25,144;35,358;7,926;3,672;5,82;1
3;255,032;1,048;204,368;71,2;1,052;132,43;0,712;0,274;0,116;0,084;198,88;175,246;59,32;37,73;25,562;251,666;1,132;225,062;73,2;1,212;147,22;0,796;0,272;0,116;0,096;199,1;168,816;63,03;27,774;23,556;1
4;284,658;0,892;178,158;66,6;0,844;117,138;0,6;0,276;0,116;0,078;199,248;196,538;76,96;32,018;25,542;380,85;1,054;212,564;73,4;1,09;136,628;0,734;0,32;0,104;0,098;300,554;257,32;101,262;47;37,38;1
5;24,624;0,852;196,316;65,6;0,88;127,234;0,666;0,242;0,09;0,116;15,574;19,346;5,628;2;3,106;421,248;1,18;226,128;77,6;1,346;145,9;0,81;0,282;0,102;0,08;346,988;276,496;137,22;46,814;34,144;0
6;468,466;1,234;246,066;76,8;1,358;158,666;0,862;0,3;0,126;0,098;427,208;303,536;134,968;65,836;43,966;907,826;1,17;221,948;76,6;1,218;140,604;0,782;0,3;0,108;0,092;700,542;590,548;254,402;103,858;83,76;1
7;583,278;1,142;221,4;75,4;1,212;141,486;0,788;0,288;0,088;0,076;471,544;383,338;150,16;57,346;47,892;558,712;1,154;219,204;75,6;1,22;140,66;0,772;0,288;0,106;0,088;403,958;342,718;166,884;52,998;43,496;0
8;2092,366;1,106;213,272;74;1,14;137,814;0,754;0,288;0,102;0,086;1625,93;1396,18;545,254;251,768;204,48;1503,788;1,122;229,654;72,6;1,198;145,68;0,802;0,276;0,134;0,102;1150,17;980,754;416,922;161,946;122,444;0
9;388,992;1,024;206,106;70,8;1,052;133,708;0,724;0,284;0,092;0,1;272,382;273,566;109,206;36,608;39,93;245,116;0,966;199,21;68,4;0,972;129,25;0,698;0,266;0,108;0,108;165,952;175,422;64,07;24,466;23,662;0
10;1743,286;1,1;215,376;72,4;1,122;135,96;0,754;0,268;0,112;0,092;1398,928;1177,776;421,438;248,184;183,52;2224,134;1,058;218,66;71;1,126;140,73;0,77;0,272;0,104;0,098;1747,43;1492,708;624,188;225,922;187,606;0
11;1255,904;1,012;204,882;71,4;1,07;128,734;0,718;0,28;0,102;0,092;918,066;844,846;332,518;137,738;117,298;1951,4;1,034;207,73;70,8;1,072;132,282;0,722;0,292;0,11;0,106;1410,708;1299,036;587,576;212;189,21;1
