"";"x"
"1";"https://www.vlr.gg/189507/crest-gaming-zst-vs-fav-gaming-challengers-league-japan-split-2-lf"
"2";"https://www.vlr.gg/186429/dragon-ranger-gaming-vs-edward-gaming-fgc-valorant-invitational-2023-act-1-d8"
"3";"https://www.vlr.gg/188317/dominatus-vs-bigetron-arctic-challengers-league-indonesia-split-2-r3"
"4";"https://www.vlr.gg/189508/next-esports-vs-sengoku-gaming-challengers-league-japan-split-2-lf"
"5";"https://www.vlr.gg/186430/weibo-gaming-vs-attacking-soul-esports-fgc-valorant-invitational-2023-act-1-d8"
"6";"https://www.vlr.gg/188126/s2-esports-vs-roa-challengers-league-taiwan-hong-kong-split-2-r1"
"7";"https://www.vlr.gg/188318/alter-ego-vs-boom-esports-challengers-league-indonesia-split-2-r3"
"8";"https://www.vlr.gg/188350/xerxia-esports-vs-team-nkt-challengers-league-thailand-split-2-w1"
"9";"https://www.vlr.gg/189509/igzist-vs-focus-e-sports-challengers-league-japan-split-2-lf"
"10";"https://www.vlr.gg/188022/bleed-vs-kizuna-esports-challengers-league-malaysia-singapore-split-2-d3"
"11";"https://www.vlr.gg/189026/looking-for-sponsors-vs-zol-esports-challengers-league-philippines-split-2-regular-season-w1"
"12";"https://www.vlr.gg/186431/nter-vs-tyloo-fgc-valorant-invitational-2023-act-1-d8"
"13";"https://www.vlr.gg/188127/utt-esports-vs-ghetto-artist-challengers-league-taiwan-hong-kong-split-2-r1"
"14";"https://www.vlr.gg/188351/attack-all-around-vs-capybara-challengers-league-thailand-split-2-w1"
"15";"https://www.vlr.gg/188023/x10-esports-vs-bikini-bottom-pratahouse-challengers-league-malaysia-singapore-split-2-d3"
"16";"https://www.vlr.gg/185896/aster-army-vs-lethal-esports-challengers-league-south-asia-split-1-w3"
"17";"https://www.vlr.gg/173222/fnatic-vs-bbl-esports-champions-tour-2023-emea-league-w1"
"18";"https://www.vlr.gg/173223/team-heretics-vs-karmine-corp-champions-tour-2023-emea-league-w1"
"19";"https://www.vlr.gg/186047/fusion-vs-six-karma-challengers-league-latam-north-ace-split-1-gf"
