"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"1";891,314;1,024;209,198;71,8;1,082;133,248;0,738;0,256;0,108;0,104;659,75;615,346;208,512;101,736;97,666;876,016;1,092;230,466;72,8;1,166;147,452;0,806;0,266;0,12;0,102;722,952;591,548;198,702;113,25;91,08;"0"
"2";408,804;1,14;220,502;75,4;1,226;140,91;0,77;0,338;0,116;0,096;321,422;263,602;116,82;48,41;37,716;115,626;1,022;206,874;71,8;1,038;134,492;0,72;0,284;0,108;0,112;84,326;80,248;33,956;11,95;11,724;"1"
"3";746,308;1,022;209,078;71;1,066;136,696;0,734;0,27;0,1;0,092;545,246;495,682;209,1;68,914;62,946;1184,9;1,032;212,444;71;1,08;137,338;0,748;0,276;0,116;0,106;864,99;802,184;360,278;116,334;105,766;"0"
"4";829,172;0,936;196,134;68,6;0,944;128,534;0,68;0,26;0,096;0,104;612,25;582,382;196,954;87,198;85,508;1464,334;1,038;203,506;71,4;1,068;129,786;0,722;0,28;0,106;0,098;1072,236;978,394;397,606;158,266;139,412;"0"
"5";969,834;1,176;236,976;74,6;1,248;150,402;0,838;0,268;0,132;0,092;902,764;663,74;189,776;178,204;112,158;863,28;1,136;232,956;74,4;1,202;149,098;0,82;0,25;0,124;0,102;736,854;591,054;187,154;131,142;96,396;"1"
"6";241,078;1,058;214,114;73,6;1,09;138,072;0,76;0,294;0,112;0,088;185,448;161,072;62,732;24,044;20,4;488,538;1,112;219,75;74,4;1,17;141,898;0,778;0,3;0,112;0,102;375,104;326,81;144,948;54,278;47,932;"0"
"7";529,418;1,084;221,014;73;1,136;143,074;0,768;0,27;0,122;0,096;412,002;359,886;145,69;61,322;48,486;382,126;1,038;217,108;71,6;1,094;140,904;0,766;0,25;0,124;0,11;295,076;270,62;85,116;53,438;47,792;"0"
"8";543,958;1,098;215,378;72,8;1,124;139,236;0,748;0,316;0,11;0,096;436,882;364,566;156,89;78,162;55,648;821,362;1,064;206,358;73,6;1,088;134,086;0,73;0,276;0,104;0,094;609,682;537,14;252,738;79,396;70,34;"0"
"9";845,156;1,012;197,992;71,4;1,004;128,858;0,688;0,282;0,088;0,09;622,874;594,054;217,624;110,638;96,192;1043,844;1,008;214,326;69,4;1,066;138,386;0,742;0,294;0,112;0,1;754,548;710,096;309,02;108,054;91,252;"0"
"10";2232,75;1,022;210,736;69,6;1,088;134,662;0,734;0,268;0,12;0,1;1720,868;1526,152;584,114;318,71;243,468;1712,848;1,088;218,596;73,2;1,148;140,282;0,76;0,282;0,11;0,09;1372,104;1164,572;468,352;222,61;165,256;"1"
"11";817,05;1,016;213,982;69,2;1,058;139,29;0,744;0,268;0,11;0,106;630,068;574,648;218,53;96,762;90,82;1462,792;1,036;221,882;70,4;1,078;141,304;0,774;0,212;0,146;0,124;1248,114;1058,852;265,712;279,224;221,48;"0"
"12";770,352;1,018;211,548;69,6;1,038;137,25;0,74;0,25;0,116;0,114;585,282;545,726;175,132;95,852;87,276;1086,302;1,016;208,446;70,6;1,07;134,822;0,73;0,244;0,092;0,088;830,59;735,504;262,272;116,346;91,94;"0"
"13";608,904;1,02;205,554;72,2;1,038;134,208;0,726;0,27;0,104;0,09;444,892;421,602;162,6;64,098;56,842;471,564;1,094;213,764;74,2;1,126;139,498;0,76;0,284;0,112;0,096;355,994;315,676;135,962;53,888;44,766;"0"
"14";600,456;1,13;222,292;75,8;1,192;143,954;0,784;0,302;0,116;0,094;473,994;395,896;171,726;72,236;56,676;1213,652;1,066;206,46;74;1,06;134,91;0,716;0,326;0,09;0,086;983,818;805,252;350,908;152,196;121,316;"1"
"15";354,66;1,032;198,728;72,6;1,048;131,138;0,702;0,3;0,086;0,08;241,422;237,708;111,138;27,53;26,234;523,122;1,144;220,992;75,2;1,168;143,582;0,768;0,336;0,096;0,082;375,29;341,446;170,706;43,578;37,762;"1"
"16";905,098;1,112;221,088;74,4;1,174;144,626;0,78;0,26;0,12;0,102;685,772;596,304;249,79;94,896;81,562;942,44;1,126;208,734;75,6;1,176;138,208;0,744;0,292;0,088;0,074;693,744;588,936;259,158;77,75;66,486;"0"
"17";896,616;1,012;219,454;70,4;1,072;140,8;0,762;0,276;0,126;0,114;693,724;636,882;198,41;118,354;105,914;695,746;1,028;217,184;69,8;1,118;138,958;0,76;0,244;0,108;0,096;554,546;471,792;159,538;88,584;68,086;"1"
"18";940,464;1,05;213,06;71,4;1,084;136,714;0,742;0,256;0,118;0,096;742,364;634,636;206,638;133,692;94,47;679,002;1,02;205,63;72,2;1,03;133,752;0,716;0,314;0,092;0,094;498,878;472,746;246,572;72,084;68,376;"0"
"19";397,604;1,11;214,124;74,2;1,166;135,998;0,746;0,282;0,108;0,086;308,836;261,422;94,12;44,18;32,45;924,448;1,028;215,632;68,8;1,148;138,48;0,75;0,296;0,102;0,088;706,762;600,412;296,636;89,348;71,29;"1"
