"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD"
"1";1422,274;1,062;211,44;73,2;1,114;134,368;0,748;0,262;0,104;0,092;1107,844;956,646;327,304;172,452;139,346;513,802;1,012;218,062;71;1,026;140,216;0,75;0,292;0,118;0,116;400,292;395,652;132,986;75,462;79,078
"2";1155,714;1,048;214,902;72;1,096;136,36;0,758;0,264;0,104;0,09;887,158;800,188;287,18;127,688;109,122;1091,652;1,014;211,546;70,8;1,044;136,802;0,734;0,284;0,108;0,096;797,048;748,288;337,718;105,462;93,144
"3";553,756;1,014;204,05;72,6;1,032;132,322;0,706;0,312;0,094;0,094;440,502;372,294;176,83;60,882;48,898;1222,922;1,034;208,598;71,4;1,068;132,874;0,728;0,284;0,104;0,1;945,724;849,87;291,522;156,514;135,932
"4";450,924;0,95;203,736;68,6;0,972;131,798;0,714;0,246;0,098;0,11;334,372;328,394;104,31;51,432;50,218;261,78;1,014;204,404;71,8;1,012;133,356;0,714;0,31;0,108;0,102;199,406;181,176;70,672;31,43;26,19
"5";1669,15;1,028;216,746;70,6;1,116;138,456;0,762;0,288;0,118;0,102;1287,172;1148,066;469,606;219,8;176,94;859,7;1,048;218,814;72,8;1,092;141,63;0,762;0,276;0,112;0,096;698,878;594,066;189,318;120,414;95,848
"6";948,512;0,964;191,08;71;0,97;126,388;0,67;0,306;0,072;0,08;627,326;647,326;270,444;67,824;76,752;988,99;1,004;215,088;69,2;1,044;139,724;0,756;0,252;0,124;0,116;772,558;719,776;225,83;135,43;125,788
"7";1216,804;1,01;209,478;70,6;1,072;132,83;0,73;0,25;0,114;0,102;948,282;803,556;272,274;175,88;133,278;610,848;0,996;198,056;70,6;1,016;129,912;0,69;0,302;0,092;0,092;438,286;394,834;201,96;54,608;47,34
"8";313,46;0,986;201,962;70,4;0,998;131,91;0,7;0,26;0,116;0,108;229,05;226,132;75,986;46,554;42,028;345,572;0,994;201,812;70;1,01;133,668;0,7;0,226;0,094;0,098;255,754;245,294;71,546;37,56;37,474
"9";737,826;1,032;213,776;71,8;1,072;137,626;0,756;0,23;0,13;0,116;582,114;523,042;136,138;117,322;95,922;487,06;1,048;218,636;70,2;1,112;141,488;0,762;0,25;0,122;0,108;378,63;341,682;99,172;74,998;60,06
"10";661,634;1;208,962;70,2;1,012;134,38;0,726;0,246;0,122;0,116;489,92;476,862;160,106;90,04;79,956;1244,464;0,998;205,832;70,2;1,01;133,728;0,718;0,288;0,102;0,106;916,372;883,44;329,93;140,836;133,462
"11";1821,138;1,074;211,706;73,2;1,124;137,756;0,75;0,256;0,106;0,096;1400,088;1207,744;427,936;222,138;190,1;1187,806;1,098;223,028;72,6;1,162;143,828;0,788;0,252;0,116;0,094;984,412;808,896;234,484;173,056;121,156
"12";1529,554;1,05;219,76;71;1,13;140,62;0,77;0,276;0,112;0,1;1174,046;1032,718;430,496;161,162;139,888;1794,44;1,022;210,416;69,6;1,086;131,794;0,736;0,274;0,108;0,096;1421,882;1218,236;437,748;260,644;193,55
"13";1375,324;1,01;204,096;71,6;1,058;128,83;0,714;0,286;0,102;0,092;1004,922;930,89;359,812;153,958;132,314;894,55;1,002;200,376;71,8;1,016;128,868;0,692;0,296;0,092;0,096;650,76;616,842;251,326;93,81;91,056
"14";1923,802;1,036;203,992;71,8;1,046;131,442;0,712;0,302;0,104;0,104;1377,958;1281,776;576,516;204,562;184,894;766,868;1,054;212,882;72;1,078;138,49;0,74;0,282;0,11;0,096;569,664;516,248;205,822;79,358;72,092
