"";"Player";"Team";"Rnd";"R";"ACS";"K:D";"KAST";"ADR";"HS%";"KMax";"IK"
"1";"Chaob";"O2";54;1,44;303;1,66;"85%";188,9;"22%";37;6
"2";"KILICARSLAN";"ZINK";142;1,43;212,4;1,1;"82%";133,6;"23%";21;3
"3";"neto";"Phar";100;1,42;243,3;1,23;"71%";159,1;"31%";42;4
"4";"byrf";"9z";801;1,35;211,8;1,18;"77%";136,5;"26%";27;8
"5";"keenc";"GX3";855;1,32;276,2;1,54;"78%";174,1;"19%";33;83
"6";"Wildfire";"Foxy";312;1,3;251,1;1,45;"77%";166,3;"31%";29;12
"7";"conir";"KRÜ.F";703;1,29;269,6;1,42;"77%";175,9;"22%";31;51
"8";"Baxin";"Odin";137;1,27;219;0,97;"74%";128;"22%";21;3
"9";"WISPERIOUS";"AKA";226;1,27;240,9;1,05;"82%";160,6;"21%";22;4
"10";"raxtazzz";"xd";365;1,27;242,3;1,14;"78%";147,7;"21%";26;27
"11";"purp0";"FKS";1788;1,25;264,4;1,39;"73%";164,4;"35%";37;135
"12";"FraqqS";"DIVI";209;1,24;251,8;1,24;"73%";160,9;"20%";25;14
"13";"Kohaibi";"SMG";1068;1,24;259,7;1,33;"78%";173,5;"20%";33;21
"14";"Jianna";"TC.F";259;1,23;229,8;1,3;"79%";157,3;"20%";27;14
"15";"Leo";"FNC";4349;1,22;225,6;1,25;"78%";148;"22%";31;115
"16";"Sacy";"SEN";3434;1,21;232,1;1,3;"78%";151;"26%";32;132
"17";"Arixa";"BOB";153;1,21;251,1;1,07;"76%";153,1;"22%";28;-6
"18";"consu";"KRÜ.F";470;1,21;235;1,22;"76%";154;"18%";26;11
"19";"kirito";"has swag";61;1,2;250;1,29;"79%";150,1;"15%";25;4
"20";"FrostLi";"CES";97;1,2;244,4;1,42;"72%";155,8;"16%";25;6
"21";"JUGi";"FKS";904;1,2;255,4;1,33;"72%";159,2;"21%";41;70
"22";"dodonut";"TSM.X";2455;1,2;255,5;1,28;"73%";166,3;"21%";33;84
"23";"WARDELL";"V1";4125;1,2;243,3;1,4;"74%";148,8;"20%";41;348
"24";"daiki";"TL";2493;1,19;224,5;1,27;"76%";145,7;"28%";32;41
"25";"ness";"TUR";2389;1,19;244,3;1,32;"74%";157,3;"27%";35;133
"26";"bao";"WAVE.A";117;1,19;203,2;1,35;"75%";129,9;"24%";25;-5
"27";"cNed";"NAVI";4640;1,19;254,5;1,32;"73%";157,7;"25%";39;294
"28";"MaKo";"DRX";2777;1,19;220,3;1,24;"78%";141,3;"26%";31;24
"29";"runneR";"DIA";964;1,19;243,2;1,19;"74%";156,6;"25%";30;39
"30";"MONKEY";"BUSINESS";57;1,19;259,3;1,19;"68%";166,6;"30%";21;-6
"31";"Casperr";"SCC";169;1,19;179,4;0,78;"76%";120,4;"19%";18;2
"32";"Toki";"Case";878;1,19;273,9;1,29;"73%";173,8;"24%";34;86
"33";"bstrdd";"TL";2493;1,19;261,6;1,32;"72%";165,8;"28%";39;152
"34";"HIRASYO";"AE";77;1,19;219,5;0,77;"76%";141,9;"20%";16;-1
"35";"Lucid";"MF";239;1,19;190,1;0,86;"78%";117,4;"18%";18;-5
