"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"1";"Fisker SG";"something SG";"NOBITA SG";"Vici SG";"Misaya SG";"oitaN IGZ";"Norisen IGZ";"thiefy IGZ";"RIPablo IGZ";"GangPin IGZ"
"2";"Minimise 95x";"WAT 95x";"SWERL 95x";"punda 95x";"M1kE 95x";"kwon MEC";"azuliate MEC";"DARK MEC";"Blessed MEC";"loubert MEC"
"3";"Deryeon BLD";"JayH BLD";"Juicy BLD";"crazyguy BLD";"sScary BLD";"SHINSEI LVR";"bryce LVR";"Maxxyy LVR";"Reverie LVR";"RedKoh LVR"
"4";"JA NAOS";"Witz NAOS";"Mojer NAOS";"NDG NAOS";"PapiChulo NAOS";"Owen q t GLAB";"FallX GLAB";"Boogeyyy GLAB";"Chaze GLAB";"Dr1ch GLAB"
"5";"Eren NTER";"AC NTER";"Spring NTER";"York NTER";"B3Ar NTER";"LuoK1ng KONE";"Knight KONE";"Ninebody KONE";"Yosemite KONE";"sword9 KONE"
"6";"ICEKING TTG";"Flex1n TTG";"FengF TTG";"You TTG";"heybay TTG";"Life ASE";"bunt ASE";"YHchen ASE";"monk ASE";"hfmi0dzjc9z7 ASE"
"7";"vex KTS";"iBrocky KTS";"Noir KTS";"Ryu KTS";"Lomu KTS";"signed HB";"xue HB";"MaiShiu HB";"Noobster HB";"MirzAA HB"
"8";"no1syboy ARF";"mikalulba ARF";"Nay ARF";"vascalizz ARF";"Lilo ARF";"da1zzie HZE.A";"Saivon HZE.A";"AmerNone HZE.A";"Kafka HZE.A";"Nythan HZE.A"
"9";"r3ason GD";"aRThiT GD";"zwan GD";"SPINO GD";"Rhytax GD";"SoCoolSoDa THA";"CheR0Z THA";"JAIGRAYRAY THA";"slash THA";"LoRangeZ THA"
"10";"jeed TDK";"subbey TDK";"FrostyZ TDK";"kael TDK";"aduka TDK";"Riza KZ";"Shun KZ";"kimmy KZ";"Flaring KZ";"DxN KZ"
"11";"Wild0reoo OAS";"Draxii OAS";"Nexi OAS";"xavi8k OAS";"Georggyyy OAS";"Ninitups PUG";"Blixerino PUG";"Lostboy PUG";"walk on water PUG";"Chongi PUG"
"12";"Redneval 3T";"Hyzee 3T";"viness 3T";"beo 3T";"Daicute 3T";"YESicaN FCY";"f1cio FCY";"WUKONG FCY";"gin FCY";"n1zzy FCY"
"13";"Nakya AE";"adrnking AE";"deLb AE";"natz AE";"Kush AE";"NcSlasher BTR";"ZesBeeW BTR";"sayoo BTR";"frostmind BTR";"m0rea BTR"
"14";"LAMMYSNAX AAA";"ChAlalala AAA";"Potter AAA";"basbabe AAA";"Raigard AAA";"Surf XIA";"LBY XIA";"bnw XIA";"RoLEX XIA";"aLerT XIA"
"15";"Xdll FL";"SyouTa FL";"CLZ FL";"JoXJo FL";"hiroronn FL";"TenTen NTH";"BlackWiz NTH";"Derialy NTH";"Moothie NTH";"Maufin NTH"
"16";"NterGreen STPL";"rAb1q STPL";"NyoZ STPL";"roud STPL";"yZkA1 STPL";"ChiaWei ONE";"Rainy ONE";"XiaoShi77 ONE";"W1nner ONE";"XyuS ONE"
"17";"DaFt VIC";"1ccug VIC";"Real8 VIC";"sayo VIC";"NhatUyen VIC";"Juu 2K";"Kong 2K";"Solazet 2K";"vers4ce 2K";"Hyelll 2K"
"18";"GGHuiii OF";"CHIMEI OF";"hypathor OF";"coconut OF";"Kiuuuu OF";"jkuro AEEC";"Sing AEEC";"FLoydQ AEEC";"trinity AEEC";"PPD AEEC"
"19";"zePiCzz IGW";"s2newb IGW";"HolyM0Ly IGW";"Tenshi IGW";"Lew IGW";"kamo GTZ";"k1zpawn GTZ";"OLIZERA GTZ";"starkk GTZ";"RobbieBk GTZ"
"20";"gmA PNT";"PLUCKZ PNT";"Ptf0x PNT";"fekz PNT";"weel PNT";"Aqua EX0";"symoN EX0";"Akira EX0";"Fragger EX0";"mochi EX0"
"21";"aztex FTW";"Dolfo FTW";"sww FTW";"SHADOWMIGLITO FTW";"furyan FTW";"VTaguT 14VK";"GrTw 14VK";"brk 14VK";"KenzmPs 14VK";"Ds 14VK"
"22";"s0m NRG";"ardiis NRG";"crashies NRG";"Victor NRG";"FNS NRG";"tuyz LOUD";"aspas LOUD";"saadhak LOUD";"cauanzin LOUD";"Less LOUD"
"23";"Phatt EGN";"Eso177 EGN";"silenttt EGN";"Dext EGN";"fainz EGN";"tomaszy SAW";"Addicted SAW";"DaviH SAW";"Bati SAW";"Fizzy SAW"
"24";"MaKo DRX";"stax DRX";"BuZz DRX";"Zest DRX";"Rb DRX";"foxz TLN";"Sushiboys TLN";"garnetS TLN";"Crws TLN";"JitBoyS TLN"
"25";"makiba CR";"popogachi CR";"neth CR";"Meiy CR";"Medusa CR";"Yoshiii SZ";"Kr1stal SZ";"Zennakukin SZ";"TORANECO SZ";"Jemkin SZ"
"26";"something SG";"Misaya SG";"Vici SG";"Fisker SG";"NOBITA SG";"SyouTa FL";"JoXJo FL";"Xdll FL";"hiroronn FL";"CLZ FL"
"27";"w0zzip FB";"Mykoz FB";"ip0TT FB";"Best FB";"Padisah FB";"yetujey FF";"DESTRUCT1VEE FF";"SasuKe FF";"Wo0t FF";"WerlasS FF"
"28";"lurzy0y0 TBG";"VPNCNP TBG";"YANKAS TBG";"jonx TBG";"DubzWoW TBG";"Jlerst PRL";"lauress PRL";"Ruxic PRL";"jeyj7y PRL";"sociablEE PRL"
"29";"ease CASE";"Yurii CASE";"roxie CASE";"Kiles CASE";"MiniBoo CASE";"Daniel0 AYM";"mrcarrito AYM";"PHYRN AYM";"MikaEl AYM";"Chechuu AYM"
"30";"eXerZ FAL";"KILLDREAM FAL";"synsi FAL";"Guardy FAL";"circu FAL";"shéd RBT";"Rexs RBT";"l0udly RBT";"zedt RBT";"VARES RBT"
"31";"L1NK LPB";"vong LPB";"KRAY LPB";"Luzuh LPB";"Russ LPB";"Mistic APK";"MAGNUM APK";"Enzo APK";"Keiko APK";"ShadoW APK"
"32";"CyvOph VLNT";"Jesse VLNT";"Sacake VLNT";"NeskaaS VLNT";"LeeN VLNT";"Jakexd BGN";"KONEQT BGN";"TiduS BGN";"OniBy BGN";"Ooriime BGN"
"33";"YuNo UCAM";"iDex UCAM";"Famsii UCAM";"Quick UCAM";"Flickless UCAM";"lowel TQ";"neptuNo TQ";"H1ber TQ";"PoPiFresH TQ";"UNFAKE TQ"
"34";"m1tez WLG";"fanboy WLG";"Cookiee WLG";"Redwesty WLG";"syyse WLG";"EduCoz QLSH";"LOMBA QLSH";"SparkeR QLSH";"soRa QLSH";"rhagee QLSH"
