"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KD";"time2KD";"time1KAST";"time2KAST";"time1ADR";"time2ADR";"ganhador"
"1";0,992;0,886;210,64;190,54;1,022;0,876;70,8;66,4;133,64;123,18;0
"2";0,966666666666667;1,032;212,083333333333;210,46;0,986666666666667;1,072;68,3333333333333;71,8;136,9;133,48;0
"3";1,032;0,976;213,12;194,94;1,078;0,944;72,2;70,8;135,54;126,2;1
"4";1,028;1,028;219,36;214,58;1,094;1,05;71,4;71;140,3;138,38;1
"5";0,992;0,966666666666667;210,64;212,083333333333;1,022;0,986666666666667;70,8;68,3333333333333;133,64;136,9;1
"6";0,976;1,028;194,94;214,58;0,944;1,05;70,8;71;126,2;138,38;1
"7";0,886;1,032;190,54;210,46;0,876;1,072;66,4;71,8;123,18;133,48;0
"8";1,032;1,028;213,12;219,36;1,078;1,094;72,2;71,4;135,54;140,3;1
"9";1,028;0,992;219,36;210,64;1,094;1,022;71,4;70,8;140,3;133,64;1
"10";0,886;0,976;190,54;194,94;0,876;0,944;66,4;70,8;123,18;126,2;0
"11";1,032;1,032;210,46;213,12;1,072;1,078;71,8;72,2;133,48;135,54;0
"12";1,028;0,976;219,36;194,94;1,094;0,944;71,4;70,8;140,3;126,2;0
"13";1,032;0,976;210,46;194,94;1,072;0,944;71,8;70,8;133,48;126,2;1
