"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KD";"time2KD";"time1KAST";"time2KAST";"time1ADR";"time2ADR";"ganhador"
"1";1,098;1,064;214,58;218,76;1,172;1,12;74,6;72,4;136,4;140,16;1
"2";1,074;1,134;208,62;222,86;1,092;1,202;73;74,6;132,38;143,1;0
"3";1,036;1,052;209,56;213,68;1,058;1,112;71,6;71,8;134,9;137,02;1
"4";1,068;1,07;213,36;213,72;1,086;1,09;73,2;72,8;137,84;138,36;1
"5";1,064;1,074;218,76;208,62;1,12;1,092;72,4;73;140,16;132,38;1
"6";1,052;1,07;213,68;213,72;1,112;1,09;71,8;72,8;137,02;138,36;0
"7";1,098;1,134;214,58;222,86;1,172;1,202;74,6;74,6;136,4;143,1;0
"8";1,036;1,068;209,56;213,36;1,058;1,086;71,6;73,2;134,9;137,84;1
"9";1,068;1,064;213,36;218,76;1,086;1,12;73,2;72,4;137,84;140,16;0
"10";1,098;1,07;214,58;213,72;1,172;1,09;74,6;72,8;136,4;138,36;1
"11";1,134;1,036;222,86;209,56;1,202;1,058;74,6;71,6;143,1;134,9;1
"12";1,064;1,098;218,76;214,58;1,12;1,172;72,4;74,6;140,16;136,4;0
"13";1,134;1,036;222,86;209,56;1,202;1,058;74,6;71,6;143,1;134,9;1
"14";1,036;1,098;209,56;214,58;1,058;1,172;71,6;74,6;134,9;136,4;1
"15";1,06;1,136;208,94;221,22;1,07;1,168;73;75,6;135,32;145,08;1
"16";1,09;0,984;214,86;200,96;1,138;0,98;74,2;71,2;141,2;129,7;1
"17";1,098;0,962;227,38;203,68;1,156;0,96;72,2;69,4;147,88;133,3;0
"18";0,798;1,082;175,82;213,02;0,748;1,116;63,4;73;117,1;137,36;0
"19";1,136;0,984;221,22;200,96;1,168;0,98;75,6;71,2;145,08;129,7;0
"20";1,098;0,798;227,38;175,82;1,156;0,748;72,2;63,4;147,88;117,1;1
"21";1,06;1,09;208,94;214,86;1,07;1,138;73;74,2;135,32;141,2;0
"22";0,962;1,082;203,68;213,02;0,96;1,116;69,4;73;133,3;137,36;0
"23";0,962;0,984;203,68;200,96;0,96;0,98;69,4;71,2;133,3;129,7;1
"24";1,06;1,098;208,94;227,38;1,07;1,156;73;72,2;135,32;147,88;1
"25";1,09;1,082;214,86;213,02;1,138;1,116;74,2;73;141,2;137,36;1
"26";0,962;1,06;203,68;208,94;0,96;1,07;69,4;73;133,3;135,32;1
"27";1,09;0,962;214,86;203,68;1,138;0,96;74,2;69,4;141,2;133,3;1
"28";1,082;0,962;213,02;203,68;1,116;0,96;73;69,4;137,36;133,3;0
"29";0,992;0,886;210,64;190,54;1,022;0,876;70,8;66,4;133,64;123,18;0
"30";0,966666666666667;1,032;212,083333333333;210,46;0,986666666666667;1,072;68,3333333333333;71,8;136,9;133,48;0
"31";1,032;0,976;213,12;194,94;1,078;0,944;72,2;70,8;135,54;126,2;1
"32";1,028;1,028;219,36;214,58;1,094;1,05;71,4;71;140,3;138,38;1
"33";0,992;0,966666666666667;210,64;212,083333333333;1,022;0,986666666666667;70,8;68,3333333333333;133,64;136,9;1
"34";0,976;1,028;194,94;214,58;0,944;1,05;70,8;71;126,2;138,38;1
"35";0,886;1,032;190,54;210,46;0,876;1,072;66,4;71,8;123,18;133,48;0
"36";1,032;1,028;213,12;219,36;1,078;1,094;72,2;71,4;135,54;140,3;1
"37";1,028;0,992;219,36;210,64;1,094;1,022;71,4;70,8;140,3;133,64;1
"38";0,886;0,976;190,54;194,94;0,876;0,944;66,4;70,8;123,18;126,2;0
"39";1,032;1,032;210,46;213,12;1,072;1,078;71,8;72,2;133,48;135,54;0
"40";1,028;0,976;219,36;194,94;1,094;0,944;71,4;70,8;140,3;126,2;0
"41";1,032;0,976;210,46;194,94;1,072;0,944;71,8;70,8;133,48;126,2;1
"42";1,028;1,046;210,86;212,48;1,054;1,056;72;71,8;136,8;133,98;1
"43";1,03;1,062;204,74;214,14;1,01;1,058;71,6;72,8;133,76;136,28;0
"44";1,022;0,988;205,44;206,92;1,026;0,992;71,6;69,8;132,04;134,7;1
"45";1,044;1,056;207,66;212,62;1,066;1,052;72,4;72,4;132,92;137,46;0
"46";1,046;1,03;212,48;204,74;1,056;1,01;71,8;71,6;133,98;133,76;1
"47";0,988;1,044;206,92;207,66;0,992;1,066;69,8;72,4;134,7;132,92;0
"48";1,028;1,062;210,86;214,14;1,054;1,058;72;72,8;136,8;136,28;1
"49";1,022;1,056;205,44;212,62;1,026;1,052;71,6;72,4;132,04;137,46;1
"50";1,056;1,046;212,62;212,48;1,052;1,056;72,4;71,8;137,46;133,98;1
"51";1,062;1,044;214,14;207,66;1,058;1,066;72,8;72,4;136,28;132,92;1
"52";1,028;1,022;210,86;205,44;1,054;1,026;72;71,6;136,8;132,04;1
"53";1,056;1,062;212,62;214,14;1,052;1,058;72,4;72,8;137,46;136,28;1
"54";1,028;1,056;210,86;212,62;1,054;1,052;72;72,4;136,8;137,46;0
"55";1,022;1,056;205,44;212,62;1,026;1,052;71,6;72,4;132,04;137,46;0
"56";1,054;1,048;215,22;205,58;1,122;1,048;73;72;137,8;134,82;0
"57";1,11166666666667;1,098;223,233333333333;214,58;1,185;1,172;73,6666666666667;74,6;142,933333333333;136,4;1
"58";1,052;1,002;213,68;199,54;1,112;1,016;71,8;71,8;137,02;131,78;1
"59";1,094;1,0275;221,76;202,25;1,104;1,03;73,6;72,75;143,5;132,1;0
"60";1,054;1,098;215,22;214,58;1,122;1,172;73;74,6;137,8;136,4;1
"61";1,002;1,094;199,54;221,76;1,016;1,104;71,8;73,6;131,78;143,5;0
"62";1,048;1,11166666666667;205,58;223,233333333333;1,048;1,185;72;73,6666666666667;134,82;142,933333333333;0
"63";1,052;1,0275;213,68;202,25;1,112;1,03;71,8;72,75;137,02;132,1;1
"64";1,0275;1,054;202,25;215,22;1,03;1,122;72,75;73;132,1;137,8;0
"65";1,048;1,094;205,58;221,76;1,048;1,104;72;73,6;134,82;143,5;1
"66";1,11166666666667;1,052;223,233333333333;213,68;1,185;1,112;73,6666666666667;71,8;142,933333333333;137,02;1
"67";1,054;1,048;215,22;205,58;1,122;1,048;73;72;137,8;134,82;1
