"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KD";"time2KD";"time1KAST";"time2KAST";"time1ADR";"time2ADR";"ganhador"
"1";1,064;1,098;218,76;214,58;1,12;1,172;72,4;74,6;140,16;136,4;"0"
"2";1,134;1,074;222,86;208,62;1,202;1,092;74,6;73;143,1;132,38;"1"
"3";1,052;1,036;213,68;209,56;1,112;1,058;71,8;71,6;137,02;134,9;"0"
"4";1,07;1,068;213,72;213,36;1,09;1,086;72,8;73,2;138,36;137,84;"0"
"5";1,074;1,064;208,62;218,76;1,092;1,12;73;72,4;132,38;140,16;"0"
"6";1,07;1,052;213,72;213,68;1,09;1,112;72,8;71,8;138,36;137,02;"1"
"7";1,134;1,098;222,86;214,58;1,202;1,172;74,6;74,6;143,1;136,4;"1"
"8";1,068;1,036;213,36;209,56;1,086;1,058;73,2;71,6;137,84;134,9;"0"
"9";1,064;1,068;218,76;213,36;1,12;1,086;72,4;73,2;140,16;137,84;"1"
"10";1,07;1,098;213,72;214,58;1,09;1,172;72,8;74,6;138,36;136,4;"0"
"11";1,036;1,134;209,56;222,86;1,058;1,202;71,6;74,6;134,9;143,1;"0"
"12";1,098;1,064;214,58;218,76;1,172;1,12;74,6;72,4;136,4;140,16;"1"
"13";1,036;1,134;209,56;222,86;1,058;1,202;71,6;74,6;134,9;143,1;"0"
"14";1,098;1,036;214,58;209,56;1,172;1,058;74,6;71,6;136,4;134,9;"0"
"15";0,886;0,992;190,54;210,64;0,876;1,022;66,4;70,8;123,18;133,64;"1"
"16";1,032;0,966666666666667;210,46;212,083333333333;1,072;0,986666666666667;71,8;68,3333333333333;133,48;136,9;"1"
"17";0,976;1,032;194,94;213,12;0,944;1,078;70,8;72,2;126,2;135,54;"0"
"18";1,028;1,028;214,58;219,36;1,05;1,094;71;71,4;138,38;140,3;"0"
"19";0,966666666666667;0,992;212,083333333333;210,64;0,986666666666667;1,022;68,3333333333333;70,8;136,9;133,64;"0"
"20";1,028;0,976;214,58;194,94;1,05;0,944;71;70,8;138,38;126,2;"0"
"21";1,032;0,886;210,46;190,54;1,072;0,876;71,8;66,4;133,48;123,18;"1"
"22";1,028;1,032;219,36;213,12;1,094;1,078;71,4;72,2;140,3;135,54;"0"
"23";0,992;1,028;210,64;219,36;1,022;1,094;70,8;71,4;133,64;140,3;"0"
"24";0,976;0,886;194,94;190,54;0,944;0,876;70,8;66,4;126,2;123,18;"1"
"25";1,032;1,032;213,12;210,46;1,078;1,072;72,2;71,8;135,54;133,48;"1"
"26";0,976;1,028;194,94;219,36;0,944;1,094;70,8;71,4;126,2;140,3;"1"
"27";0,976;1,032;194,94;210,46;0,944;1,072;70,8;71,8;126,2;133,48;"0"
"28";1,046;1,028;212,48;210,86;1,056;1,054;71,8;72;133,98;136,8;"0"
"29";1,062;1,03;214,14;204,74;1,058;1,01;72,8;71,6;136,28;133,76;"1"
"30";0,988;1,022;206,92;205,44;0,992;1,026;69,8;71,6;134,7;132,04;"0"
"31";1,056;1,044;212,62;207,66;1,052;1,066;72,4;72,4;137,46;132,92;"1"
"32";1,03;1,046;204,74;212,48;1,01;1,056;71,6;71,8;133,76;133,98;"0"
"33";1,044;0,988;207,66;206,92;1,066;0,992;72,4;69,8;132,92;134,7;"1"
"34";1,062;1,028;214,14;210,86;1,058;1,054;72,8;72;136,28;136,8;"0"
"35";1,056;1,022;212,62;205,44;1,052;1,026;72,4;71,6;137,46;132,04;"0"
"36";1,046;1,056;212,48;212,62;1,056;1,052;71,8;72,4;133,98;137,46;"0"
"37";1,044;1,062;207,66;214,14;1,066;1,058;72,4;72,8;132,92;136,28;"0"
"38";1,022;1,028;205,44;210,86;1,026;1,054;71,6;72;132,04;136,8;"0"
"39";1,062;1,056;214,14;212,62;1,058;1,052;72,8;72,4;136,28;137,46;"0"
"40";1,056;1,028;212,62;210,86;1,052;1,054;72,4;72;137,46;136,8;"1"
"41";1,056;1,022;212,62;205,44;1,052;1,026;72,4;71,6;137,46;132,04;"1"
"42";1,048;1,054;205,58;215,22;1,048;1,122;72;73;134,82;137,8;"1"
"43";1,098;1,11166666666667;214,58;223,233333333333;1,172;1,185;74,6;73,6666666666667;136,4;142,933333333333;"0"
"44";1,002;1,052;199,54;213,68;1,016;1,112;71,8;71,8;131,78;137,02;"0"
"45";1,0275;1,094;202,25;221,76;1,03;1,104;72,75;73,6;132,1;143,5;"1"
"46";1,098;1,054;214,58;215,22;1,172;1,122;74,6;73;136,4;137,8;"0"
"47";1,094;1,002;221,76;199,54;1,104;1,016;73,6;71,8;143,5;131,78;"1"
"48";1,11166666666667;1,048;223,233333333333;205,58;1,185;1,048;73,6666666666667;72;142,933333333333;134,82;"1"
"49";1,0275;1,052;202,25;213,68;1,03;1,112;72,75;71,8;132,1;137,02;"0"
"50";1,054;1,0275;215,22;202,25;1,122;1,03;73;72,75;137,8;132,1;"1"
"51";1,094;1,048;221,76;205,58;1,104;1,048;73,6;72;143,5;134,82;"0"
"52";1,052;1,11166666666667;213,68;223,233333333333;1,112;1,185;71,8;73,6666666666667;137,02;142,933333333333;"0"
"53";1,048;1,054;205,58;215,22;1,048;1,122;72;73;134,82;137,8;"0"
"54";1,052;1,11166666666667;213,68;223,233333333333;1,112;1,185;71,8;73,6666666666667;137,02;142,933333333333;"1"
"55";1,054;1,052;215,22;213,68;1,122;1,112;73;71,8;137,8;137,02;"0"
"56";1,02166666666667;1,064;205,85;216,82;1,01166666666667;1,082;70,6666666666667;72,2;135,733333333333;138,94;"0"
"57";0,984;0,94;212,66;199,75;1,056;0,9275;69,4;68,5;136,66;129,475;"1"
"58";1,038;1,022;222,06;200,04;1,092;1,028;70,4;71,6;141,8;130,1;"0"
"59";0,986;0,97;203,18;197,06;0,984;0,964;70,8;68,8;130,32;128,46;"0"
"60";0,94;1,02166666666667;199,75;205,85;0,9275;1,01166666666667;68,5;70,6666666666667;129,475;135,733333333333;"0"
"61";0,986;1,038;203,18;222,06;0,984;1,092;70,8;70,4;130,32;141,8;"1"
"62";0,984;1,064;212,66;216,82;1,056;1,082;69,4;72,2;136,66;138,94;"0"
"63";0,97;1,022;197,06;200,04;0,964;1,028;68,8;71,6;128,46;130,1;"1"
"64";1,02166666666667;1,022;205,85;200,04;1,01166666666667;1,028;70,6666666666667;71,6;135,733333333333;130,1;"1"
"65";0,986;0,984;203,18;212,66;0,984;1,056;70,8;69,4;130,32;136,66;"1"
"66";0,97;1,064;197,06;216,82;0,964;1,082;68,8;72,2;128,46;138,94;"0"
"67";0,986;1,02166666666667;203,18;205,85;0,984;1,01166666666667;70,8;70,6666666666667;130,32;135,733333333333;"0"
"68";1,02166666666667;1,064;205,85;216,82;1,01166666666667;1,082;70,6666666666667;72,2;135,733333333333;138,94;"0"
"69";1,02166666666667;0,97;205,85;197,06;1,01166666666667;0,964;70,6666666666667;68,8;135,733333333333;128,46;"1"
"70";0,928;1,082;186,04;213,02;0,916;1,116;70,2;73;121,84;137,36;"0"
"71";0,996;0,952;200,44;194,54;0,978;0,936;71,2;69,2;131,18;129,92;"1"
"72";0,77;0,932;166,28;194,26;0,76;0,918;64,4;69,2;112,42;128,22;"0"
"73";0,94;0,97;194,3;199,9;0,934;0,964;67,4;69,8;125,74;131,06;"0"
"74";0,952;0,928;194,54;186,04;0,936;0,916;69,2;70,2;129,92;121,84;"0"
"75";0,94;0,77;194,3;166,28;0,934;0,76;67,4;64,4;125,74;112,42;"1"
"76";0,996;1,082;200,44;213,02;0,978;1,116;71,2;73;131,18;137,36;"0"
"77";0,97;0,932;199,9;194,26;0,964;0,918;69,8;69,2;131,06;128,22;"0"
"78";0,928;0,97;186,04;199,9;0,916;0,964;70,2;69,8;121,84;131,06;"1"
"79";0,94;0,996;194,3;0,996;0,934;0,996;67,4;0,996;125,74;0,996;"0"
"80";0,932;1,082;194,26;213,02;0,918;1,116;69,2;73;128,22;137,36;"0"
"81";0,996;0,928;200,44;186,04;0,978;0,916;71,2;70,2;131,18;121,84;"1"
"82";0,996;1,082;200,44;213,02;0,978;1,116;71,2;73;131,18;137,36;"0"
"83";0,996;0,932;200,44;194,26;0,978;0,918;71,2;69,2;131,18;128,22;"1"
