"","Ranking","Time","Pontos"
"1",1,"Natus Vincere											Europe",2309
"2",2,"FNATIC											Europe",2109
"3",3,"Team Liquid											Europe",1992
"4",4,"Team Vitality											Europe",1913
"5",5,"FUT Esports											Turkey",1809
"6",6,"Team Heretics											Europe",1792
"7",7,"Acend											Europe",1773
"8",8,"Guild Esports											Sweden",1740
"9",9,"MAD Lions											Europe",1690
"10",10,"Mandatory											France",1640
"11",1,"100 Thieves											United States",2400
"12",2,"Cloud9											United States",2095
"13",3,"Shopify Rebellion											United States",1969
"14",4,"TSM											United States",1913
"15",5,"The Guard											United States",1909
"16",6,"FaZe Clan											United States",1899
"17",7,"Dark Ratio											United States",1876
"18",8,"NRG Esports											United States",1876
"19",9,"NSIC											United States",1864
"20",10,"Evil Geniuses											United States",1796
"21",1,"LOUD											Brazil",2400
"22",2,"The Union											Brazil",1597
"23",3,"FURIA											Brazil",1596
"24",4,"Ninjas In Pyjamas											Brazil",1587
"25",5,"MIBR											Brazil",1568
"26",6,"ODDIK											Brazil",1552
"27",7,"Tuzzy E-Sports											Brazil",1513
"28",8,"Acadêmicos do Tucuruvi											Brazil",1496
"29",9,"TropiCaos											Brazil",1488
"30",10,"Unemployed											Brazil",1487
"31",1,"Paper Rex											Singapore",2400
"32",2,"Talon Esports											Thailand",2074
"33",3,"BOOM Esports											Indonesia",1983
"34",4,"BLEED											Singapore",1877
"35",5,"Made in Thailand											Thailand",1790
"36",6,"Team Secret											Philippines",1733
"37",7,"Velocity Gaming											India",1716
"38",8,"Global Esports											India",1701
"39",9,"FULL SENSE											Thailand",1689
"40",10,"LaZe											Singapore",1659
"41",1,"DRX											South Korea",2400
"42",2,"Gen.G											South Korea",1595
"43",3,"T1											South Korea",1565
"44",4,"DAMWON Gaming											South Korea",1529
"45",5,"World Game Star											South Korea",1503
"46",6,"OQ academy											South Korea",1503
"47",7,"Maru Gaming											South Korea",1475
"48",8,"All Ways Incheon											South Korea",1438
"49",9,"SPEAR GAMING											South Korea",1422
"50",10,"Over Quality											South Korea",1397
"51",1,"EDward Gaming											China",2000
"52",2,"FunPlus Phoenix ZHUQUE											China",1839
"53",3,"NTER											China",1796
"54",4,"Tales of Eastern											China",1774
"55",5,"Weibo Gaming											China",1743
"56",6,"Night Wings Gaming											China",1620
"57",7,"Monarch Effect											China",1615
"58",8,"Attacking Soul Esports											China",1609
"59",9,"Invincible Gaming											China",1587
"60",10,"ShanXi Gaming Girls											China",1561
"61",1,"ZETA DIVISION											Japan",2400
"62",2,"NORTHEPTION											Japan",1901
"63",3,"Crazy Raccoon											Japan",1758
"64",4,"FAV gaming											Japan",1733
"65",5,"REJECT											Japan",1725
"66",6,"IGZIST											Japan",1699
"67",7,"SCARZ											Japan",1694
"68",8,"CLAUDIO.EXE											Japan",1675
"69",9,"Sengoku Gaming											Japan",1674
"70",10,"Crest Gaming Zst											Japan",1666
"71",1,"Leviatán											Chile",2148
"72",2,"KRÜ Esports											Chile",1978
"73",3,"9z Team											Argentina",1601
"74",4,"Optix											Chile",1581
"75",5,"OXEN											International",1576
"76",6,"Velox											Argentina",1554
"77",7,"EBRO Gaming											Argentina",1546
"78",8,"SunXet Club											Chile",1533
"79",1,"E-Xolos LAZER											Colombia",2000
"80",2,"FUSION											Colombia",1949
"81",3,"INFINITY											Chile",1842
"82",4,"Six Karma											Colombia",1837
"83",5,"Border Monsters											Colombia",1774
"84",1,"BOBO											Australia",2000
"85",2,"Bonkers											Australia",1982
"86",3,"Generation of Miracles											Australia",1852
"87",4,"The Who?											Australia",1796
"88",5,"Funcrew											Australia",1778
"89",6,"SamPhamFanClub											Australia",1768
"90",7,"HONEY BADGERS											Australia",1755
"91",8,"HOG RIDERS											Australia",1724
"92",9,"SOTZ V2											Australia",1717
"93",10,"LITE Esports											Australia",1707
"94",1,"Team RA'AD											Egypt",2000
"95",2,"Team Falcons											Saudi Arabia",1993
"96",3,"Geekay Esports											Egypt",1966
"97",4,"01 Esports											Saudi Arabia",1852
"98",5,"Frogless											International",1840
"99",6,"YaLLa Esports											United Arab Emirates",1839
"100",7,"Piercer Esports											Bahrain",1793
"101",8,"Team Majesty											Egypt",1773
"102",9,"NASR Esports											Jordan",1766
"103",10,"NOBLES											International",1760
"104",1,"G2 Gozen											Europe",2000
"105",2,"Shopify Rebellion GC											United States",1866
"106",3,"Team Liquid Brazil											Brazil",1834
"107",4,"Guild X											Europe",1783
"108",5,"Alter Ego Celeste											Indonesia",1780
"109",6,"Misfits Black											United States",1719
"110",7,"Natus Vincere Celestials											Turkey",1717
"111",8,"Acend Rising											Europe",1680
"112",9,"Evil Geniuses GC											United States",1679
"113",10,"KRÜ Fem											Chile",1675
"114",1,"Northwood University											United States",2400
"115",2,"Blinn Esports											United States",2114
"116",3,"Winthrop University											United States",2078
"117",4,"SJSU Blue											United States",2035
"118",5,"Fisher College Navy											United States",2004
"119",6,"UAESA Green											Canada",1878
"120",7,"UBC											Canada",1877
"121",8,"Converse Purple											United States",1870
"122",9,"UST Esports											United States",1868
"123",10,"Carleton Ravens											Canada",1854
