"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"1";1,01;0,972;203,8;197,14;70,4;70,4;1,008;0,98;132,2;126,44;1
"2";0,994;0,988;203,46;192,76;69,6;70,4;0,98;0,968;130,56;124,02;1
"3";0,954;0,99;193,04;200,8;69;70,2;0,972;0,95;127,98;130,74;1
"4";0,928;0,996;194,22;208,56;69,2;69,6;0,944;1,014;125,66;132,98;1
"5";0,998;0,93;210,48;191,78;69,8;68,8;1,024;0,926;137,5;127,86;0
"6";0,984;0,916;215,72;191,66;69,6;68,6;1,022;0,91;137,74;126,02;1
"7";0,952;1;201,52;209,32;69;70,8;0,912;1,038;132,34;135,78;1
"8";0,922;0,786;193,56;177,56;67,2;61,8;0,874;0,766;126,9;119,42;1
"9";0,996;1,088;201,02;232,22;70,4;70,4;1,002;1,162;128,54;148,58;0
"10";0,938;0,942;210,08;198,14;67;68,4;0,96;0,924;135,16;128,48;1
"11";0,892;0,85;196,12;194,52;64;64,6;0,882;0,842;128,04;128,62;0
"12";0,928;0,93;194,22;191,78;69,2;68,8;0,944;0,926;125,66;127,86;0
"13";1;0,938;209,32;210,08;70,8;67;1,038;0,96;135,78;135,16;1
"14";0,998;0,9;210,48;190,1;69,8;66,4;1,024;0,91;137,5;124,06;1
"15";1,068;0,922;215,08;195,46;74,2;68;1,086;0,908;140,18;126,96;1
"16";0,786;0,988;177,56;192,76;61,8;70,4;0,766;0,968;119,42;124,02;0
"17";1,002;0,924;205,8;199,58;68,6;68;1,016;0,932;133,8;132,56;0
"18";0,942;0,952;198,14;201,52;68,4;69;0,924;0,912;128,48;132,34;0
"19";0,988;0,996;196,7;207,64;70,4;71,4;0,992;1,01;126,52;133,96;0
"20";0,944;0,922;197,3;193,56;67,6;67,2;0,964;0,874;128,08;126,9;1
"21";1,018;1,008;202,12;207,24;71;71,2;1,016;1,012;132,26;134,3;1
"22";1,084;0,994;232,42;208,12;71,8;69,6;1,134;1;150,16;135,88;1
"23";0,852;0,85;185,04;194,52;65,4;64,6;0,862;0,842;120,36;128,62;0
"24";1,012;1,028;209,74;203,68;69,6;72,2;1,014;1;136,92;132,64;0
"25";0,992;0,914;203,98;185,34;68,8;66,4;0,988;0,884;132,1;121,82;1
"26";0,952;0,994;201,52;203,46;69;69,6;0,912;0,98;132,34;130,56;0
"27";0,928;0,9;194,22;190,1;69,2;66,4;0,944;0,91;125,66;124,06;1
"28";0,934;1;197,56;209,32;67,2;70,8;0,958;1,038;127,2;135,78;0
"29";0,996;0,996;207,64;201,02;71,4;70,4;1,01;1,002;133,96;128,54;1
"30";1,084;1,026;232,42;217,16;71,8;68;1,134;1,082;150,16;143,3;1
"31";0,898;0,964;190,6;203,66;68,2;66,8;0,866;0,966;122,28;133,34;0
"32";0,922;0,988;193,56;192,76;67,2;70,4;0,874;0,968;126,9;124,02;0
"33";1,028;0,97;213,48;208;70,2;68,6;1,036;0,968;138,64;135,76;0
"34";0,924;0,916;199,58;191,66;68;68,6;0,932;0,91;132,56;126,02;0
"35";1,014;0,992;202,4;208,5;71,2;70;1,014;1,028;132,94;134,86;1
"36";0,988;0,954;196,7;193,04;70,4;69;0,992;0,972;126,52;127,98;1
"37";0,97;0,84;210,48;181,74;67,4;64,6;0,968;0,824;136,14;120,24;1
"38";0,942;0,786;198,14;177,56;68,4;61,8;0,924;0,766;128,48;119,42;1
"39";0,96;1,018;210,62;202,12;67,2;71;0,976;1,016;136,18;132,26;1
"40";1,028;0,958;213,48;206,16;70,2;68,6;1,036;0,96;138,64;134,98;1
"41";0,928;0,998;194,22;210,48;69,2;69,8;0,944;1,024;125,66;137,5;1
"42";0,808;0,898;178,26;190,6;64;68,2;0,784;0,866;116,4;122,28;1
"43";0,996;0,84;208,56;181,74;69,6;64,6;1,014;0,824;132,98;120,24;1
"44";0,914;0,892;185,34;196,12;66,4;64;0,884;0,882;121,82;128,04;0
"45";0,99;0,946;200,8;198,28;70,2;68,4;0,95;0,932;130,74;131,06;1
"46";1,084;0,97;213,52;208;72;68,6;1,088;0,968;139,2;135,76;1
"47";0,922;0,904;197,98;194,74;68,6;66,6;0,922;0,87;130,14;127;0
"48";0,964;0,864;198,34;179,28;69,6;68,2;0,948;0,816;129,96;118,3;1
"49";1,002;1,008;201,66;207,24;70,2;71,2;1,02;1,012;130,12;134,3;0
"50";1,002;0,916;201,66;192,74;70,2;69,2;1,02;0,888;130,12;124,92;1
"51";1,084;1,028;213,52;203,68;72;72,2;1,088;1;139,2;132,64;0
"52";1,028;0,942;213,48;188,18;70,2;69,4;1,036;0,914;138,64;124,2;1
"53";0,942;0,916;199,34;192,74;67,8;69,2;0,942;0,888;131,52;124,92;0
"54";0,934;1,008;199,94;207,24;68,4;71,2;0,932;1,012;131,66;134,3;0
"55";0,916;1,014;192,74;191,8;69,2;71,8;0,888;0,984;124,92;124,4;1
"56";1,002;1,018;201,66;202,12;70,2;71;1,02;1,016;130,12;132,26;0
"57";0,984;0,934;197,34;199,94;70,2;68,4;0,96;0,932;129,56;131,66;0
"58";0,974;0,942;203,18;199,34;69;67,8;0,982;0,942;132,3;131,52;0
"59";0,96;0,974;210,62;203,18;67,2;69;0,976;0,982;136,18;132,3;1
"60";0,954;1,002;202,48;201,66;69,4;70,2;0,95;1,02;131,82;130,12;0
"61";1,018;0,984;202,12;197,34;71;70,2;1,016;0,96;132,26;129,56;1
"62";0,932;1,008;203,46;207,24;67;71,2;0,94;1,012;132,48;134,3;0
"63";0,932;0,964;203,46;202,46;67;69;0,94;0,954;132,48;133,48;1
"64";1,028;0,958;203,68;206,16;72,2;68,6;1;0,96;132,64;134,98;1
"65";0,97;0,942;208;188,18;68,6;69,4;0,968;0,914;135,76;124,2;0
"66";1,084;1,012;213,52;209,74;72;69,6;1,088;1,014;139,2;136,92;0
"67";1,008;0,948;207,24;202,1;71,2;68,6;1,012;0,938;134,3;131,86;1
"68";0,932;0,916;203,46;192,74;67;69,2;0,94;0,888;132,48;124,92;0
"69";0,946;0,984;189,66;197,34;69,8;70,2;0,912;0,96;123,96;129,56;0
"70";1,018;0,952;202,12;194,6;71;69,2;1,016;0,936;132,26;125,82;1
"71";0,954;1,014;202,48;191,8;69,4;71,8;0,95;0,984;131,82;124,4;1
"72";0,96;0,91;187,1;190,78;70,4;67,2;0,932;0,91;123,86;127,1;0
"73";0,96;0,946;210,62;193;67,2;70;0,976;0,914;136,18;125,52;1
"74";0,96;0,954;187,1;202,48;70,4;69,4;0,932;0,95;123,86;131,82;0
"75";0,91;1,014;190,78;191,8;67,2;71,8;0,91;0,984;127,1;124,4;0
"76";1,002;0,934;201,66;199,94;70,2;68,4;1,02;0,932;130,12;131,66;1
"77";1,018;0,964;202,12;202,46;71;69;1,016;0,954;132,26;133,48;1
"78";0,984;0,948;197,34;202,1;70,2;68,6;0,96;0,938;129,56;131,86;1
"79";1,004;0,996;207,6;201,46;70,6;70,2;1,006;0,992;136,66;129,72;0
"80";0,972;1,034;197,14;214,58;70,4;70,2;0,98;1,064;126,44;137,7;1
"81";0,942;0,756;199,34;175,24;67,8;61,4;0,942;0,712;131,52;115,66;1
"82";0,968;0,948;197,54;202,1;70,2;68,6;0,958;0,938;129,84;131,86;0
"83";0,962;0,756;203,68;175,24;69,4;61,4;0,96;0,712;133,3;115,66;0
"84";0,93;0,84;191,78;181,74;68,8;64,6;0,926;0,824;127,86;120,24;0
"85";0,996;0,97;208,56;210,48;69,6;67,4;1,014;0,968;132,98;136,14;0
"86";1,01;1,002;208,94;205,8;69,4;68,6;0,996;1,016;136,58;133,8;0
"87";0,944;0,994;197,3;203,46;67,6;69,6;0,964;0,98;128,08;130,56;1
"88";0,988;0,946;196,7;198,28;70,4;68,4;0,992;0,932;126,52;131,06;1
"89";0,922;0,952;193,56;201,52;67,2;69;0,874;0,912;126,9;132,34;0
"90";0,984;0,924;215,72;199,58;69,6;68;1,022;0,932;137,74;132,56;0
"91";0,938;0,786;210,08;177,56;67;61,8;0,96;0,766;135,16;119,42;1
"92";0,942;0,988;198,14;192,76;68,4;70,4;0,924;0,968;128,48;124,02;0
"93";1,026;0,808;211,96;178,26;70,6;64;1,012;0,784;138,92;116,4;1
"94";0,93;0,97;191,78;210,48;68,8;67,4;0,926;0,968;127,86;136,14;0
"95";0,988;0,934;192,76;197,56;70,4;67,2;0,968;0,958;124,02;127,2;1
"96";0,898;0,84;191,84;181,74;65,6;64,6;0,91;0,824;125,32;120,24;0
"97";0,954;0,996;193,04;201,02;69;70,4;0,972;1,002;127,98;128,54;0
"98";1;0,942;209,32;198,14;70,8;68,4;1,038;0,924;135,78;128,48;1
"99";0,938;0,952;210,08;201,52;67;69;0,96;0,912;135,16;132,34;0
"100";1,018;1,068;216,68;215,08;70,6;74,2;1,068;1,086;139,58;140,18;0
"101";0,996;1,088;207,64;232,22;71,4;70,4;1,01;1,162;133,96;148,58;0
"102";0,994;0,922;203,46;193,56;69,6;67,2;0,98;0,874;130,56;126,9;1
"103";0,972;0,914;214,56;198,94;68,6;67,4;0,98;0,96;141,06;129,46;0
"104";1,03;1,028;211,76;209,72;72;71,6;1,05;1,06;137,48;136,78;1
"105";0,998;0,97;210,48;210,48;69,8;67,4;1,024;0,968;137,5;136,14;1
"106";1,028;0,97;203,68;208;72,2;68,6;1;0,968;132,64;135,76;0
"107";1,084;0,968;213,52;194,6;72;69,4;1,088;0,934;139,2;128,86;1
"108";0,922;0,938;193,56;210,08;67,2;67;0,874;0,96;126,9;135,16;0
"109";0,84;0,928;181,74;194,22;64,6;69,2;0,824;0,944;120,24;125,66;0
"110";0,952;0,934;201,52;197,56;69;67,2;0,912;0,958;132,34;127,2;0
"111";0,994;0,942;203,46;198,14;69,6;68,4;0,98;0,924;130,56;128,48;1
"112";0,898;0,996;191,84;208,56;65,6;69,6;0,91;1,014;125,32;132,98;0
"113";1,012;0,958;209,74;206,16;69,6;68,6;1,014;0,96;136,92;134,98;0
"114";1;0,786;209,32;177,56;70,8;61,8;1,038;0,766;135,78;119,42;1
"115";1,026;0,898;211,96;190,6;70,6;68,2;1,012;0,866;138,92;122,28;0
"116";0,958;0,968;206,16;194,6;68,6;69,4;0,96;0,934;134,98;128,86;1
"117";0,93;0,996;191,78;208,56;68,8;69,6;0,926;1,014;127,86;132,98;1
"118";0,898;0,97;191,84;210,48;65,6;67,4;0,91;0,968;125,32;136,14;0
"119";0,964;0,808;203,66;178,26;66,8;64;0,966;0,784;133,34;116,4;0
"120";0,84;0,998;181,74;210,48;64,6;69,8;0,824;1,024;120,24;137,5;0
"121";1,068;1,014;215,08;202,4;74,2;71,2;1,086;1,014;140,18;132,94;0
"122";0,984;1,01;215,72;208,94;69,6;69,4;1,022;0,996;137,74;136,58;0
"123";1,028;1,028;213,48;203,68;70,2;72,2;1,036;1;138,64;132,64;1
"124";0,926;0,894;202,14;194,32;66;65,2;0,932;0,878;132,34;128,02;0
"125";0,902;0,848;190,98;192,02;67,2;66;0,912;0,94;125,46;125,7;0
"126";0,88;0,874;188,06;190,9;67,4;64;0,904;0,878;124,66;123,74;1
"127";1,076;0,96;207,78;187,1;72,6;70,4;1,108;0,932;135,2;123,86;1
"128";0,958;0,97;206,16;208;68,6;68,6;0,96;0,968;134,98;135,76;0
"129";1,012;1,028;209,74;213,48;69,6;70,2;1,014;1,036;136,92;138,64;0
"130";1,028;0,968;203,68;194,6;72,2;69,4;1;0,934;132,64;128,86;0
"131";0,904;0,906;194,74;184,96;66,6;70;0,87;0,89;127;117,68;1
"132";1,04;1,076;214,6;207,78;71,2;72,6;1,058;1,108;141,08;135,2;1
"133";1,018;0,96;202,12;187,1;71;70,4;1,016;0,932;132,26;123,86;0
"134";1,018;0,932;202,12;203,46;71;67;1,016;0,94;132,26;132,48;1
"135";0,96;0,946;187,1;189,66;70,4;69,8;0,932;0,912;123,86;123,96;1
"136";0,894;0,926;194,32;202,14;65,2;66;0,878;0,932;128,02;132,34;0
"137";1,012;0,97;209,74;208;69,6;68,6;1,014;0,968;136,92;135,76;1
"138";1,028;1,084;213,48;213,52;70,2;72;1,036;1,088;138,64;139,2;1
"139";0,916;1,04;192,74;210,28;69,2;71,4;0,888;1,058;124,92;135,28;0
"140";0,932;0,984;203,46;197,34;67;70,2;0,94;0,96;132,48;129,56;1
"141";1,076;1,002;207,78;201,66;72,6;70,2;1,108;1,02;135,2;130,12;1
"142";0,946;0,934;189,66;197,06;69,8;67;0,912;0,934;123,96;129,68;1
"143";1,018;1,024;202,12;209,42;71;71,8;1,016;1,02;132,26;137,46;0
"144";0,966;0,946;212,5;189,66;67,4;69,8;0,986;0,912;136,62;123,96;0
"145";1,008;0,916;207,24;192,74;71,2;69,2;1,012;0,888;134,3;124,92;0
"146";1,04;0,944;210,28;202,34;71,4;67,4;1,058;0,954;135,28;133,1;1
"147";1,076;0,954;207,78;202,36;72,6;69,2;1,108;0,948;135,2;131,5;1
"148";0,96;1,008;187,1;207,24;70,4;71,2;0,932;1,012;123,86;134,3;1
"149";1,04;0,966;214,6;212,5;71,2;67,4;1,058;0,986;141,08;136,62;1
"150";1,024;0,946;209,42;193;71,8;70;1,02;0,914;137,46;125,52;1
"151";0,932;1,002;203,46;201,66;67;70,2;0,94;1,02;132,48;130,12;0
"152";0,984;0,96;197,34;187,1;70,2;70,4;0,96;0,932;129,56;123,86;0
"153";1,008;0,912;207,24;197,1;71,2;66,4;1,012;0,898;134,3;129,18;1
"154";1,018;0,908;202,12;198,98;71;66,6;1,016;0,888;132,26;130,86;1
"155";1,024;0,934;209,42;199,94;71,8;68,4;1,02;0,932;137,46;131,66;1
"156";0,952;0,946;194,6;193;69,2;70;0,936;0,914;125,82;125,52;0
"157";1,04;0,902;214,6;197,66;71,2;67,2;1,058;0,938;141,08;130,08;1
"158";1,076;0,916;207,78;192,74;72,6;69,2;1,108;0,888;135,2;124,92;1
"159";0,954;0,974;202,36;203,18;69,2;69;0,948;0,982;131,5;132,3;1
"160";0,944;0,932;202,34;203,46;67,4;67;0,954;0,94;133,1;132,48;0
"161";1,002;0,906;201,66;195,02;70,2;66,6;1,02;0,89;130,12;127,7;1
"162";0,944;0,938;197,3;210,08;67,6;67;0,964;0,96;128,08;135,16;1
"163";0,988;1;192,76;209,32;70,4;70,8;0,968;1,038;124,02;135,78;0
"164";0,922;0,942;193,56;198,14;67,2;68,4;0,874;0,924;126,9;128,48;1
"165";0,994;0,786;203,46;177,56;69,6;61,8;0,98;0,766;130,56;119,42;1
"166";0,984;0,788;197,34;175,94;70,2;63,2;0,96;0,774;129,56;113,92;1
"167";0,974;0,842;203,18;190,28;69;63,6;0,982;0,82;132,3;128,78;1
"168";1,04;0,834;210,28;188,04;71,4;64,6;1,058;0,794;135,28;123,74;1
"169";1,008;0,922;207,24;197,64;71,2;67,2;1,012;0,922;134,3;129,46;1
"170";0,988;0,952;192,76;201,52;70,4;69;0,968;0,912;124,02;132,34;1
"171";0,786;0,944;177,56;197,3;61,8;67,6;0,766;0,964;119,42;128,08;0
"172";1;0,922;209,32;193,56;70,8;67,2;1,038;0,874;135,78;126,9;1
"173";0,994;0,938;203,46;210,08;69,6;67;0,98;0,96;130,56;135,16;1
"174";0,938;0,988;210,08;192,76;67;70,4;0,96;0,968;135,16;124,02;1
"175";1;0,994;209,32;203,46;70,8;69,6;1,038;0,98;135,78;130,56;0
"176";0,942;0,944;198,14;197,3;68,4;67,6;0,924;0,964;128,48;128,08;0
"177";0,786;0,952;177,56;201,52;61,8;69;0,766;0,912;119,42;132,34;0
"178";0,954;0,988;193,04;196,7;69;70,4;0,972;0,992;127,98;126,52;1
"179";0,964;1,032;198,34;211,76;69,6;71,2;0,948;1,06;129,96;135,36;1
"180";0,866;0,988;185,26;196,7;64,8;70,4;0,83;0,992;121,28;126,52;0
"181";1,026;0,988;201,34;196,7;72,4;70,4;1,036;0,992;129,56;126,52;0
"182";0,866;0,954;185,26;193,04;64,8;69;0,83;0,972;121,28;127,98;0
"183";1,026;0,848;201,34;181,16;72,4;65,2;1,036;0,818;129,56;121,22;1
"184";0,958;0,848;198,02;181,3;69,2;65;0,95;0,836;128,24;118,4;1
"185";1,084;0,968;213,52;194,6;72;69,4;1,088;0,934;139,2;128,86;1
