"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"1";"Japan";"Russia";"Japan";"Russia";"Japan";"Japan";"Japan";"Japan";"Japan";"South Korea"
"2";"Australia";"Australia";"Iran, Islamic Republic of";"Australia";"Australia";"Australia";"New Zealand";"Australia";"Australia";"Australia"
"3";"Singapore";"Singapore";"Singapore";"Vietnam";"Thailand";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore"
"4";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"5";"China";"China";"Taiwan";"China";"China";"China";"China";"China";"China";"China"
"6";"China";"China";"China";"Hong Kong";"Hong Kong";"China";"China";"Taiwan";"China";"China"
"7";"Australia";"Australia";"New Zealand";"Australia";"Australia";"New Zealand";"New Zealand";"New Zealand";"Australia";"Iran, Islamic Republic of"
"8";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"9";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"10";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Singapore";"Singapore";"Singapore";"Singapore"
"11";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"12";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"13";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Singapore";"Indonesia";"Indonesia";"Indonesia"
"14";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Japan";"Thailand";"Thailand";"Thailand"
"15";"Japan";"Japan";"Japan";"South Korea";"Japan";"South Korea";"Japan";"Japan";"South Korea";"Japan"
"16";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan"
"17";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"18";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong";"China";"Hong Kong";"Hong Kong";"Hong Kong";"Taiwan"
"19";"Portugal";"Portugal";"Portugal";"Netherlands";"United Kingdom";"Poland";"Portugal";"Portugal";"Portugal";"Netherlands"
"20";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Spain";"Portugal";"Portugal";"Portugal";"Spain"
"21";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal"
"22";"United States";"Latvia";"United States";"United States";"Canada";"Brazil";"Brazil";"Argentina";"Brazil";"Brazil"
"23";"Portugal";"Bulgaria";"Portugal";"Slovakia";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal"
"24";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"25";"Japan";"Japan";"Japan";"Japan";"South Korea";"Philippines";"Russia";"Japan";"Japan";"Russia"
"26";"Russia";"Japan";"Russia";"Japan";"Japan";"Japan";"South Korea";"Japan";"Japan";"Japan"
"27";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
