"";"pais1";"pais2"
"1";"Japan";"Japan"
"2";"Australia";"Australia"
"3";"Singapore";"Singapore"
"4";"Philippines";"Philippines"
"5";"China";"China"
"6";"China";"China"
"7";"Australia";"Australia"
"8";"Indonesia";"Indonesia"
"9";"Thailand";"Thailand"
"10";"Malaysia";"Singapore"
"11";"Philippines";"Philippines"
"12";"Vietnam";"Vietnam"
"13";"Indonesia";"Indonesia"
"14";"Thailand";"Thailand"
"15";"Japan";"Japan"
"16";"Taiwan";"Taiwan"
"17";"Vietnam";"Vietnam"
"18";"Hong Kong";"Hong Kong"
"19";"Portugal";"Portugal"
"20";"Portugal";"Portugal"
"21";"Portugal";"Portugal"
"22";"United States";"Brazil"
"23";"Portugal";"Portugal"
"24";"South Korea";"Thailand"
"25";"Japan";"Japan"
"26";"Japan";"Japan"
"27";"Turkey";"Turkey"
"28";"Turkey";"Turkey"
"29";"Europe";"Spain"
"30";"Spain";"Spain"
"31";"United Kingdom";"Europe"
"32";"France";"France"
"33";"Europe";"Spain"
"34";"Italy";"Italy"
"35";"France";"Netherlands"
"36";"Turkey";"Turkey"
"37";"Europe";"Spain"
"38";"Italy";"Italy"
"39";"France";"France"
"40";"Spain";"Spain"
"41";"Portugal";"Portugal"
"42";"Europe";"Europe"
"43";"Europe";"France"
"44";"Italy";"Italy"
"45";"Portugal";"Portugal"
"46";"France";"Europe"
"47";"Portugal";"Portugal"
"48";"Portugal";"Portugal"
"49";"Brazil";"Brazil"
"50";"Taiwan";"China"
"51";"Turkey";"Turkey"
"52";"Turkey";"Turkey"
"53";"Spain";"Spain"
"54";"Spain";"Europe"
"55";"France";"Europe"
"56";"Spain";"Spain"
"57";"France";"France"
"58";"Turkey";"Turkey"
"59";"Spain";"Spain"
"60";"France";"Europe"
"61";"Europe";"Europe"
"62";"Brazil";"Brazil"
"63";"France";"France"
"64";"France";"Netherlands"
"65";"Brazil";"Brazil"
"66";"China";"China"
"67";"China";"China"
"68";"South Korea";"South Korea"
"69";"South Korea";"South Korea"
"70";"Taiwan";"China"
"71";"China";"China"
"72";"Europe";"Philippines"
"73";"Italy";"Italy"
"74";"Italy";"Italy"
"75";"Europe";"Chile"
"76";"Japan";"Chile"
"77";"China";"China"
"78";"South Korea";"South Korea"
"79";"Singapore";"Singapore"
"80";"Vietnam";"Vietnam"
"81";"Turkey";"Turkey"
"82";"China";"China"
"83";"Hong Kong";"Taiwan"
"84";"Vietnam";"Vietnam"
"85";"Singapore";"Malaysia"
"86";"Turkey";"Turkey"
"87";"Taiwan";"Taiwan"
"88";"Europe";"India"
"89";"Turkey";"Indonesia"
"90";"United States";"China"
"91";"China";"China"
"92";"Philippines";"Philippines"
"93";"China";"China"
"94";"South Korea";"South Korea"
"95";"Malaysia";"Singapore"
"96";"Taiwan";"Hong Kong"
"97";"Philippines";"Philippines"
"98";"Vietnam";"Vietnam"
"99";"Turkey";"Turkey"
"100";"Indonesia";"Indonesia"
"101";"Indonesia";"Indonesia"
"102";"China";"China"
"103";"Australia";"Australia"
"104";"Taiwan";"Hong Kong"
"105";"Vietnam";"Vietnam"
"106";"Singapore";"Singapore"
"107";"Turkey";"Turkey"
"108";"China";"China"
"109";"United States";"Europe"
"110";"South Korea";"Brazil"
"111";"Australia";"Australia"
"112";"Malaysia";"Singapore"
"113";"Philippines";"Philippines"
"114";"Australia";"Australia"
"115";"Indonesia";"Indonesia"
"116";"Thailand";"Thailand"
"117";"South Korea";"South Korea"
"118";"Philippines";"Philippines"
"119";"Vietnam";"Vietnam"
"120";"Turkey";"Turkey"
"121";"Indonesia";"Indonesia"
"122";"Thailand";"Thailand"
"123";"China";"China"
"124";"Taiwan";"Taiwan"
"125";"Vietnam";"Vietnam"
"126";"Turkey";"Turkey"
"127";"China";"China"
"128";"Philippines";"Europe"
"129";"Chile";"Europe"
"130";"Australia";"Australia"
"131";"Singapore";"Malaysia"
"132";"Philippines";"Philippines"
"133";"China";"China"
"134";"Australia";"Australia"
"135";"Indonesia";"Indonesia"
"136";"Thailand";"Thailand"
"137";"Singapore";"Singapore"
"138";"Taiwan";"Hong Kong"
"139";"Philippines";"Philippines"
"140";"Vietnam";"Vietnam"
"141";"Turkey";"Turkey"
"142";"Indonesia";"Indonesia"
"143";"Thailand";"Thailand"
"144";"China";"China"
"145";"Germany";"Germany"
"146";"Hong Kong";"Taiwan"
"147";"Vietnam";"Vietnam"
"148";"Germany";"Germany"
"149";"Turkey";"Turkey"
"150";"Portugal";"Portugal"
"151";"Turkey";"United States"
"152";"Europe";"Brazil"
"153";"Europe";"Chile"
"154";"United States";"Europe"
"155";"United States";"United States"
"156";"United States";"United States"
"157";"China";"China"
"158";"Taiwan";"China"
"159";"Turkey";"Turkey"
"160";"Turkey";"Turkey"
"161";"Europe";"Sweden"
"162";"Turkey";"Turkey"
"163";"Italy";"Italy"
"164";"Italy";"Italy"
"165";"Denmark";"Europe"
"166";"Brazil";"Brazil"
"167";"Italy";"Italy"
"168";"United States";"United States"
"169";"United States";"United States"
"170";"China";"China"
"171";"China";"China"
"172";"Vietnam";"Vietnam"
"173";"Vietnam";"Vietnam"
"174";"China";"China"
"175";"China";"Taiwan"
"176";"Turkey";"Turkey"
"177";"Turkey";"Turkey"
"178";"Brazil";"Brazil"
"179";"Canada";"United States"
"180";"Brazil";"Brazil"
"181";"Dominican Republic";"Mexico"
"182";"Canada";"United States"
"183";"Colombia";"Colombia"
"184";"China";"China"
"185";"Vietnam";"Vietnam"
"186";"China";"China"
"187";"Vietnam";"Vietnam"
"188";"Taiwan";"China"
"189";"Brazil";"South Korea"
"190";"China";"China"
"191";"China";"China"
"192";"China";"China"
"193";"China";"China"
"194";"Europe";"Europe"
"195";"China";"China"
"196";"China";"China"
"197";"Brazil";"Europe"
"198";"Australia";"Australia"
"199";"China";"China"
"200";"China";"China"
"201";"Portugal";"Portugal"
"202";"Spain";"Europe"
"203";"Poland";"Greece"
"204";"Europe";"Czech Republic"
"205";"Israel";"Europe"
"206";"Poland";"Hungary"
"207";"Turkey";"Turkey"
"208";"Europe";"Israel"
"209";"Brazil";"Brazil"
"210";"Italy";"Italy"
"211";"Turkey";"Turkey"
"212";"Poland";"Czech Republic"
"213";"Philippines";"Philippines"
"214";"Australia";"Australia"
"215";"Australia";"Australia"
"216";"Philippines";"Philippines"
"217";"Taiwan";"Taiwan"
"218";"Taiwan";"Hong Kong"
"219";"Turkey";"Turkey"
"220";"Europe";"Spain"
"221";"Saudi Arabia";"Jordan"
"222";"Italy";"Italy"
"223";"Egypt";"Egypt"
"224";"Chile";"Argentina"
"225";"China";"China"
"226";"Indonesia";"Indonesia"
"227";"Indonesia";"Indonesia"
"228";"China";"China"
"229";"Australia";"Australia"
"230";"Philippines";"Philippines"
"231";"China";"Taiwan"
"232";"Hong Kong";"Taiwan"
"233";"Philippines";"Philippines"
"234";"Hong Kong";"Hong Kong"
"235";"China";"China"
