"";"V1";"V2"
"1";"https://www.vlr.gg/team/283/sengoku-gaming";"https://www.vlr.gg/team/6869/igzist"
"2";"https://www.vlr.gg/team/1412/95x-esports";"https://www.vlr.gg/team/11480/mammoth-esc"
"3";"https://www.vlr.gg/team/6387/bleed";"https://www.vlr.gg/team/2532/louvre"
"4";"https://www.vlr.gg/team/7031/naos";"https://www.vlr.gg/team/9507/gamelab-alpha"
"5";"https://www.vlr.gg/team/4462/nter";"https://www.vlr.gg/team/5443/kone-esc"
"6";"https://www.vlr.gg/team/1211/totoro-gaming";"https://www.vlr.gg/team/1837/attacking-soul-esports"
"7";"https://www.vlr.gg/team/9727/koopa-troopas";"https://www.vlr.gg/team/7312/honey-badgers"
"8";"https://www.vlr.gg/team/8925/arf-team";"https://www.vlr.gg/team/11304/hero-zero-anubis"
"9";"https://www.vlr.gg/team/8106/gelida-esports";"https://www.vlr.gg/team/622/thailand-attitude"
"10";"https://www.vlr.gg/team/879/todak";"https://www.vlr.gg/team/10979/kizuna-esports"
"11";"https://www.vlr.gg/team/3136/oasis-gaming";"https://www.vlr.gg/team/11529/puggers"
"12";"https://www.vlr.gg/team/10400/tim-t-i-tr";"https://www.vlr.gg/team/4330/fancy-united-esports"
"13";"https://www.vlr.gg/team/1110/alter-ego";"https://www.vlr.gg/team/2814/bigetron-arctic"
"14";"https://www.vlr.gg/team/497/attack-all-around";"https://www.vlr.gg/team/7397/xerxia-esports"
"15";"https://www.vlr.gg/team/2934/fennel";"https://www.vlr.gg/team/2988/northeption"
"16";"https://www.vlr.gg/team/11318/sendtreepay";"https://www.vlr.gg/team/10597/one-team-esports"
"17";"https://www.vlr.gg/team/8470/victory";"https://www.vlr.gg/team/11238/twokay"
"18";"https://www.vlr.gg/team/3108/oblivion-force";"https://www.vlr.gg/team/3179/anti-eco-eco-club"
"19";"https://www.vlr.gg/team/9011/impulse-gw";"https://www.vlr.gg/team/9762/gtz-esports"
"20";"https://www.vlr.gg/team/5644/panthers-esports";"https://www.vlr.gg/team/7105/ex0tik-gaming"
"21";"https://www.vlr.gg/team/1791/ftw-esports";"https://www.vlr.gg/team/11274/vikings-fourteen"
"22";"https://www.vlr.gg/team/1034/nrg-esports";"https://www.vlr.gg/team/6961/loud"
"23";"https://www.vlr.gg/team/4671/egn-esports";"https://www.vlr.gg/team/2755/saw"
"24";"https://www.vlr.gg/team/8185/drx";"https://www.vlr.gg/team/8304/talon-esports"
"25";"https://www.vlr.gg/team/277/crazy-raccoon";"https://www.vlr.gg/team/282/scarz"
"26";"https://www.vlr.gg/team/283/sengoku-gaming";"https://www.vlr.gg/team/2934/fennel"
"27";"https://www.vlr.gg/team/5310/fenerbah-e-esports";"https://www.vlr.gg/team/4686/fire-flux-esports"
"28";"https://www.vlr.gg/team/2908/thunderbolts-gaming";"https://www.vlr.gg/team/6751/parla-esports"
"29";"https://www.vlr.gg/team/6149/case-esports";"https://www.vlr.gg/team/11176/aym-esports"
"30";"https://www.vlr.gg/team/11177/falcons";"https://www.vlr.gg/team/8924/ramboot-club"
"31";"https://www.vlr.gg/team/10190/les-petits-bouffons";"https://www.vlr.gg/team/11479/apeks"
"32";"https://www.vlr.gg/team/10188/valiant";"https://www.vlr.gg/team/8067/begenius"
"33";"https://www.vlr.gg/team/4616/ucam-tokiers";"https://www.vlr.gg/team/4538/team-queso"
"34";"https://www.vlr.gg/team/4141/wlgaming-esports";"https://www.vlr.gg/team/1316/qlash"
"35";"https://www.vlr.gg/team/11232/joblife";"https://www.vlr.gg/team/8128/wylde"
"36";"https://www.vlr.gg/team/9077/s2g-esports";"https://www.vlr.gg/team/4669/digital-athletics"
"37";"https://www.vlr.gg/team/6313/kpi-gaming";"https://www.vlr.gg/team/2499/movistar-riders"
"38";"https://www.vlr.gg/team/6127/axolotl";"https://www.vlr.gg/team/10094/gmt-esports"
"39";"https://www.vlr.gg/team/11247/sbg";"https://www.vlr.gg/team/11273/3dmax"
"40";"https://www.vlr.gg/team/8258/zeta-gaming";"https://www.vlr.gg/team/6750/rebels-gaming"
"41";"https://www.vlr.gg/team/4671/egn-esports";"https://www.vlr.gg/team/9762/gtz-esports"
"42";"https://www.vlr.gg/team/6400/human-tripwires";"https://www.vlr.gg/team/6882/fokus"
"43";"https://www.vlr.gg/team/2408/heet";"https://www.vlr.gg/team/7967/mandatory"
"44";"https://www.vlr.gg/team/3895/macko-esports";"https://www.vlr.gg/team/6538/dsyre"
"45";"https://www.vlr.gg/team/2755/saw";"https://www.vlr.gg/team/11274/vikings-fourteen"
"46";"https://www.vlr.gg/team/9559/zerance";"https://www.vlr.gg/team/11603/blx-utd"
"47";"https://www.vlr.gg/team/9011/impulse-gw";"https://www.vlr.gg/team/7105/ex0tik-gaming"
"48";"https://www.vlr.gg/team/5644/panthers-esports";"https://www.vlr.gg/team/1791/ftw-esports"
"49";"https://www.vlr.gg/team/4958/oddik";"https://www.vlr.gg/team/10735/tropicaos"
"50";"https://www.vlr.gg/team/9824/oxyg3nious";"https://www.vlr.gg/team/12009/dd-team"
