"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"1";0,942;1,058;202,372;218,922;66,2;71;0,978;1,138;132,082;141,404;0
"2";1,108;0,978;223,73;201,942;72,6;70,2;1,158;0,974;144,844;132,14;1
"3";1,076;0,992;219,574;205,938;72;69;1,11;1,048;142,116;132,538;1
"4";1,01;1,02;211,63;216,332;68,8;70,6;1,086;1,05;137,034;140,316;1
"5";1,09;1,02;225,18;205,124;71,2;72;1,16;1,006;143,022;133,772;1
"6";1,054;1,014;212,398;202,504;71,6;71,2;1,084;1,042;137,416;130,012;1
"7";0,964;1,024;197,136;218,498;70;70,2;0,946;1,088;129,42;141,374;0
"8";1,046;1,048;217,28;212,012;71,4;72,2;1,07;1,05;139,594;135,698;1
"9";1,046;0,894;204,488;182,218;71,4;68,6;1,056;0,854;134,348;119,068;0
"10";1,014;0,86;202,504;188,676;71,2;66,8;1,042;0,848;130,012;127,314;1
"11";1,09;1,052;225,18;207,31;71,2;71,6;1,16;1,062;143,022;136,034;1
"12";1,06;1,02;204,836;212,33;72,6;70,2;1,088;1,052;133,2;137,776;0
"13";1,072;0,712;210,978;165,77;76,8;56,2;1,104;0,666;134,056;111,01;1
"14";0,918;0,912;192,538;197,576;69;67,6;0,94;0,934;125,982;129,08;1
"15";1,024;0,902;214,27;185,164;70,8;67,4;1,05;0,91;141,436;119,778;1
"16";0,94;1,014;198,694;206,594;67,6;70,4;0,95;1,046;130,046;133,108;1
"17";1,08;1,014;212,03;216,414;73,6;70;1,104;1,056;137,266;139,512;0
"18";1,03;0,99;216,056;204,3;70,2;70,2;1,06;1,022;138,774;133,638;1
"19";1,094;1,076;218,146;219,574;72;72;1,158;1,11;142,032;142,116;1
"20";1,04;0,932;215,3;189,974;70,2;67,2;1,088;0,956;139,36;124,524;1
"21";0,98;1,108;197,514;223,73;70;72,6;0,97;1,158;129,066;144,844;0
"22";1,058;0,998;218,922;202,332;71;70;1,138;1,018;141,404;130,732;1
"23";1,082;1,09;213,194;221,938;73,6;72,4;1,112;1,17;137,086;142,86;0
"24";1,02;1,048;216,332;209,914;70,6;72,4;1,05;1,07;140,316;133,4;0
"25";0,942;0,992;202,372;205,938;66,2;69;0,978;1,048;132,082;132,538;0
"26";1,084;1,018;225,97;207,528;72,2;71;1,156;1,038;143,582;133,784;1
"27";0,934;1,01;198,426;211,63;67;68,8;0,932;1,086;128,496;137,034;0
"28";1,19;1,048;236,514;209,246;74,6;71,6;1,292;1,074;151,8;134,922;1
"29";0,942;1,158;195,984;226,118;68,8;74,8;0,932;1,222;128,118;147,334;0
"30";1,09;1,06;224,888;218,856;72,6;71,2;1,174;1,126;141,068;140,848;1
"31";1,102;1,056;215,658;222,42;72,4;70,2;1,124;1,086;136,132;142,536;1
"32";1,094;1,058;218,146;218,922;72;71;1,158;1,138;142,032;141,404;0
"33";1,076;1,018;219,574;207,528;72;71;1,11;1,038;142,116;133,784;1
"34";0,942;1,08;202,372;212,03;66,2;73,6;0,978;1,104;132,082;137,266;0
"35";1,084;1,014;225,97;216,414;72,2;70;1,156;1,056;143,582;139,512;1
"36";0,992;0,998;205,938;202,332;69;70;1,048;1,018;132,538;130,732;0
"37";1,048;1,048;216,922;213,038;71,4;73,4;1,126;1,084;141,042;135,27;1
"38";1,004;0,904;210,084;190,774;70,6;67,8;1,064;0,84;135,796;125,092;1
"39";1,086;1,024;220,098;215,85;73,4;71,2;1,14;1,068;140,736;138,632;1
"40";1,024;1,01;224,228;213,14;70,6;69,6;1,108;1,052;143,818;137,15;1
"41";1,028;1,104;217,048;226,534;68,4;71,8;1,16;1,23;139,212;144,42;1
"42";1,026;1,058;216,298;221,764;71,2;73;1,054;1,104;138,2;143,654;0
"43";1,02;1,134;210,04;237,052;71,8;73,2;1,04;1,192;133,996;151,218;0
