"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"1";1130,61;0,942;202,372;66,2;0,978;132,082;0,702;0,244;0,108;0,104;809,056;783,528;309,114;110,938;112,18;810,266;1,058;218,922;71;1,138;141,404;0,77;0,246;0,132;0,104;616,404;552,546;207,958;104,29;81,036;0
"2";878,508;1,108;223,73;72,6;1,158;144,844;0,778;0,26;0,122;0,104;693,8;588,116;220,496;113;90,508;529,812;0,982;201,84;70,2;0,974;132,02;0,702;0,274;0,102;0,102;375,674;380,232;133,066;59,4;56,882;1
"3";1578,018;1,076;219,574;72;1,11;142,116;0,772;0,26;0,116;0,106;1254,444;1105,234;379,732;210,694;177,514;1176,796;0,992;205,938;69;1,048;132,538;0,724;0,264;0,096;0,088;850,34;795,238;302,318;111,948;93,51;1
"4";733,092;1,01;211,63;68,8;1,086;137,034;0,748;0,218;0,116;0,102;545,692;503,1;148,336;82,326;73,616;363,802;1,014;215,33;70,6;1,04;139,684;0,744;0,278;0,102;0,114;265,638;257,508;110,306;36,12;39,596;1
"5";2860,296;1,088;224,852;71,2;1,156;142,812;0,79;0,268;0,13;0,106;2284,674;1937,87;834,302;352,794;276,844;1061,492;1,02;205,124;72;1,006;133,772;0,712;0,306;0,102;0,102;738,528;737,098;337,346;94,728;93,684;1
"6";1132,52;1,052;212,338;71,6;1,084;137,352;0,736;0,296;0,104;0,1;843,916;774,746;329,722;119,364;114,858;902,42;1,014;202,662;71,2;1,044;130,118;0,716;0,288;0,092;0,086;670,34;616,298;235,972;90,512;78,646;1
"7";282,532;0,974;198,494;70,2;0,958;130,308;0,69;0,308;0,092;0,096;202,464;203,444;91,782;27,496;27,35;1072,526;1,024;218,498;70,2;1,088;141,374;0,764;0,248;0,126;0,116;849,954;741,348;256,152;134,118;119,196;0
"8";992,772;1,044;216,794;71,4;1,068;139,448;0,758;0,256;0,122;0,106;762,642;707,914;257,212;124,064;106,56;1611,65;1,05;212,414;72,2;1,056;135,91;0,736;0,306;0,108;0,1;1202,41;1144,214;472,442;196,56;177,232;1
"9";667,27;1,054;205,338;71,6;1,07;134,832;0,718;0,322;0,084;0,08;479,806;455,226;226,114;56,058;52,722;102,752;0,894;182,218;68,6;0,854;119,068;0,63;0,282;0,072;0,096;67,16;75,586;27,624;8,238;9,952;0
"10";902,42;1,014;202,662;71,2;1,044;130,118;0,716;0,288;0,092;0,086;670,34;616,298;235,972;90,512;78,646;149,59;0,89;193,424;68;0,884;129,374;0,672;0,26;0,096;0,106;99,842;116,652;40,198;13,176;15,572;1
