"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR"
"1";1,004;0,904;210,084;190,774;70,6;67,8;1,064;0,84;135,796;125,092
"2";1,086;1,024;220,098;215,85;73,4;71,2;1,14;1,068;140,736;138,632
"3";1,024;1,01;224,228;213,14;70,6;69,6;1,108;1,052;143,818;137,15
"4";1,028;1,104;217,048;226,534;68,4;71,8;1,16;1,23;139,212;144,42
"5";1,026;1,058;216,298;221,764;71,2;73;1,054;1,104;138,2;143,654
"6";1,02;1,134;210,04;237,052;71,8;73,2;1,04;1,192;133,996;151,218
"7";1,024;1,03;212,116;223,47;69,4;67,8;1,124;1,166;137,102;142,66
"8";0,98;1,004;216,178;211,088;70,8;70,2;1,004;1,038;137,092;136,662
"9";1,01;1,012;211,178;208,652;71,2;71;1,036;1,042;137,74;135,456
"10";1,002;0,948;195,752;193,62;72,2;70,4;1,03;0,93;125,988;126,602
"11";0,974;1,036;208,072;203,676;69,2;70,2;1,02;1,064;133,864;129,7
"12";1,058;0,942;211,408;199,768;71,4;70,6;1,082;0,936;135,434;133,648
"13";1,1;0,916;216,06;193,052;72;68,4;1,156;0,91;140,784;126,114
"14";1,05;0,956;223,414;209,09;71,8;69;1,072;0,97;142,138;136,216
"15";0,984;1,018;220,622;207,95;67,6;72,2;1,074;1,072;139,468;132,008
"16";1,018;0,982;207,95;206,814;72,2;69,8;1,072;0,998;132,008;134,382
"17";1,038;1,006;208,146;205,352;71;71,4;1,074;1,074;132,406;128,87
"18";1,152;1,028;230,688;217,548;74,2;69,6;1,258;1,146;146,896;140,98
"19";0,984;1,036;220,622;218,672;67,6;71,6;1,074;1,064;139,468;141,588
"20";1,118;1,096;224,502;221,726;73;72,4;1,182;1,168;145,16;140,744
"21";1,076;1,014;219,77;216,53;71,8;70,2;1,116;1,056;142,212;139,512
"22";1,026;1,062;209,914;210,954;70,4;72,4;1,08;1,13;135,14;136,038
"23";0,946;1,02;203,072;207,74;65,8;70,8;0,986;1,042;132,524;133,922
"24";1,086;0,99;226,126;205,772;72,2;69;1,158;1,046;143,694;132,404
"25";1,092;0,998;218,2;202,31;72;70;1,162;1,018;142,082;130,704
"26";1,078;1,056;212,042;218,774;73,6;70,8;1,104;1,132;137,27;141,092
"27";1,058;0,9;216,63;196,598;71,8;67,2;1,124;0,918;140,536;128,84
"28";1,004;0,974;210,084;200,548;70,6;70;1,064;0,996;135,796;129,236
"29";0,98;1,086;216,178;220,098;70,8;73,4;1,004;1,14;137,092;140,736
"30";1,088;1,006;221,682;210,504;71,8;68,6;1,124;1,066;143,648;134,048
"31";1,024;1,018;224,228;203,84;70,6;71,2;1,108;1,056;143,818;132,75
"32";0,928;0,998;189,652;207,058;66,6;69,6;0,952;0,998;127,576;135,528
"33";1,012;1,026;216,118;216,298;69,8;71,2;1,104;1,054;137,766;138,2
"34";0,92;0,99;204,894;211,75;65,4;68,4;0,986;1,014;132,788;134,198
