"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"1";1736,466;1,09;226,072;72,2;1,16;143,614;0,792;0,25;0,122;0,11;1404,004;1174,602;384,642;257,798;197,474;1356,654;0,992;201,982;70;1,012;130,6;0,696;0,286;0,1;0,092;968,308;940,342;343,948;150,562;136,998;1
"2";449,54;0,916;192,142;68,8;0,936;125,6;0,672;0,274;0,098;0,098;320,48;315,008;101,316;45,998;41,956;1038,5;1,094;222,008;72,4;1,176;142,922;0,782;0,258;0,122;0,11;842,992;698,544;238,08;146,482;124,236;0
"3";935,726;1,016;207,426;70,8;1,034;133,698;0,724;0,254;0,102;0,1;685,92;651,552;237,886;98,344;94,028;1642,548;1,014;216,496;70,2;1,056;139,594;0,75;0,27;0,116;0,112;1246,562;1141,372;476,584;190,49;180,604;0
"4";869,134;1,048;210,2;72,4;1,068;133,648;0,724;0,316;0,11;0,092;596,108;575,714;327,138;69,982;64,922;442,836;0,972;197,294;70;0,964;129,042;0,692;0,272;0,098;0,108;310,658;314,546;120,772;43,038;41,95;1
"5";921,834;1,09;217,708;72;1,152;141,852;0,764;0,308;0,106;0,084;702,692;605,45;300,818;92,978;73,43;2056,79;1,08;212,19;73,6;1,104;137,316;0,744;0,3;0,108;0,092;1525,044;1363,364;636,76;213,104;170,5;0
"6";541,432;1,034;216,11;70,2;1,06;138,816;0,754;0,282;0,114;0,1;425,632;400,52;144,948;78,478;66,602;395,124;1,038;215,03;70,4;1,084;139,308;0,752;0,254;0,118;0,104;301,348;279,876;99,292;52,828;45,712;1
"7";1489,684;1,158;226,054;74,8;1,222;147,304;0,79;0,31;0,104;0,082;1092,322;932,724;523,076;121,77;96,32;263,832;0,926;197,618;66,8;0,928;128,082;0,68;0,294;0,1;0,116;181,408;198,268;77,008;27,994;30,104;1
"8";1130,61;0,942;202,372;66,2;0,978;132,082;0,702;0,244;0,108;0,104;809,056;783,528;309,114;110,938;112,18;810,266;1,058;218,922;71;1,138;141,404;0,77;0,246;0,132;0,104;616,404;552,546;207,958;104,29;81,036;0
"9";878,508;1,108;223,73;72,6;1,158;144,844;0,778;0,26;0,122;0,104;693,8;588,116;220,496;113;90,508;522,424;0,978;201,942;70,2;0,974;132,14;0,702;0,272;0,102;0,102;370,11;375,598;130,956;58,406;56,082;1
"10";1578,018;1,076;219,574;72;1,11;142,116;0,772;0,26;0,116;0,106;1254,444;1105,234;379,732;210,694;177,514;1176,796;0,992;205,938;69;1,048;132,538;0,724;0,264;0,096;0,088;850,34;795,238;302,318;111,948;93,51;1
"11";733,092;1,01;211,63;68,8;1,086;137,034;0,748;0,218;0,116;0,102;545,692;503,1;148,336;82,326;73,616;355,874;1,02;216,332;70,6;1,05;140,316;0,752;0,28;0,104;0,114;260,578;251,212;109,254;35,636;38,066;1
"12";2858,646;1,09;224,976;71,2;1,156;142,9;0,79;0,268;0,13;0,106;2284,472;1936,78;833,484;353,178;276,768;1061,492;1,02;205,124;72;1,006;133,772;0,712;0,306;0,102;0,102;738,528;737,098;337,346;94,728;93,684;1
"13";1132,632;1,052;212,45;71,6;1,084;137,41;0,738;0,296;0,104;0,1;844,23;774,744;329,864;119,456;114,854;895,756;1,014;202,504;71,2;1,042;130,012;0,716;0,288;0,092;0,086;664,428;612,398;233,522;89,74;78,252;1
"14";263,736;0,964;197,136;70;0,946;129,42;0,684;0,312;0,09;0,1;188,266;190,772;86,7;25,086;26,214;1072,526;1,024;218,498;70,2;1,088;141,374;0,764;0,248;0,126;0,116;849,954;741,348;256,152;134,118;119,196;0
"15";990,46;1,044;216,884;71,6;1,068;139,496;0,758;0,256;0,122;0,106;761,156;706,332;256,256;123,66;106,352;1602,054;1,05;212,382;72,2;1,054;135,886;0,736;0,306;0,108;0,1;1195,574;1137,284;470,28;195,446;175,994;1
"16";667,27;1,054;205,338;71,6;1,07;134,832;0,718;0,322;0,084;0,08;479,806;455,226;226,114;56,058;52,722;102,752;0,894;182,218;68,6;0,854;119,068;0,63;0,282;0,072;0,096;67,16;75,586;27,624;8,238;9,952;0
