"";"RND_diff";"R_diff";"ACS_diff";"KAST_diff";"KD_diff";"ADR_diff";"KPR_diff";"APR_diff";"FKPR_diff";"FDPR_diff";"K_diff";"D_diff";"A_diff";"FK_diff";"FD_diff";"ganhador"
"1";-42,466;0,0720000000000001;18,608;0,799999999999997;0,162;10,476;0,0680000000000001;-0,034;0,02;0,01;52,272;-4,55200000000002;-52,328;44,196;26,958;"1"
"2";1008,482;0,0880000000000001;12,97;1,2;0,138;7,392;0,0579999999999999;-0,046;-0,00799999999999999;-0,012;742,362;680,776;261,334;90,28;85,93;"1"
"3";972,388;0,052;6,078;1,39999999999999;0,046;2,25399999999999;0,018;0,034;0;-0,004;787,996;653,348;271,09;137,19;114,1;"1"
"4";640,574;0,048;10,958;0,200000000000003;0,0879999999999999;3,428;0,05;-0,06;0,014;0;523,936;438,504;130,04;84,928;69,91;"1"
"5";-1097,59;-0,016;1,614;-1,40000000000001;-0,03;1,86199999999999;0,002;0,00799999999999995;0,002;0,01;-895,33;-751,382;-268,99;-157,48;-124,02;"1"
"6";145,07;0,046;7,92000000000002;0,200000000000003;0,0920000000000001;1,09;0,036;-0,022;0,00799999999999999;-0,00599999999999999;95,758;80,996;17,392;-2,42599999999999;1,092;"0"
"7";-776,014;-0,0760000000000001;-7,11799999999999;-3,60000000000001;-0,14;-5,19399999999999;-0,036;-0,01;0,00399999999999999;0,016;-557,698;-466,608;-287,862;-56,88;-38,428;"0"
"8";565,588;0,0600000000000001;11,03;-0,599999999999994;0,1;2,75200000000001;0,028;0,004;0,00399999999999999;-0,00799999999999999;417,79;367,362;193,698;46,908;37,854;"1"
"9";-71,152;0,04;-4,696;3;0,0600000000000001;-1,79000000000001;-0,0099999999999999;-0,02;-0,016;-0,036;-59,844;-56,72;-5,828;-16,79;-15,198;"1"
"10";-742,326;-0,026;10,706;-2,2;0,00600000000000001;4,22399999999999;0,044;-0,068;0,04;0,032;-488,734;-464,384;-281,184;-24,926;-31,232;"0"
"11";746,426;0,038;12,072;0,599999999999994;0,036;4,328;0,034;0,002;0,034;0,022;630,804;553,642;167,886;137,194;109,188;"1"
"12";-198,136;0,00600000000000001;-4,58199999999999;3;0,024;-2,62;-0,012;0,02;-0,036;-0,024;-247,748;-159,324;-19,148;-79,13;-51,156;"0"
"13";-415,9;-0,02;16,392;-1,8;-0,012;10,762;0,054;-0,022;0,032;0,024;-294,61;-240;-91,704;-33,72;-32,686;"0"
"14";73,3019999999999;-0,024;13,194;-3;0,0399999999999998;9,30199999999999;0,05;-0,024;0,032;0,022;78,024;61,336;0,0760000000000218;24,3;21,706;"0"
"15";11,228;0,0720000000000001;13,188;2,59999999999999;0,0879999999999999;8,91000000000003;0,046;0,016;0;-0,00600000000000001;33,04;5,17000000000002;24,786;3,652;1,21;"1"
"16";-229,304;-0,142;-14,626;-6;-0,178;-3,47800000000001;-0,0479999999999999;-0,03;-0,034;0,00399999999999999;-173,854;-143,302;-72,866;-27,874;-23,314;"0"
"17";-58,028;-0,03;-1,916;-4,19999999999999;-0,002;0,665999999999997;0;-0,066;0;0,01;-36,92;-37,564;-36,422;-3,942;-3,78;"0"
"18";-1,63200000000001;0,052;5,29999999999998;1,60000000000001;-0,004;4,464;0,00800000000000001;0,044;-0,002;0,004;-16,05;-3,34999999999999;43,526;-4,07400000000001;-2,844;"1"
"19";-588,978;-0,13;-9,916;-2,8;-0,162;-5,23400000000001;-0,038;0,004;-0,018;0,012;-483,074;-373,244;-138,436;-80,608;-52,168;"0"
"20";-142,9;-0,036;0,686000000000007;-2,40000000000001;-0,018;-0,700000000000017;-0,0079999999999999;0,012;0;0;-104,876;-94,28;-37,456;-13,682;-9,45;"0"
"21";-344,68;-0,0680000000000001;-8,626;-2,39999999999999;-0,0920000000000001;-1,91199999999998;-0,026;-0,04;-0,00600000000000001;0,00799999999999999;-225,31;-199,558;-194,544;-12,054;-9,068;"0"
"22";774,946;-0,166;-13,23;-5,80000000000001;-0,0899999999999999;-10,454;-0,044;0,002;-0,016;-0,004;513,976;517,556;272,512;41,552;36,102;"0"
"23";-756,772;-0,146;-14,374;-5,59999999999999;-0,136;-10,258;-0,04;-0,092;0,014;0,02;-546,262;-429,11;-374,824;-39,798;-21,978;"0"
"24";479,132;0,106;13,808;3,60000000000001;0,182;4,49000000000001;0,048;0,04;0,01;-0,00399999999999999;441,046;243,97;134,004;96,862;57,784;"1"
"25";439,034;-0,0600000000000001;-4,63399999999999;-3,39999999999999;0,0359999999999998;-4,43600000000001;-0,012;0,034;-0,014;-0,014;342,728;269,888;164,19;36,226;23,01;"1"
"26";93,508;-0,002;9,44;-1;0,0740000000000001;5,78400000000002;0,034;-0,046;0,028;0,016;111,198;91,168;-28,46;58,666;39,284;"0"
"27";-567,432;-0,14;-20,688;-3;-0,182;-12,682;-0,084;-0,028;-0,014;0;-391,78;-378,044;-205,334;-47,436;-43,554;"0"
"28";-344,908;-0,0880000000000001;-18,15;-2,60000000000001;-0,14;-10,918;-0,0760000000000001;-0,022;-0,012;0,012;-379,596;-221,74;-94,406;-75,106;-36,254;"0"
"29";785,542;0,1;11,846;1,8;0,15;3,11200000000001;0,0639999999999999;-0,01;0,01;-0,00600000000000001;591,672;490,086;225,812;71,144;53,908;"1"
