"";"b";"V1";"V2";"ganhador";"prev"
"x1";"https://www.vlr.gg/183712/night-wings-gaming-vs-tyloo-fgc-valorant-invitational-2023-act-1-qualifiers-qf";31,4876040801789;68,5123959198211;"0";0
"x2";"https://www.vlr.gg/183713/royal-never-give-up-vs-four-angry-men-fgc-valorant-invitational-2023-act-1-qualifiers-qf";30,8477630597262;69,1522369402738;"1";0
"x3";"https://www.vlr.gg/167851/made-in-thailand-vs-attack-all-around-challengers-league-thailand-split-1-ubsf";49,433053078662;50,566946921338;"1";0
"x4";"https://www.vlr.gg/179445/boom-esports-vs-bigetron-arctic-challengers-league-indonesia-split-1-ubf";42,247741173086;57,752258826914;"0";0
"x5";"https://www.vlr.gg/178641/bobo-vs-95x-esports-challengers-league-oceania-split-1-ubf";26,2898273253312;73,7101726746689;"0";0
"x6";"https://www.vlr.gg/178627/naos-vs-oasis-gaming-challengers-league-philippines-split-1-ubf";60,554537749783;39,445462250217;"1";1
"x7";"https://www.vlr.gg/181486/fancy-united-esports-vs-team-big-baam-challengers-league-vietnam-split-1-ubsf";50,8275412059244;49,1724587940756;"1";1
"x8";"https://www.vlr.gg/179446/dewa-united-esports-vs-arf-team-challengers-league-indonesia-split-1-lr2";54,7831623376279;45,2168376623721;"0";1
"x9";"https://www.vlr.gg/183714/monarch-effect-vs-nova-esports-fgc-valorant-invitational-2023-act-1-qualifiers-qf";44,4324485696449;55,5675514303551;"1";0
"x10";"https://www.vlr.gg/178642/next-gen-vs-honey-badgers-challengers-league-oceania-split-1-lr2";60,4007445474965;39,5992554525035;"0";1
"x11";"https://www.vlr.gg/167852/full-sense-vs-sharper-esport-challengers-league-thailand-split-1-ubsf";54,7193735792773;45,2806264207227;"0";1
"x12";"https://www.vlr.gg/179378/one-team-esports-vs-griffin-e-sports-challengers-league-taiwan-hong-kong-split-1-ubf";47,1398149168685;52,8601850831315;"1";0
"x13";"https://www.vlr.gg/181487/tim-t-i-tr-vs-lazybutwannawin-challengers-league-vietnam-split-1-ubsf";53,5786654798372;46,4213345201628;"1";1
"x14";"https://www.vlr.gg/164034/enigma-gaming-vs-bleed-challengers-league-malaysia-singapore-split-1-uf";8,39757638495857;91,6024236150414;"0";0
"x15";"https://www.vlr.gg/164035/x10-esports-vs-louvre-challengers-league-malaysia-singapore-split-1-lr2";52,54298930153;47,45701069847;"1";1
"x16";"https://www.vlr.gg/178628/gamelab-alpha-vs-action-ph-challengers-league-philippines-split-1-lr2";66,9949195420956;33,0050804579044;"1";1
"x17";"https://www.vlr.gg/183715/number-one-player-vs-rare-atom-fgc-valorant-invitational-2023-act-1-qualifiers-qf";45,1400835373689;54,8599164626311;"1";0
"x18";"https://www.vlr.gg/184194/acend-vs-diamant-esports-challengers-league-east-surge-split-1-ubsf";41,8888342895592;58,1111657104408;"1";0
"x19";"https://www.vlr.gg/180745/sbg-vs-valiant-challengers-league-france-revolution-split-1-sf";49,8807429260277;50,1192570739723;"1";0
"x20";"https://www.vlr.gg/184195/rapid-ninjas-vs-enterprise-esports-challengers-league-east-surge-split-1-ubsf";50,8722242457882;49,1277757542118;"0";1
"x21";"https://www.vlr.gg/169006/shopify-rebellion-vs-moist-moguls-challengers-league-north-america-w4";50,6952925508064;49,3047074491936;"0";1
"x22";"https://www.vlr.gg/179495/six-karma-vs-19esports-challengers-league-latam-north-ace-split-1-w2";40,7931983888869;59,2068016111131;"1";0
"x23";"https://www.vlr.gg/169007/faze-clan-vs-oxygen-esports-challengers-league-north-america-w4";49,6081478735781;50,3918521264219;"0";0
