"";"V1";"V2"
"1";"Dragon Ranger Gaming 6.28%  ";"TYLOO 93.72%  "
"2";"Looking for Sponsors 65.21%  ";"Vipers Clan 34.79%  "
"3";"Invincible Gaming 73.17%  ";"Number One Player 26.83%  "
"4";"Boss G KDM 7.96%  ";"Rambutan ni Tatay 92.04%  "
"5";"EDward Gaming 88.11%  ";"Totoro Gaming 11.89%  "
"6";"MLT Esports 47.4%  ";"GodLike Esports 52.6%  "
"7";"The Guard 52.22%  ";"FaZe Clan 47.78%  "
"8";"9z Team 60.96%  ";"All Knights 39.04%  "
"9";"G2 Esports 49.39%  ";"Oxygen Esports 50.61%  "
"10";"INFINITY 86.63%  ";"Optix 13.37%  "
