;b;V1;V2;ganhador;V1_n;V2_n;prev
x1;https://www.vlr.gg/193302/jijiehao-vs-monarch-effect-fgc-valorant-invitational-2023-act-2-qualifiers-uf;JiJieHao 84.52%  ;Monarch Effect 15.48%  ;0;84,52;15,48;1
x2;https://www.vlr.gg/184469/zeta-division-vs-global-esports-champions-tour-2023-pacific-league-w3;ZETA DIVISION 30.4%  ;Global Esports 69.6%  ;1;30,4;69,6;0
x3;https://www.vlr.gg/193303/night-wings-gaming-vs-kingzone-fgc-valorant-invitational-2023-act-2-qualifiers-lr1;Night Wings Gaming 51.75%  ;Kingzone 48.25%  ;1;51,75;48,25;1
x4;https://www.vlr.gg/184470/talon-esports-vs-drx-champions-tour-2023-pacific-league-w3;Talon Esports 24.96%  ;DRX 75.04%  ;0;24,96;75,04;0
x5;https://www.vlr.gg/189074/fenerbah-e-esports-vs-papara-supermassive-challengers-league-turkey-birlik-split-2-group-stage-w;Fenerbahçe Esports 3.09%  ;Papara SuperMassive 96.91%  ;0;3,09;96,91;0
x6;https://www.vlr.gg/188529/mouz-vs-alternate-attax-challengers-league-dach-evolution-split-2-r3;MOUZ 94.3%  ;ALTERNATE aTTaX 5.7%  ;1;94,3;5,7;1
x7;https://www.vlr.gg/185905/reckoning-esports-vs-orangutan-challengers-league-south-asia-split-1-w4;Reckoning Esports 22.14%  ;Orangutan 77.86%  ;0;22,14;77,86;0
x8;https://www.vlr.gg/189550/rapid-ninjas-vs-anonymo-esports-challengers-league-east-surge-split-2-r4;Rapid Ninjas 52.1%  ;Anonymo Esports 47.9%  ;0;52,1;47,9;1
x9;https://www.vlr.gg/194111/joblife-vs-blx-utd-challengers-league-france-revolution-split-2-w1;Joblife 35.32%  ;BLX UTD 64.68%  ;1;35,32;64,68;0
x10;https://www.vlr.gg/194112/3dmax-vs-mandatory-challengers-league-france-revolution-split-2-w1;3DMAX 27.45%  ;Mandatory 72.55%  ;0;27,45;72,55;0
x11;https://www.vlr.gg/189075/fire-flux-esports-vs-s2g-esports-challengers-league-turkey-birlik-split-2-group-stage-w2;Fire Flux Esports 54.62%  ;S2G Esports 45.38%  ;0;54,62;45,38;1
x12;https://www.vlr.gg/189552/enterprise-esports-vs-acend-challengers-league-east-surge-split-2-r4;Enterprise Esports 33.89%  ;Acend 66.11%  ;0;33,89;66,11;0
x13;https://www.vlr.gg/194113/valiant-vs-zerance-challengers-league-france-revolution-split-2-w1;VALIANT 51.18%  ;Zerance 48.82%  ;1;51,18;48,82;1
x14;https://www.vlr.gg/183781/nrg-esports-vs-sentinels-champions-tour-2023-americas-league-w2;NRG Esports 34.77%  ;Sentinels 65.23%  ;1;34,77;65,23;0
x15;https://www.vlr.gg/189553/gonext-esports-vs-nom-esports-challengers-league-east-surge-split-2-r4;GONext Esports 20.63%  ;NOM Esports 79.37%  ;0;20,63;79,37;0
x16;https://www.vlr.gg/194114/sbg-vs-akroma-challengers-league-france-revolution-split-2-w1;SBG 87.86%  ;Akroma 12.14%  ;1;87,86;12,14;1
x17;https://www.vlr.gg/194115/solary-vs-wylde-challengers-league-france-revolution-split-2-w1;Solary 82.42%  ;WYLDE 17.58%  ;1;82,42;17,58;1
x18;https://www.vlr.gg/183782/mibr-vs-kr-esports-champions-tour-2023-americas-league-w2;MIBR 60.56%  ;KRÜ Esports 39.44%  ;1;60,56;39,44;1
