"";"V1";"V2"
"1";"Sengoku Gaming";"IGZIST"
"2";"95x Esports";"Mammoth ESC"
"3";"BLEED";"Louvre"
"4";"NAOS";"GameLab Alpha"
"5";"NTER";"KONE eSC"
"6";"Totoro Gaming";"Attacking Soul Esports"
"7";"Koopa Troopas";"HONEY BADGERS"
"8";"ARF TEAM";"Hero Zero ANUBIS"
"9";"Gelida Esports";"Thailand Attitude"
"10";"Todak";"Kizuna Esports"
"11";"Oasis Gaming";"Puggers"
"12";"Tim Tài Trơ";"Fancy United Esports"
"13";"Alter Ego";"Bigetron Arctic"
"14";"Attack All Around";"XERXIA Esports"
"15";"FENNEL";"NORTHEPTION"
"16";"SendTreePay";"ONE Team Esports"
"17";"VICTORY";"TwoKay"
"18";"Oblivion Force";"Anti Eco Eco Club"
"19";"Impulse GW";"GTZ Esports"
"20";"Panthers Esports";"EX0TIK GAMING"
"21";"FTW Esports";"VIKINGS Fourteen"
"22";"NRG Esports";"LOUD"
"23";"EGN Esports";"SAW"
"24";"DRX";"Talon Esports"
"25";"Crazy Raccoon";"SCARZ"
"26";"Sengoku Gaming";"FENNEL"
"27";"Fenerbahçe Esports";"Fire Flux Esports"
"28";"Thunderbolts Gaming";"Parla Esports"
"29";"Case Esports";"AYM Esports"
"30";"Falcons";"Ramboot Club"
"31";"Les Petits Bouffons";"Apeks"
"32";"VALIANT";"beGenius"
"33";"UCAM Tokiers";"Team Queso"
"34";"WLGaming Esports";"QLASH"
"35";"Joblife";"WYLDE"
"36";"S2G Esports";"Digital Athletics"
"37";"KPI Gaming";"Movistar Riders"
"38";"Axolotl";"GMT Esports"
"39";"SBG";"3DMAX"
"40";"ZETA Gaming";"Rebels Gaming"
"41";"EGN Esports";"GTZ Esports"
"42";"Human Tripwires";"FOKUS"
"43";"HEET";"Mandatory"
"44";"Macko Esports";"DSYRE"
"45";"SAW";"VIKINGS Fourteen"
"46";"Zerance";"BLX UTD"
"47";"Impulse GW";"EX0TIK GAMING"
"48";"Panthers Esports";"FTW Esports"
"49";"ODDIK";"TropiCaos"
"50";"Oxyg3niOus";"DD Team"
"51";"Fire Flux Esports";"İstanbul Wildcats"
"52";"Fenerbahçe Esports";"Papara SuperMassive"
"53";"AYM Esports";"ZETA Gaming"
"54";"Ramboot Club";"UCAM Tokiers"
"55";"3DMAX";"BLX UTD"
"56";"Team Queso";"Falcons"
"57";"Zerance";"beGenius"
"58";"Digital Athletics";"Galatasaray Esports"
"59";"Movistar Riders";"Rebels Gaming"
"60";"SBG";"HEET"
"61";"Case Esports";"KPI Gaming"
"62";"Liberty";"TBK Esports"
"63";"Joblife";"Mandatory"
"64";"VALIANT";"WYLDE"
"65";"RED Canids";"The Union"
"66";"DD Team";"Totoro Gaming"
"67";"KunPeng Gaming";"Number One Player"
"68";"Maru Gaming";"Rio Company"
"69";"Dplus Esports";"Gwangju Shadow"
"70";"Dragon Ranger Gaming";"Night Wings Gaming"
"71";"Kingzone";"Monarch Effect"
"72";"Team Liquid";"Team Secret"
"73";"QLASH";"GMT Esports"
"74";"Macko Esports";"Axolotl"
"75";"Natus Vincere";"KRÜ Esports"
"76";"ZETA DIVISION";"Leviatán"
"77";"Rare Atom";"TYLOO"
"78";"Maru Gaming";"Dplus Esports"
"79";"X10 Esports";"Louvre"
"80";"LAZY";"TwoKay"
"81";"Fire Flux Esports";"Galakticos"
"82";"Four Angry Men";"Invincible Gaming"
"83";"Griffin E-Sports";"LP33"
"84";"Tim Tài Trơ";"Team Big BAAM"
"85";"BLEED";"Team Path"
"86";"Parla Esports";"S2G Esports"
"87";"Ghetto Artist";"ONE Team Esports"
"88";"Team Vitality";"Global Esports"
"89";"FUT Esports";"Rex Regum Qeon"
"90";"100 Thieves";"EDward Gaming"
"91";"Totoro Gaming";"Number One Player"
"92";"Stream Raiders Nacague";"Sky Empire"
"93";"Night Wings Gaming";"Monarch Effect"
"94";"Rio Company";"Dplus Esports"
"95";"Todak";"Enigma Gaming"
"96";"AxX";"Anti Eco Eco Club"
"97";"Action PH";"Abaddon Abyss"
"98";"Mekong Gaming";"Fancy United Esports"
"99";"İstanbul Wildcats";"Parla Esports"
"100";"Hero Zero ANUBIS";"Alter Ego"
"101";"ARF TEAM";"Hike Digital Esports"
"102";"TYLOO";"Bilibili Gaming"
"103";"The Who?";"BOBO"
"104";"SendTreePay";"Oblivion Force"
"105";"VICTORY";"Team Lofi"
"106";"Hey! Yakiniku";"Kizuna Esports"
"107";"Fenerbahçe Esports";"Thunderbolts Gaming"
"108";"Four Angry Men";"KONE eSC"
"109";"Sentinels";"FNATIC"
"110";"T1";"FURIA"
"111";"95x Esports";"HONEY BADGERS"
"112";"Todak";"Louvre"
"113";"GameLab Alpha";"Action PH"
"114";"Koopa Troopas";"Mammoth ESC"
"115";"Dewa United Esports";"Dominatus"
"116";"Team NKT";"Attack All Around"
"117";"Rio Company";"Dplus Esports"
"118";"Sky Empire";"Abaddon Abyss"
"119";"Mekong Gaming";"Team Big BAAM"
"120";"Thunderbolts Gaming";"Papara SuperMassive"
"121";"BOOM Esports";"Alter Ego"
"122";"Thailand Attitude";"XERXIA Esports"
"123";"Totoro Gaming";"Monarch Effect"
"124";"SendTreePay";"AxX"
"125";"TwoKay";"Fancy United Esports"
"126";"İstanbul Wildcats";"S2G Esports"
"127";"TYLOO";"KONE eSC"
"128";"Team Secret";"Natus Vincere"
"129";"Leviatán";"Team Vitality"
"130";"Funcrew";"BOBO"
"131";"X10 Esports";"Team Path"
"132";"Puggers";"NAOS"
"133";"Totoro Gaming";"KONE eSC"
"134";"The Who?";"Next Gen"
"135";"Hike Digital Esports";"Dewa United Esports"
"136";"Sharper Esport";"FULL SENSE"
"137";"BLEED";"Hey! Yakiniku"
"138";"LP33";"Anti Eco Eco Club"
"139";"Stream Raiders Nacague";"Oasis Gaming"
"140";"VICTORY";"LAZY"
"141";"S2G Esports";"Fenerbahçe Esports"
"142";"Bigetron Arctic";"BOOM Esports"
"143";"Gelida Esports";"Made in Thailand"
"144";"Monarch Effect";"TYLOO"
"145";"MOUZ";"Angry Titans"
"146";"Griffin E-Sports";"ONE Team Esports"
"147";"Tim Tài Trơ";"Team Lofi"
"148";"CGN Esports";"Unicorns of Love"
"149";"Parla Esports";"Galakticos"
"150";"VIKINGS Fourteen";"EGN Esports"
"151";"FUT Esports";"100 Thieves"
"152";"FNATIC";"FURIA"
"153";"Natus Vincere";"Leviatán"
"154";"100 Thieves";"FNATIC"
"155";"The Guard";"TSM"
"156";"Moist Moguls";"Turtle Troop"
"157";"Douyu Gaming";"J Team"
"158";"Oxyg3niOus";"TJD Esports Club"
"159";"İstanbul Wildcats";"Digital Athletics"
"160";"Fire Flux Esports";"Papara SuperMassive"
"161";"VAMONOS";"HSDIRR"
"162";"S2G Esports";"Galatasaray Esports"
"163";"QLASH";"GMT Esports"
"164";"Macko Esports";"Axolotl"
"165";"who cars?";"bonk"
"166";"ODDIK";"The Union"
"167";"WLGaming Esports";"Outplayed"
"168";"G2 Esports";"Oxygen Esports"
"169";"FaZe Clan";"Shopify Rebellion"
"170";"Douyu Gaming";"Monarch Effect"
"171";"Invincible Gaming";"DD Team"
"172";"Mekong Gaming";"Team Lofi"
"173";"VICTORY";"Tim Tài Trơ"
"174";"Four Angry Men";"KunPeng Gaming"
"175";"Night Wings Gaming";"Dragon Ranger Gaming"
"176";"Thunderbolts Gaming";"Digital Athletics"
"177";"Galatasaray Esports";"Fenerbahçe Esports"
"178";"Keyd Stars";"TBK Esports"
"179";"Disguised";"OREsports"
"180";"RED Canids";"TropiCaos"
"181";"Skull Cracker";"19esports"
"182";"M80";"MAD Lions"
"183";"FUSION";"Six Karma"
"184";"Number One Player";"Kingzone"
"185";"TwoKay";"Team Big BAAM"
"186";"Royal Never Give Up";"Invictus Gaming"
"187";"LAZY";"Fancy United Esports"
"188";"Oxyg3niOus";"Bilibili Gaming"
"189";"LOUD";"DRX"
"190";"Monarch Effect";"Invincible Gaming"
"191";"Four Angry Men";"Night Wings Gaming"
"192";"Number One Player";"Rare Atom"
"193";"Royal Never Give Up";"Bilibili Gaming"
"194";"Natus Vincere";"FNATIC"
"195";"Invincible Gaming";"Four Angry Men"
"196";"Rare Atom";"Bilibili Gaming"
"197";"LOUD";"FNATIC"
"198";"xyz";"Antic Esports"
"199";"Invincible Gaming";"Bilibili Gaming"
"200";"Four Angry Men";"Rare Atom"
"201";"GTZ Esports";"EGN Esports"
"202";"Team Queso";"UCAM Tokiers"
"203";"Zero Tenacity";"Anorthosis Famagusta Esports"
"204";"Acend";"Enterprise Esports"
"205";"NOM Esports";"Cyber Wolves Esports"
"206";"Anonymo Esports";"Rapid Ninjas"
"207";"S2G Esports";"İstanbul Wildcats"
"208";"Acend";"NOM Esports"
"209";"Team Liquid Brazil";"jelly e amigas"
"210";"GMT Esports";"Macko Esports"
"211";"Papara SuperMassive";"Galatasaray Esports"
"212";"Zero Tenacity";"Enterprise Esports"
"213";"Stream Raiders Nacague";"GameLab Alpha"
"214";"Next Gen";"BOBO"
"215";"The Who?";"95x Esports"
"216";"Action PH";"Abaddon Abyss"
"217";"ONE Team Esports";"LP33"
"218";"AxX";"Griffin E-Sports"
"219";"Fire Flux Esports";"S2G Esports"
