"";"x"
"1";"https://www.vlr.gg/164490/acend-vs-anorthosis-famagusta-esports-challengers-league-east-surge-split-1-w6"
"2";"https://www.vlr.gg/165636/axolotl-vs-dsyre-challengers-league-italy-rinascimento-split-1-w4"
"3";"https://www.vlr.gg/164489/zero-tenacity-vs-cyber-wolves-esports-challengers-league-east-surge-split-1-w6"
"4";"https://www.vlr.gg/165964/vikings-fourteen-vs-ex0tik-gaming-challengers-league-portugal-tempest-split-1-r11"
"5";"https://www.vlr.gg/164488/diamant-esports-vs-rapid-ninjas-challengers-league-east-surge-split-1-w6"
"6";"https://www.vlr.gg/165635/hmble-vs-qlash-challengers-league-italy-rinascimento-split-1-w4"
"7";"https://www.vlr.gg/165963/saw-vs-panthers-esports-challengers-league-portugal-tempest-split-1-r11"
"8";"https://www.vlr.gg/164487/nom-esports-vs-enterprise-esports-challengers-league-east-surge-split-1-w6"
"9";"https://www.vlr.gg/165962/gtz-esports-vs-ftw-esports-challengers-league-portugal-tempest-split-1-r11"
"10";"https://www.vlr.gg/164486/anonymo-esports-vs-b8-esports-challengers-league-east-surge-split-1-w6"
"11";"https://www.vlr.gg/165961/egn-esports-vs-impulse-gaming-warriors-challengers-league-portugal-tempest-split-1-r11"
"12";"https://www.vlr.gg/170935/neemas-money-crew-vs-ambrosia-knights-monthly-gauntlet-2023-february-ro16"
"13";"https://www.vlr.gg/170931/son-of-4-dogs-vs-roblox-rejects-knights-monthly-gauntlet-2023-february-ro16"
"14";"https://www.vlr.gg/170921/final-form-vs-iladies-knights-monthly-gauntlet-2023-february-ro32"
"15";"https://www.vlr.gg/170929/qor-vs-team-reckaroo-knights-monthly-gauntlet-2023-february-ro32"
"16";"https://www.vlr.gg/170844/levitate-vs-olympus-gaming-knights-monthly-gauntlet-2023-february-decider-b"
"17";"https://www.vlr.gg/170909/da-biggest-birds-vs-valkyrie-knights-monthly-gauntlet-2023-february-decider-o"
"18";"https://www.vlr.gg/170842/neemas-money-crew-vs-levitate-knights-monthly-gauntlet-2023-february-winners-b"
"19";"https://www.vlr.gg/170882/sad-lions-vs-street-sweepers-knights-monthly-gauntlet-2023-february-winners-j"
"20";"https://www.vlr.gg/170621/cgc-uic-vs-york-university-lions-college-valorant-north-winter-tournament-ro32"
"21";"https://www.vlr.gg/165634/axolotl-vs-wlgaming-esports-challengers-league-italy-rinascimento-split-1-w4"
"22";"https://www.vlr.gg/170836/corn-valorant-vs-24haven-knights-monthly-gauntlet-2023-february-opening-a"
"23";"https://www.vlr.gg/170851/entertainment-district-vs-team-karma-knights-monthly-gauntlet-2023-february-opening-d"
"24";"https://www.vlr.gg/164482/rapid-ninjas-vs-cyber-wolves-esports-challengers-league-east-surge-split-1-w6"
"25";"https://www.vlr.gg/165633/hmble-vs-macko-esports-challengers-league-italy-rinascimento-split-1-w4"
"26";"https://www.vlr.gg/164484/diamant-esports-vs-anonymo-esports-challengers-league-east-surge-split-1-w6"
"27";"https://www.vlr.gg/165632/qlash-vs-outplayed-challengers-league-italy-rinascimento-split-1-w4"
"28";"https://www.vlr.gg/165960/ex0tik-gaming-vs-gtz-esports-challengers-league-portugal-tempest-split-1-r10"
"29";"https://www.vlr.gg/164483/enterprise-esports-vs-anorthosis-famagusta-esports-challengers-league-east-surge-split-1-w6"
"30";"https://www.vlr.gg/165631/gmt-esports-vs-dsyre-challengers-league-italy-rinascimento-split-1-w4"
"31";"https://www.vlr.gg/165959/impulse-gaming-warriors-vs-vikings-fourteen-challengers-league-portugal-tempest-split-1-r10"
"32";"https://www.vlr.gg/164485/nom-esports-vs-b8-esports-challengers-league-east-surge-split-1-w6"
"33";"https://www.vlr.gg/164481/acend-vs-zero-tenacity-challengers-league-east-surge-split-1-w6"
"34";"https://www.vlr.gg/165958/panthers-esports-vs-egn-esports-challengers-league-portugal-tempest-split-1-r10"
"35";"https://www.vlr.gg/167894/team-liquid-brazil-vs-jelly-e-amigas-game-changers-2023-brazil-series-1-qualifier-2-gf"
"36";"https://www.vlr.gg/165957/ftw-esports-vs-saw-challengers-league-portugal-tempest-split-1-r10"
"37";"https://www.vlr.gg/168995/g2-esports-vs-breakthru-challengers-league-north-america-w2"
"38";"https://www.vlr.gg/168994/faze-clan-vs-turtle-troop-challengers-league-north-america-w2"
"39";"https://www.vlr.gg/164480/diamant-esports-vs-enterprise-esports-challengers-league-east-surge-split-1-w5"
