"";"x"
"1";"https://www.vlr.gg/164487/nom-esports-vs-enterprise-esports-challengers-league-east-surge-split-1-w6"
"2";"https://www.vlr.gg/165962/gtz-esports-vs-ftw-esports-challengers-league-portugal-tempest-split-1-r11"
"3";"https://www.vlr.gg/164486/anonymo-esports-vs-b8-esports-challengers-league-east-surge-split-1-w6"
"4";"https://www.vlr.gg/165961/egn-esports-vs-impulse-gaming-warriors-challengers-league-portugal-tempest-split-1-r11"
"5";"https://www.vlr.gg/170935/neemas-money-crew-vs-ambrosia-knights-monthly-gauntlet-2023-february-ro16"
"6";"https://www.vlr.gg/170931/son-of-4-dogs-vs-roblox-rejects-knights-monthly-gauntlet-2023-february-ro16"
"7";"https://www.vlr.gg/170921/final-form-vs-iladies-knights-monthly-gauntlet-2023-february-ro32"
"8";"https://www.vlr.gg/170929/qor-vs-team-reckaroo-knights-monthly-gauntlet-2023-february-ro32"
"9";"https://www.vlr.gg/170844/levitate-vs-olympus-gaming-knights-monthly-gauntlet-2023-february-decider-b"
"10";"https://www.vlr.gg/170909/da-biggest-birds-vs-valkyrie-knights-monthly-gauntlet-2023-february-decider-o"
"11";"https://www.vlr.gg/170842/neemas-money-crew-vs-levitate-knights-monthly-gauntlet-2023-february-winners-b"
"12";"https://www.vlr.gg/170882/sad-lions-vs-street-sweepers-knights-monthly-gauntlet-2023-february-winners-j"
"13";"https://www.vlr.gg/170621/cgc-uic-vs-york-university-lions-college-valorant-north-winter-tournament-ro32"
"14";"https://www.vlr.gg/165634/axolotl-vs-wlgaming-esports-challengers-league-italy-rinascimento-split-1-w4"
"15";"https://www.vlr.gg/170836/corn-valorant-vs-24haven-knights-monthly-gauntlet-2023-february-opening-a"
"16";"https://www.vlr.gg/170851/entertainment-district-vs-team-karma-knights-monthly-gauntlet-2023-february-opening-d"
"17";"https://www.vlr.gg/164482/rapid-ninjas-vs-cyber-wolves-esports-challengers-league-east-surge-split-1-w6"
"18";"https://www.vlr.gg/165633/hmble-vs-macko-esports-challengers-league-italy-rinascimento-split-1-w4"
"19";"https://www.vlr.gg/164484/diamant-esports-vs-anonymo-esports-challengers-league-east-surge-split-1-w6"
"20";"https://www.vlr.gg/165632/qlash-vs-outplayed-challengers-league-italy-rinascimento-split-1-w4"
"21";"https://www.vlr.gg/165960/ex0tik-gaming-vs-gtz-esports-challengers-league-portugal-tempest-split-1-r10"
"22";"https://www.vlr.gg/164483/enterprise-esports-vs-anorthosis-famagusta-esports-challengers-league-east-surge-split-1-w6"
"23";"https://www.vlr.gg/165631/gmt-esports-vs-dsyre-challengers-league-italy-rinascimento-split-1-w4"
"24";"https://www.vlr.gg/165959/impulse-gaming-warriors-vs-vikings-fourteen-challengers-league-portugal-tempest-split-1-r10"
"25";"https://www.vlr.gg/164485/nom-esports-vs-b8-esports-challengers-league-east-surge-split-1-w6"
"26";"https://www.vlr.gg/164481/acend-vs-zero-tenacity-challengers-league-east-surge-split-1-w6"
"27";"https://www.vlr.gg/165958/panthers-esports-vs-egn-esports-challengers-league-portugal-tempest-split-1-r10"
"28";"https://www.vlr.gg/167894/team-liquid-brazil-vs-jelly-e-amigas-game-changers-2023-brazil-series-1-qualifier-2-gf"
"29";"https://www.vlr.gg/165957/ftw-esports-vs-saw-challengers-league-portugal-tempest-split-1-r10"
"30";"https://www.vlr.gg/168995/g2-esports-vs-breakthru-challengers-league-north-america-w2"
"31";"https://www.vlr.gg/168994/faze-clan-vs-turtle-troop-challengers-league-north-america-w2"
