"";"x"
"1";"https://www.vlr.gg/170956/sengoku-gaming-vs-igzist-challengers-league-japan-split-1-lr1"
"2";"https://www.vlr.gg/168046/95x-esports-vs-mammoth-esc-challengers-league-oceania-split-1-w4"
"3";"https://www.vlr.gg/164057/bleed-vs-louvre-challengers-league-malaysia-singapore-split-1-d10"
"4";"https://www.vlr.gg/168483/naos-esports-vs-gamelab-alpha-challengers-league-philippines-split-1-w4"
"5";"https://www.vlr.gg/171924/nter-vs-kone-esc-fgc-valorant-invitational-2023-act-1-qualifiers-uf"
"6";"https://www.vlr.gg/171925/totoro-gaming-vs-attacking-soul-esports-fgc-valorant-invitational-2023-act-1-qualifiers-lr1"
"7";"https://www.vlr.gg/168047/koopa-troopas-vs-honey-badgers-challengers-league-oceania-split-1-w4"
"8";"https://www.vlr.gg/167807/arf-team-vs-hero-zero-anubis-challengers-league-indonesia-split-1-r6"
"9";"https://www.vlr.gg/167845/gelida-esports-vs-thailand-attitude-challengers-league-thailand-split-1-w5"
"10";"https://www.vlr.gg/164058/todak-vs-kizuna-esports-challengers-league-malaysia-singapore-split-1-d10"
"11";"https://www.vlr.gg/168484/oasis-gaming-vs-puggers-challengers-league-philippines-split-1-w4"
"12";"https://www.vlr.gg/170387/tim-t-i-tr-vs-fancy-united-esports-challengers-league-vietnam-split-1-w2"
"13";"https://www.vlr.gg/167801/alter-ego-vs-bigetron-arctic-challengers-league-indonesia-split-1-r4"
"14";"https://www.vlr.gg/167846/attack-all-around-vs-xerxia-esports-challengers-league-thailand-split-1-w5"
"15";"https://www.vlr.gg/170957/fennel-vs-northeption-challengers-league-japan-split-1-lr1"
"16";"https://www.vlr.gg/166069/stp-vs-one-team-esports-challengers-league-taiwan-hong-kong-split-1-r5"
"17";"https://www.vlr.gg/170388/victory-vs-twokay-challengers-league-vietnam-split-1-w2"
"18";"https://www.vlr.gg/166070/oblivion-force-vs-anti-eco-eco-club-challengers-league-taiwan-hong-kong-split-1-r5"
"19";"https://www.vlr.gg/165941/impulse-gaming-warriors-vs-gtz-esports-challengers-league-portugal-tempest-split-1-r13"
"20";"https://www.vlr.gg/165942/panthers-esports-vs-ex0tik-gaming-challengers-league-portugal-tempest-split-1-r13"
"21";"https://www.vlr.gg/165943/ftw-esports-vs-vikings-fourteen-challengers-league-portugal-tempest-split-1-r13"
"22";"https://www.vlr.gg/167360/nrg-esports-vs-loud-champions-tour-2023-lock-in-s-o-paulo-alpha-sf"
"23";"https://www.vlr.gg/165944/egn-esports-vs-saw-challengers-league-portugal-tempest-split-1-r13"
"24";"https://www.vlr.gg/167361/drx-vs-talon-esports-champions-tour-2023-lock-in-s-o-paulo-alpha-sf"
"25";"https://www.vlr.gg/170958/crazy-raccoon-vs-scarz-challengers-league-japan-split-1-uf"
"26";"https://www.vlr.gg/170959/sengoku-gaming-vs-fennel-challengers-league-japan-split-1-lr2"
"27";"https://www.vlr.gg/165573/fenerbah-e-esports-vs-fire-flux-esports-challengers-league-turkey-birlik-split-1-w6"
"28";"https://www.vlr.gg/165575/thunderbolts-gaming-vs-parla-esports-challengers-league-turkey-birlik-split-1-w6"
"29";"https://www.vlr.gg/165368/case-esports-vs-aym-esports-challengers-league-spain-rising-split-1-r17"
"30";"https://www.vlr.gg/165370/falcons-vs-ramboot-club-challengers-league-spain-rising-split-1-r17"
"31";"https://www.vlr.gg/166055/les-petit-bouffons-vs-apeks-challengers-league-northern-europe-polaris-split-1-r1"
"32";"https://www.vlr.gg/170273/valiant-vs-begenius-challengers-league-france-revolution-split-1-w5"
"33";"https://www.vlr.gg/165367/ucam-tokiers-vs-team-queso-challengers-league-spain-rising-split-1-r17"
"34";"https://www.vlr.gg/165639/wlgaming-esports-vs-qlash-challengers-league-italy-rinascimento-split-1-w5"
"35";"https://www.vlr.gg/170274/joblife-vs-wylde-challengers-league-france-revolution-split-1-w5"
"36";"https://www.vlr.gg/165576/s2g-esports-vs-digital-athletics-challengers-league-turkey-birlik-split-1-w5"
"37";"https://www.vlr.gg/165369/kpi-gaming-vs-movistar-riders-challengers-league-spain-rising-split-1-r17"
"38";"https://www.vlr.gg/165640/axolotl-vs-gmt-esports-challengers-league-italy-rinascimento-split-1-w5"
"39";"https://www.vlr.gg/170275/sbg-vs-3dmax-challengers-league-france-revolution-split-1-w5"
"40";"https://www.vlr.gg/165371/zeta-gaming-vs-rebels-gaming-challengers-league-spain-rising-split-1-r17"
"41";"https://www.vlr.gg/165973/egn-esports-vs-gtz-esports-challengers-league-portugal-tempest-split-1-r14"
"42";"https://www.vlr.gg/166056/human-tripwires-vs-fokus-challengers-league-northern-europe-polaris-split-1-r1"
"43";"https://www.vlr.gg/170276/heet-vs-mandatory-challengers-league-france-revolution-split-1-w5"
"44";"https://www.vlr.gg/165642/macko-esports-vs-dsyre-challengers-league-italy-rinascimento-split-1-w5"
"45";"https://www.vlr.gg/165974/saw-vs-vikings-fourteen-challengers-league-portugal-tempest-split-1-r14"
"46";"https://www.vlr.gg/170277/zerance-vs-blx-utd-challengers-league-france-revolution-split-1-w5"
"47";"https://www.vlr.gg/165975/impulse-gaming-warriors-vs-ex0tik-gaming-challengers-league-portugal-tempest-split-1-r14"
"48";"https://www.vlr.gg/165976/panthers-esports-vs-ftw-esports-challengers-league-portugal-tempest-split-1-r14"
"49";"https://www.vlr.gg/167045/oddik-vs-tropicaos-challengers-league-brazil-split-1-w5"
"50";"https://www.vlr.gg/174358/oxyg3nious-vs-dd-team-fgc-valorant-invitational-2023-act-1-qualifiers-r1"
"51";"https://www.vlr.gg/165574/fire-flux-esports-vs-stanbul-wildcats-challengers-league-turkey-birlik-split-1-w5"
"52";"https://www.vlr.gg/165582/fenerbah-e-esports-vs-papara-supermassive-challengers-league-turkey-birlik-split-1-w6"
"53";"https://www.vlr.gg/165374/aym-esports-vs-zeta-gaming-challengers-league-spain-rising-split-1-r18"
"54";"https://www.vlr.gg/165372/ramboot-club-vs-ucam-tokiers-challengers-league-spain-rising-split-1-r18"
"55";"https://www.vlr.gg/170278/3dmax-vs-blx-utd-challengers-league-france-revolution-split-1-w5"
"56";"https://www.vlr.gg/165375/team-queso-vs-falcons-challengers-league-spain-rising-split-1-r18"
"57";"https://www.vlr.gg/170279/zerance-vs-begenius-challengers-league-france-revolution-split-1-w5"
"58";"https://www.vlr.gg/165581/digital-athletics-vs-galatasaray-esports-challengers-league-turkey-birlik-split-1-w6"
"59";"https://www.vlr.gg/165373/movistar-riders-vs-rebels-gaming-challengers-league-spain-rising-split-1-r18"
"60";"https://www.vlr.gg/170280/sbg-vs-heet-challengers-league-france-revolution-split-1-w5"
"61";"https://www.vlr.gg/165376/case-esports-vs-kpi-gaming-challengers-league-spain-rising-split-1-r18"
"62";"https://www.vlr.gg/167046/liberty-vs-tbk-esports-challengers-league-brazil-split-1-w5"
"63";"https://www.vlr.gg/170281/joblife-vs-mandatory-challengers-league-france-revolution-split-1-w5"
"64";"https://www.vlr.gg/170282/valiant-vs-wylde-challengers-league-france-revolution-split-1-w5"
"65";"https://www.vlr.gg/167047/red-canids-vs-the-union-challengers-league-brazil-split-1-w5"
