"";"Player";"Team";"R";"ACS";"K.D";"KAST";"ADR";"Elo"
"Chaob";"Chaob";"O2";1,44;303;1,66;85;188,9;3
"KILICARSLAN";"KILICARSLAN";"ZINK";1,43;212,4;1,1;82;133,6;3
"neto";"neto";"Phar";1,42;243,3;1,23;71;159,1;3
"byrf";"byrf";"9z";1,35;211,8;1,18;77;136,5;3
"keenc";"keenc";"GX3";1,32;276,2;1,54;78;174,1;3
"Wildfire";"Wildfire";"Foxy";1,3;251,1;1,45;77;166,3;3
"conir";"conir";"KRÜ.F";1,29;269,6;1,42;77;175,9;3
"Baxin";"Baxin";"Odin";1,27;219;0,97;74;128;3
"WISPERIOUS";"WISPERIOUS";"AKA";1,27;240,9;1,05;82;160,6;3
"raxtazzz";"raxtazzz";"xd";1,27;242,3;1,14;78;147,7;3
"purp0";"purp0";"FKS";1,25;264,4;1,39;73;164,4;3
"FraqqS";"FraqqS";"DIVI";1,24;251,8;1,24;73;160,9;3
"Kohaibi";"Kohaibi";"SMG";1,24;259,7;1,33;78;173,5;3
"Jianna";"Jianna";"TC.F";1,23;229,8;1,3;79;157,3;3
"Leo";"Leo";"FNC";1,22;225,6;1,25;78;148;3
"Sacy";"Sacy";"SEN";1,21;232,1;1,3;78;151;3
"Arixa";"Arixa";"BOB";1,21;251,1;1,07;76;153,1;3
"consu";"consu";"KRÜ.F";1,21;235;1,22;76;154;3
"kirito";"kirito";"has swag";1,2;250;1,29;79;150,1;3
"FrostLi";"FrostLi";"CES";1,2;244,4;1,42;72;155,8;3
"JUGi";"JUGi";"FKS";1,2;255,4;1,33;72;159,2;3
"dodonut";"dodonut";"TSM.X";1,2;255,5;1,28;73;166,3;3
"WARDELL";"WARDELL";"V1";1,2;243,3;1,4;74;148,8;3
"daiki";"daiki";"TL";1,19;224,5;1,27;76;145,7;3
"ness";"ness";"TUR";1,19;244,3;1,32;74;157,3;3
"bao";"bao";"WAVE.A";1,19;203,2;1,35;75;129,9;3
"cNed";"cNed";"NAVI";1,19;254,5;1,32;73;157,7;3
"MaKo";"MaKo";"DRX";1,19;220,3;1,24;78;141,3;3
"runneR";"runneR";"DIA";1,19;243,2;1,19;74;156,6;3
"MONKEY";"MONKEY";"BUSINESS";1,19;259,3;1,19;68;166,6;3
"Casperr";"Casperr";"SCC";1,19;179,4;0,78;76;120,4;2
"Toki";"Toki";"Case";1,19;273,9;1,29;73;173,8;3
"bstrdd";"bstrdd";"TL";1,19;261,6;1,32;72;165,8;3
"HIRASYO";"HIRASYO";"AE";1,19;219,5;0,77;76;141,9;3
"Lucid";"Lucid";"MF";1,19;190,1;0,86;78;117,4;2
"igs";"igs";"Brea";1,18;250,7;1,24;65;173,4;3
"Ivy";"Ivy";"FIRE";1,18;265,6;1,33;75;173,5;3
"Alexy";"Alexy";"BRNV";1,18;254,6;1,23;74;163,8;3
"yay";"yay";"C9";1,18;245,1;1,3;72;153,5;3
"SkRossi";"SkRossi";"GES";1,18;268,4;1,3;72;163,1;3
"slathom999";"slathom999";"LFO";1,18;283,2;1,22;71;187,5;3
"aspas";"aspas";"LOUD";1,18;249,9;1,28;74;157,7;3
"f0rsakeN";"f0rsakeN";"PRX";1,17;261,9;1,25;73;164;3
"You";"You";"OOW";1,17;233,7;1,25;76;151,2;3
"JohnOlsen";"JohnOlsen";"FS";1,17;248;1,25;73;156,6;3
"elllement";"elllement";"WAVE";1,17;238,3;1,22;73;152,8;3
"Zakren";"Zakren";"AUS";1,17;177;0,92;87;116;3
"disk0";"disk0";"ORD";1,17;226,6;1,22;74;147;3
"S";"S";"A T O R";1,17;234,7;1,22;77;155;3
"something";"something";"SG";1,17;279,1;1,32;69;172,3;3
"DEATHMAKER";"DEATHMAKER";"VLT";1,16;256,3;1,29;71;164;3
"Padge";"Padge";"RIX";1,16;257,9;1,26;73;164,4;3
