"";"t1";"t2"
"1";4;1
"2";0;0
"3";3;2
"4";0;0
"5";3;13
"6";2;1
"7";0;0
"8";0;0
"9";0;0
"10";0;0
"11";0;0
"12";0;2
"13";10;2
"14";0;0
"15";2;0
"16";0;0
"17";0;0
"18";0;0
"19";0;3
"20";1;1
"21";0;1
"22";0;0
"23";0;1
"24";3;0
"25";5;0
"26";3;3
"27";2;11
"28";0;1
"29";1;0
"30";1;0
"31";0;0
"32";1;0
"33";2;4
"34";0;1
"35";0;1
"36";0;0
"37";2;0
"38";0;1
"39";1;0
"40";0;1
"41";0;3
"42";0;0
"43";1;0
"44";0;3
"45";1;0
"46";1;0
"47";0;1
"48";2;0
"49";2;0
"50";0;0
"51";2;0
"52";0;2
"53";0;1
"54";0;1
"55";1;0
"56";0;1
"57";1;3
"58";0;0
"59";0;7
"60";1;0
"61";1;2
"62";3;8
"63";1;0
"64";0;1
"65";0;0
"66";0;0
"67";0;0
"68";1;2
"69";2;1
"70";0;0
"71";0;0
"72";0;0
"73";1;0
"74";3;5
"75";0;0
"76";0;0
"77";0;0
"78";5;9
"79";0;0
"80";0;0
"81";5;2
"82";0;0
"83";4;0
"84";1;2
"85";0;0
"86";0;1
"87";0;0
"88";0;0
"89";0;0
"90";0;0
"91";8;1
"92";2;1
"93";4;3
"94";5;3
"95";0;0
"96";0;0
"97";0;0
"98";0;0
"99";0;0
"100";0;0
"101";2;2
"102";0;0
"103";0;2
"104";0;0
"105";0;0
"106";2;1
"107";6;3
"108";0;0
"109";5;0
"110";0;0
"111";0;0
"112";2;7
"113";0;0
"114";0;0
"115";0;0
"116";2;1
"117";5;3
"118";0;0
"119";0;0
"120";1;3
"121";21;20
"122";0;0
"123";0;0
"124";0;0
"125";0;0
"126";0;0
"127";0;2
"128";0;0
"129";0;0
"130";2;10
"131";0;0
"132";0;0
"133";9;3
"134";0;0
"135";2;1
"136";2;19
"137";0;0
"138";0;0
"139";1;3
"140";0;2
"141";0;0
"142";3;12
"143";1;2
"144";0;0
"145";7;4
"146";0;0
"147";2;0
"148";0;2
"149";4;3
"150";1;1
"151";0;2
"152";2;1
"153";0;0
"154";2;3
"155";4;1
"156";0;0
"157";0;0
"158";0;0
"159";1;3
"160";3;11
"161";0;0
"162";0;2
"163";1;0
"164";3;5
"165";3;8
"166";2;2
"167";1;0
"168";0;0
"169";0;0
"170";0;0
"171";0;0
"172";0;0
"173";0;0
"174";0;0
"175";2;0
"176";0;2
"177";4;4
"178";7;4
"179";0;0
"180";2;3
"181";0;1
"182";0;0
"183";6;2
"184";0;0
"185";0;0
"186";0;0
"187";0;0
"188";0;0
"189";2;0
"190";3;2
"191";0;0
"192";0;0
"193";0;0
"194";0;0
"195";1;2
"196";0;0
"197";0;0
"198";0;0
"199";0;0
"200";0;0
"201";4;0
"202";4;3
"203";3;0
"204";0;1
"205";0;1
"206";3;7
"207";2;1
"208";1;0
"209";5;1
"210";2;0
"211";5;0
"212";2;1
"213";2;0
"214";0;0
"215";0;2
"216";2;0
"217";2;0
"218";0;0
"219";3;0
"220";2;0
"221";4;1
"222";1;1
"223";16;9
"224";4;3
"225";0;0
"226";2;2
"227";2;0
"228";0;0
"229";5;11
"230";4;2
"231";0;0
"232";2;1
"233";2;1
"234";7;7
"235";0;0
"236";2;0
"237";6;5
"238";3;2
"239";1;3
"240";0;0
"241";0;1
"242";0;0
"243";0;0
"244";10;6
"245";2;3
"246";0;0
"247";0;2
"248";1;2
"249";0;0
"250";6;3
"251";5;2
"252";2;0
"253";1;2
"254";2;0
"255";0;0
"256";0;0
"257";4;7
"258";4;0
"259";0;1
"260";0;0
"261";6;9
"262";0;0
"263";4;3
"264";0;0
"265";2;2
"266";13;5
"267";0;2
"268";4;5
"269";13;11
"270";2;4
"271";0;0
"272";0;0
"273";21;3
"274";2;0
"275";2;0
"276";2;3
"277";2;0
"278";0;2
"279";1;2
"280";1;1
"281";1;1
"282";1;3
"283";0;0
"284";0;2
"285";0;0
"286";13;5
"287";2;1
"288";6;5
"289";6;3
"290";1;2
"291";1;2
"292";4;3
"293";8;3
"294";9;7
"295";4;1
"296";2;1
"297";1;1
"298";3;2
"299";1;1
"300";5;3
"301";0;2
"302";3;0
"303";1;6
"304";6;2
"305";2;1
"306";0;1
"307";4;1
"308";4;0
"309";0;4
"310";7;14
"311";3;2
"312";2;4
"313";4;0
"314";0;0
"315";6;5
"316";0;2
"317";11;10
"318";0;2
"319";4;0
"320";2;0
"321";2;0
"322";15;12
"323";1;0
