"";"Player";"Team";"Rnd";"R";"ACS";"K:D";"KAST";"ADR";"HS%";"KMax";"IK"
"1";"Perc30FishFillet";NA;90;1,51;340,3;2,04;"80%";211;"32%";42;8
"2";"Chaob";"O2";54;1,44;303;1,66;"85%";188,9;"22%";37;6
"3";"Gle1n";NA;58;1,44;320,5;1,59;"78%";207,3;"19%";42;9
"4";"KILICARSLAN";"2L8";142;1,43;212,4;1,1;"82%";133,6;"23%";21;3
"5";"Flex";NA;53;1,35;297,5;1,49;"75%";196,9;"18%";36;2
"6";"byrf";"9z";801;1,35;211,8;1,18;"77%";136,5;"26%";27;8
"7";"celrate";NA;70;1,33;271;1,49;"80%";172,5;"21%";33;-1
"8";"keenc";"GX3";924;1,32;277,3;1,53;"78%";175,2;"19%";33;92
"9";"finchy";NA;84;1,32;243,5;1,7;"80%";155,4;"28%";24;7
"10";"enerii";NA;1810;1,3;300;1,41;"76%";184,8;"24%";39;161
"11";"conir";"KRÜ.F";703;1,29;269,6;1,42;"77%";175,9;"22%";31;51
"12";"Baxin";"Odin";137;1,27;219;0,97;"74%";128;"22%";21;3
"13";"raxtazzz";"xd";365;1,27;242,3;1,14;"78%";147,7;"21%";26;27
"14";"WISPERIOUS";"AKA";226;1,27;240,9;1,05;"82%";160,6;"21%";22;4
"15";"Devilia";NA;60;1,26;263,3;1,32;"80%";175,5;"20%";28;4
"16";"purp0";"FKS";1788;1,25;264,4;1,39;"73%";164,4;"35%";37;135
"17";"Kohaibi";"SMG";1068;1,24;259,7;1,33;"78%";173,5;"20%";33;21
"18";"GRAVE";NA;79;1,24;218,3;1,38;"76%";141,4;"23%";20;2
"19";"SANAALL";"Mine";72;1,24;271;1,31;"78%";176,3;"34%";27;3
"20";"FraqqS";"DIVI";209;1,24;251,8;1,24;"73%";160,9;"20%";25;14
"21";"paris";NA;75;1,23;251,7;1,35;"77%";165,1;"27%";30;5
"22";"Stefaann";NA;61;1,23;239,3;1,17;"68%";175,5;"27%";20;0
"23";"Jianna";"TC.F";259;1,23;229,8;1,3;"79%";157,3;"20%";27;14
"24";"Sushie";"CR";202;1,22;242,5;1,26;"75%";156,4;"23%";26;10
"25";"Wildfire";"Foxy";408;1,22;241,8;1,28;"75%";162,4;"31%";29;18
"26";"Leo";"FNC";4349;1,22;225,6;1,25;"78%";148;"22%";31;115
"27";"runneR";"DIA";1104;1,22;250,6;1,26;"74%";160,3;"25%";30;42
"28";"Ayumiii";NA;1810;1,22;246,5;1,33;"77%";156,9;"21%";36;86
"29";"NaTTs";NA;281;1,21;266,3;1,32;"71%";177,1;"27%";34;20
"30";"consu";"KRÜ.F";470;1,21;235;1,22;"76%";154;"18%";26;11
"31";"Sacy";"SEN";3434;1,21;232,1;1,3;"78%";151;"26%";32;132
"32";"LaMb";NA;79;1,21;235,8;1,16;"77%";156,2;"23%";25;-2
"33";"Arixa";"BOB";153;1,21;251,1;1,07;"76%";153,1;"22%";28;-6
"34";"FrostLi";"CES";97;1,2;244,4;1,42;"72%";155,8;"16%";25;6
"35";"WARDELL";"V1";4125;1,2;243,3;1,4;"74%";148,8;"20%";41;348
"36";"kirito";"has swag";61;1,2;250;1,29;"79%";150,1;"15%";25;4
"37";"dodonut";"TSM.X";2455;1,2;255,5;1,28;"73%";166,3;"21%";33;84
"38";"Feels";NA;57;1,2;258;1,2;"67%";164,9;"36%";19;5
"39";"JUGi";"FKS";1041;1,2;252,4;1,33;"72%";158,1;"22%";41;78
"40";"Lucid";"MF";239;1,19;190,1;0,86;"78%";117,4;"18%";18;-5
"41";"ness";"TUR";2389;1,19;244,3;1,32;"74%";157,3;"27%";35;133
