"";"Player";"Team";"Rnd";"R";"ACS";"K:D";"KAST";"ADR";"HS%";"KMax";"IK"
"1";"Bunnii";NA;18;1,81;389;2,67;"94%";251,2;"41%";24;1
"2";"qwertz";NA;17;1,8;367;1,83;"88%";221,8;"21%";22;2
"3";"CreamyDuck";NA;19;1,59;344;1,77;"79%";196,6;"18%";23;5
"4";"W1chi";"Mad";21;1,56;324;2,17;"86%";180;"22%";26;3
"5";"eren";"ESC";15;1,56;273;1,78;"87%";176,6;"37%";16;3
"6";"Twinte";NA;20;1,54;308;1,92;"85%";191,5;"26%";23;2
"7";"Perc30FishFillet";NA;90;1,51;340,3;2,04;"80%";211;"32%";42;8
"8";"topix";"Tact";19;1,5;296;1,43;"84%";177;"34%";20;2
"9";"HUYNH";NA;23;1,45;285;1,67;"65%";178,3;"43%";25;1
"10";"Chaob";"O2";54;1,44;303;1,66;"85%";188,9;"22%";37;6
"11";"Gle1n";NA;58;1,44;320,5;1,59;"78%";207,3;"19%";42;9
"12";"KILICARSLAN";"ZINK";142;1,43;212,4;1,1;"82%";133,6;"23%";21;3
"13";"awkwa";NA;21;1,43;331;1,47;"71%";215,9;"30%";22;1
"14";"voltageG";"New";18;1,41;254;2;"72%";159,3;"14%";16;-2
"15";"Elixllo";"PHXE";47;1,4;270,5;1,67;"74%";162,3;"30%";25;8
"16";"miKa";"DRX";42;1,39;277,5;1,79;"76%";163,4;"16%";24;3
"17";"plunyvlr";NA;16;1,38;281;1,25;"69%";159,1;"22%";15;3
"18";"primmie";NA;32;1,37;275,5;1,65;"84%";181,7;"31%";17;5
"19";"Chad";"The Frog";21;1,37;322;1,56;"67%";211,4;"27%";25;3
"20";"Ultraplex";NA;16;1,37;340;1,29;"63%";225,9;"38%";18;3
"21";"fayzan";NA;39;1,37;339,5;1,48;"74%";199,8;"27%";26;5
"22";"Tora";NA;21;1,37;291;1,44;"71%";193,8;"56%";23;-1
"23";"WeboDeus";NA;21;1,36;236;1,21;"71%";157,3;"28%";17;4
"24";"byrf";"9z";801;1,35;211,8;1,18;"77%";136,5;"26%";27;8
"25";"Sayled";NA;21;1,35;218;1,2;"81%";151;"24%";18;0
"26";"Flex";NA;53;1,35;297,5;1,49;"75%";196,9;"18%";36;2
"27";"Murillo";NA;20;1,34;303;1,4;"70%";188,2;"31%";21;4
"28";"Sterm";"MTY";44;1,33;303;1,44;"66%";201,3;"34%";25;1
"29";"celrate";NA;70;1,33;271;1,49;"80%";172,5;"21%";33;-1
"30";"awpi";"SHIF";23;1,33;275;1,4;"83%";178,7;"18%";21;0
