"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KD";"time2KD";"time1KAST";"time2KAST";"time1ADR";"time2ADR";"ganhador"
"1";1,098;1,066;214,58;218,86;1,172;1,118;74,6;72,4;136,4;140,18;1
"2";1,074;1,134;208,62;222,86;1,092;1,202;73;74,6;132,38;143,1;0
"3";1,036;1,05;209,68;213,26;1,06;1,11;71,8;71,8;134,98;136,8;1
"4";1,066;1,072;213,34;214,12;1,082;1,092;73;72,8;137,78;138,62;1
"5";1,066;1,074;218,86;208,62;1,118;1,092;72,4;73;140,18;132,38;1
"6";1,05;1,072;213,26;214,12;1,11;1,092;71,8;72,8;136,8;138,62;0
"7";1,098;1,134;214,58;222,86;1,172;1,202;74,6;74,6;136,4;143,1;0
"8";1,036;1,066;209,68;213,34;1,06;1,082;71,8;73;134,98;137,78;1
"9";1,066;1,066;213,34;218,86;1,082;1,118;73;72,4;137,78;140,18;0
"10";1,098;1,072;214,58;214,12;1,172;1,092;74,6;72,8;136,4;138,62;1
"11";1,134;1,036;222,86;209,68;1,202;1,06;74,6;71,8;143,1;134,98;1
"12";1,066;1,098;218,86;214,58;1,118;1,172;72,4;74,6;140,18;136,4;0
"13";1,134;1,036;222,86;209,68;1,202;1,06;74,6;71,8;143,1;134,98;1
"14";1,036;1,098;209,68;214,58;1,06;1,172;71,8;74,6;134,98;136,4;1
