"";"profit_t1";"profit_t2"
"1";-1;-4
"2";4;-6
"3";6;4
"4";6;-1
"5";6;6
"6";3;-2
"7";-8;5
"8";-1;-7
"9";-10;-10
"10";-1;0
"11";4;-1
"12";9;10
"13";2;4
"14";2;-5
"15";3;0
"16";-5;-1
"17";-6;1
"18";10;7
"19";-1;5
"20";-5;-5
"21";-3;3
"22";2;10
"23";3;3
"24";7;2
"25";10;5
"26";0;5
"27";-1;6
"28";-1;3
"29";3;-3
"30";-1;-3
"31";4;9
"32";1;1
"33";-1;3
"34";-3;1
"35";1;-3
"36";-2;-1
"37";-1;1
"38";-1;1
"39";3;-1
"40";3;-1
"41";1;5
"42";-5;2
"43";-3;3
"44";3;5
"45";5;3
"46";-1;-1
"47";-3;-3
"48";-5;-3
"49";4;3
"50";5;0
"51";5;2
"52";-1;3
"53";-3;1
"54";-3;-1
"55";-1;-1
"56";3;1
"57";1;1
"58";0;-2
"59";1;1
"60";1;-5
"61";3;-3
"62";-6;-3
"63";-1;5
"64";3;-3
"65";6;3
"66";3;0
"67";-8;0
"68";8;1
"69";2;2
"70";-7;0
"71";-5;0
"72";-1;-2
"73";-3;3
"74";-1;1
"75";4;2
"76";-1;8
"77";-5;0
"78";5;3
"79";1;1
"80";5;2
"81";5;-8
"82";-2;0
"83";-6;-2
"84";6;-1
"85";7;-6
"86";7;0
"87";-1;-1
"88";1;-1
"89";-8;-1
"90";9;4
"91";3;-4
"92";-2;-2
"93";-3;-1
"94";5;2
"95";-1;4
"96";4;4
"97";-1;-3
"98";-2;9
"99";1;6
"100";-7;2
"101";0;-6
"102";-1;0
"103";-5;5
"104";-8;10
"105";-9;-10
"106";-5;-1
"107";-4;-2
"108";-1;0
"109";0;8
"110";-1;-1
"111";5;5
"112";-5;-3
"113";-4;-1
"114";-9;-6
"115";0;0
"116";-2;2
"117";5;2
"118";-2;-4
"119";-6;0
"120";-5;3
"121";9;2
"122";-10;-2
"123";3;1
"124";-8;0
"125";2;8
"126";0;1
"127";1;3
"128";2;8
"129";8;0
"130";2;4
"131";1;-5
"132";-5;7
"133";3;4
"134";-4;0
"135";-6;3
"136";5;3
"137";6;-2
"138";-5;5
"139";1;5
"140";-8;5
"141";4;-4
"142";3;8
"143";-6;10
"144";1;1
"145";4;2
"146";-2;2
"147";6;-7
"148";2;4
"149";7;-9
"150";3;-1
"151";-5;9
"152";8;-1
"153";8;9
"154";9;8
"155";7;2
"156";0;0
"157";0;0
"158";1;0
"159";-2;0
"160";8;3
"161";-4;2
"162";3;1
"163";-3;3
"164";-1;1
"165";-4;-1
"166";0;4
"167";-1;-5
"168";3;0
"169";-4;5
"170";-2;0
"171";-1;0
"172";-6;-7
"173";-8;6
"174";-7;0
"175";-2;0
"176";-8;-3
"177";1;-3
"178";2;-3
"179";5;3
"180";1;2
"181";2;0
"182";0;0
"183";-5;-3
"184";-3;0
"185";-2;3
"186";-4;-1
"187";6;8
"188";1;0
"189";9;5
"190";1;2
"191";1;0
"192";1;0
"193";-5;0
"194";9;8
"195";2;0
"196";-1;0
"197";8;10
"198";2;0
"199";2;5
"200";0;-3
"201";3;-1
"202";3;4
"203";-3;-3
"204";5;3
"205";-5;1
"206";3;1
"207";4;-3
"208";5;-3
"209";10;6
"210";1;-1
"211";3;4
"212";-1;1
"213";1;-7
"214";5;0
"215";-7;5
"216";-1;-4
"217";6;-5
"218";1;-3
"219";7;5
"220";3;2
"221";-2;7
"222";1;4
"223";5;8
"224";-1;-6
"225";1;0
"226";3;0
"227";3;-1
"228";-10;0
"229";8;5
"230";10;5
"231";-4;-3
"232";1;6
"233";5;-2
"234";9;1
"235";-4;0
"236";6;5
"237";8;6
"238";1;1
"239";-1;7
"240";8;0
"241";-1;-1
"242";2;1
"243";-1;0
"244";6;3
"245";4;-1
"246";0;0
"247";-2;0
"248";-2;-7
"249";-2;0
"250";4;-7
"251";5;-5
"252";3;-3
"253";2;0
"254";-3;-3
"255";-4;0
"256";-3;0
"257";-4;-6
"258";1;5
"259";-6;-5
"260";5;0
"261";-3;-2
"262";4;0
"263";4;1
"264";-2;2
"265";10;2
"266";4;7
"267";5;6
"268";10;4
"269";9;6
"270";5;7
"271";3;0
"272";6;5
"273";6;3
"274";9;2
"275";7;2
"276";8;5
"277";4;-4
"278";-3;3
"279";2;1
"280";5;2
"281";1;4
"282";3;3
"283";3;0
"284";1;3
"285";-4;-3
"286";1;5
"287";6;7
"288";2;3
"289";1;7
"290";1;-2
"291";2;3
"292";0;1
"293";10;2
"294";2;5
"295";9;6
"296";5;3
"297";0;0
"298";5;4
"299";5;4
"300";0;1
"301";0;4
"302";5;0
"303";4;6
"304";1;4
"305";2;-4
"306";-5;1
"307";7;6
"308";6;5
"309";1;5
"310";6;2
"311";5;2
"312";-1;3
"313";9;3
"314";1;2
"315";10;3
"316";-3;4
"317";1;0
"318";8;6
"319";4;1
"320";1;6
"321";3;4
"322";4;5
"323";3;-4
"324";0;0
"325";5;0
"326";5;0
"327";3;0
"328";-4;1
"329";0;1
"330";8;-7
"331";-1;-3
"332";5;-1
"333";3;1
"334";6;10
"335";6;6
"336";7;9
"337";5;2
"338";2;1
"339";2;1
"340";4;9
"341";5;0
"342";4;0
"343";-5;0
"344";1;0
"345";2;2
"346";5;-1
"347";-4;0
"348";10;6
"349";7;4
"350";-2;0
"351";-3;-5
"352";-4;0
"353";2;0
"354";-6;0
"355";1;3
"356";-1;-1
"357";7;6
"358";2;4
"359";3;0
"360";3;0
"361";-3;3
"362";-1;-4
"363";1;0
"364";2;4
"365";3;1
"366";1;4
"367";10;4
"368";6;4
"369";-2;3
"370";2;3
"371";-1;3
"372";2;7
"373";1;3
"374";11;7
"375";10;5
"376";2;6
"377";-3;0
"378";-10;5
"379";2;-2
"380";-6;0
"381";2;4
"382";4;7
"383";-4;0
"384";-1;5
"385";2;0
"386";0;0
"387";-5;-2
"388";5;-1
"389";4;6
"390";-6;3
"391";-6;4
"392";7;-5
"393";-2;-3
"394";5;0
"395";5;4
"396";-6;4
"397";6;10
"398";4;3
"399";0;0
"400";1;0
"401";3;3
"402";5;6
"403";5;5
"404";4;0
"405";4;5
"406";-2;0
"407";4;7
"408";0;-1
"409";6;-3
"410";8;4
"411";4;0
"412";0;-1
"413";8;0
"414";1;1
"415";4;4
"416";-3;1
"417";7;0
"418";2;0
"419";5;1
"420";6;0
"421";6;3
"422";2;0
"423";5;3
"424";-1;3
"425";4;8
"426";-1;-3
"427";1;9
"428";-2;-1
"429";4;2
"430";2;-3
"431";3;0
"432";1;-6
"433";1;0
"434";1;2
"435";4;5
"436";6;1
"437";0;5
"438";-2;-3
"439";-2;-7
"440";10;4
"441";-2;4
"442";0;3
"443";6;6
"444";-2;0
"445";6;3
"446";6;4
"447";3;1
"448";-5;-5
"449";-1;-3
"450";-2;1
"451";5;1
"452";-4;2
"453";6;-5
"454";3;-2
"455";5;3
"456";7;2
"457";-3;-1
"458";4;10
"459";0;0
"460";10;-3
"461";-1;4
"462";8;1
"463";1;-2
"464";4;-1
"465";4;2
"466";5;6
"467";6;0
"468";1;0
"469";-2;-5
"470";5;5
"471";1;5
"472";1;-1
"473";2;3
"474";-3;10
"475";-3;0
"476";1;-7
"477";7;10
"478";-1;0
"479";2;-2
"480";11;-3
"481";6;3
"482";2;3
"483";-3;2
"484";1;1
"485";1;1
"486";4;2
"487";0;2
"488";-4;-1
"489";1;0
"490";8;3
"491";7;7
"492";0;3
"493";5;7
"494";6;-1
"495";2;7
"496";0;0
"497";2;3
"498";0;4
"499";-6;1
"500";9;-1
"501";-5;0
"502";2;-2
"503";1;0
"504";2;3
"505";0;9
"506";2;-2
"507";10;-5
"508";-6;-1
"509";8;-1
"510";-3;-1
"511";-5;-5
"512";6;2
"513";-1;-2
"514";4;1
"515";-9;2
"516";6;-1
"517";4;2
"518";-5;5
"519";-1;-4
"520";-5;-2
"521";1;1
"522";-3;10
"523";-5;-5
