"","Data","RW","RL","Adversario","Resultados"
"1",2022-10-22,"13","8","Acend","Win"
"2",2022-10-19,"13","4","Piercer Esports","Win"
"3",2022-10-16,"13","8","NASR Esports","Win"
"4",2022-09-11,"13","6","Team Liquid","Win"
"5",2022-09-08," 13","","100 Thieves",NA
"6",2022-09-02," 13","","100 Thieves",NA
"7",2022-07-22,"7","13","FunPlus Phoenix","Lose"
"8",2022-07-18,"17","15","Leviatán","Win"
"9",2022-07-17,"10","13","Paper Rex","Lose"
"10",2022-06-24,"13","9","Guild Esports","Win"
"11",2022-06-12,"13","11","G2 Esports","Win"
"12",2022-06-05,"13","4","FOKUS","Win"
"13",2022-03-23,"8","13","M3 Champions","Lose"
"14",2022-03-16,"13","5","Guild Esports","Win"
"15",2021-08-26,"13","8","Legendary Donkey Destroyers","Win"
"16",2021-07-31,"10","13","Team Liquid","Lose"
"17",2021-07-29,"13","11","Team BDS","Win"
"18",2021-07-29,"7","13","Giants Gaming","Lose"
"19",2021-07-07,"9","13","Team Liquid","Lose"
"20",2021-07-02,"13","8","Wave Esports","Win"
"21",2021-07-01,"9","13","G2 Esports","Lose"
"22",2021-05-30,"14","16","Sentinels","Lose"
"23",2021-05-29,"13","8","NUTURN","Win"
"24",2021-05-29,"13","10","Team Liquid","Win"
"25",2021-05-02,"13","7","Team Liquid","Win"
"26",2021-05-01,"13","11","Gambit Esports","Win"
"27",2021-04-29,"15","13","Guild Esports","Win"
"28",2021-04-18,"13","6","Team Liquid","Win"
"29",2021-04-15,"13","5","G2 Esports","Win"
"30",2021-04-12,"14","12","Acend","Win"
"31",2021-04-12,"13","10","SAW","Win"
"32",2021-04-11,"13","6","Ovation eSports","Win"
"33",2021-04-11,"13","1","Honvéd Esport","Win"
"34",2021-04-10,"13","0","NecroRaisers","Win"
"35",2021-03-31,"13","11","HONK","Win"
"36",2021-03-30,"13","3","Team Queso","Win"
"37",2021-03-30,"13","1","Out of sight","Win"
"38",2021-03-07,"12","14","Ballista","Lose"
"39",2021-02-21,"13","6","FunPlus Phoenix","Win"
"40",2021-02-19,"13","8","Guild Esports","Win"
"41",2021-02-17,"13","6","Edelweiss Esports","Win"
"42",2021-02-17,"15","17","Pit Stop","Lose"
"43",2021-02-16,"13","6","99Crooks","Win"
"44",2021-02-07,"13","6","Wave Esports","Win"
"45",2021-02-05,"13","1","Giants Gaming","Win"
"46",2021-02-05,"11","13","MAJSTERSZTYK","Lose"
"47",2021-02-04,"13","2","Tabula Rasa","Win"
"48",2022-10-19,"9","13","Acend","Lose"
"49",2022-10-17,"16","18","Geekay Esports","Lose"
"50",2022-10-17,"13","9","Team Falcons","Win"
"51",2022-09-11,"13","7","Team Liquid","Win"
"52",2022-09-05,"13","11","FURIA","Win"
"53",2022-09-02," 7","1","100 Thieves","Win"
"54",2022-07-14,"13","4","FunPlus Phoenix","Win"
"55",2022-06-26,"15","13","FunPlus Phoenix","Win"
"56",2022-06-24,"13","11","Guild Esports","Win"
"57",2022-05-20,"13","4","OG LDN UTD","Win"
"58",2022-03-25,"10","13","FunPlus Phoenix","Lose"
"59",2022-03-16,"5","13","Guild Esports","Lose"
"60",2022-03-12,"13","4","Acend","Win"
"61",2021-12-09,"13","15","KRÜ Esports","Lose"
"62",2021-12-03,"10","13","Vision Strikers","Lose"
"63",2021-09-06,"11","13","TENSTAR","Lose"
"64",2021-09-05,"12","14","SAW","Lose"
"65",2021-08-26,"13","2","Axolotl","Win"
"66",2021-07-31,"13","15","Team Liquid","Lose"
"67",2021-07-29,"14","12","Team BDS","Win"
