"","Data","RW","RL","Adversario","Resultados"
"1",2022-09-18,"6","13","OpTic Gaming","Lose"
"2",2022-09-16,"13","10","OpTic Gaming","Win"
"3",2022-09-07,"13","11","ZETA DIVISION","Win"
"4",2022-06-26,"13","8","Ninjas In Pyjamas","Win"
"5",2022-06-05,"13","9","Stars Horizon","Win"
"6",2022-05-22,"13","8","Los Grandes","Win"
"7",2022-04-24,"12","14","OpTic Gaming","Lose"
"8",2022-03-27,"13","4","Ninjas In Pyjamas","Win"
"9",2022-02-26,"13","0","TBK Esports","Win"
"10",2022-02-12,"13","9","Gamelanders Blue","Win"
"11",2022-01-17,"13","2","Stars Horizon","Win"
"12",2022-09-18,"13","5","OpTic Gaming","Win"
"13",2022-09-12,"13","6","DRX","Win"
"14",2022-09-09,"13","6","Leviatán","Win"
"15",2022-07-10,"9","13","KRÜ Esports","Lose"
"16",2022-06-24,"13","5","Ninjas In Pyjamas","Win"
"17",2022-04-14,"3","13","Team Liquid","Lose"
"18",2022-03-25,"13","11","Ninjas In Pyjamas","Win"
"19",2022-02-20,"13","5","Liberty","Win"
"20",2022-01-17,"13","3","MIBR","Win"
"21",2022-01-16," 13","2","não temos um plano","Win"
"22",2022-01-15,"13","4","B4 Esports","Win"
"23",2022-01-15,"13","4","LUSA White","Win"
"24",2022-07-12,"12","14","OpTic Gaming","Lose"
"25",2022-06-22,"13","9","Los Grandes","Win"
"26",2022-06-11,"17","15","Gamelanders Blue","Win"
"27",2022-02-12,"13","7","Gamelanders Blue","Win"
"28",2022-09-18,"15","13","OpTic Gaming","Win"
"29",2022-09-16,"13","3","OpTic Gaming","Win"
"30",2022-09-07,"13","5","ZETA DIVISION","Win"
"31",2022-09-01,"13","8","ZETA DIVISION","Win"
"32",2022-07-12,"13","8","OpTic Gaming","Win"
"33",2022-05-22,"13","3","Los Grandes","Win"
"34",2022-05-14,"13","3","FURIA","Win"
"35",2022-04-24,"9","13","OpTic Gaming","Lose"
"36",2022-04-22,"13","8","OpTic Gaming","Win"
"37",2022-04-17,"13","5","G2 Esports","Win"
"38",2022-04-14,"13","10","Team Liquid","Win"
"39",2022-03-27,"13","4","Ninjas In Pyjamas","Win"
"40",2022-03-25,"13","4","Ninjas In Pyjamas","Win"
"41",2022-03-23,"13","8","Vivo Keyd Stars","Win"
"42",2022-03-12,"13","4","Team Vikings","Win"
"43",2022-02-26,"13","4","TBK Esports","Win"
"44",2022-02-20,"13","11","Liberty","Win"
"45",2022-01-17,"13","11","MIBR","Win"
"46",2022-01-16," 13","1","não temos um plano","Win"
"47",2022-01-15,"13","8","B4 Esports","Win"
"48",2022-09-09,"14","12","Leviatán","Win"
"49",2022-07-10,"10","13","KRÜ Esports","Lose"
"50",2022-06-26,"13","6","Ninjas In Pyjamas","Win"
"51",2022-06-24,"13","4","Ninjas In Pyjamas","Win"
"52",2022-04-22,"13","11","OpTic Gaming","Win"
"53",2022-04-14,"13","10","Team Liquid","Win"
"54",2022-03-12,"13","4","Team Vikings","Win"
"55",2022-01-17,"9","13","MIBR","Lose"
"56",2022-01-17,"13","4","Stars Horizon","Win"
"57",2022-01-15,"13","4","LUSA White","Win"
"58",2022-01-14,"13","11","Mowil Esports","Win"
"59",2022-01-14,"13","0","Royal PS","Win"
"60",2022-09-18,"16","14","OpTic Gaming","Win"
"61",2022-09-12,"13","11","DRX","Win"
"62",2022-09-02,"13","7","OpTic Gaming","Win"
"63",2022-06-24,"13","6","Ninjas In Pyjamas","Win"
"64",2022-06-22,"13","3","Los Grandes","Win"
"65",2022-05-14,"13","4","FURIA","Win"
"66",2022-04-24,"13","15","OpTic Gaming","Lose"
"67",2022-04-17,"13","11","G2 Esports","Win"
"68",2022-03-25,"13","6","Ninjas In Pyjamas","Win"
"69",2022-03-23,"13","1","Vivo Keyd Stars","Win"
"70",2022-01-14,"13","4","Mowil Esports","Win"
"71",2022-09-02,"10","13","OpTic Gaming","Lose"
"72",2022-09-01,"13","9","ZETA DIVISION","Win"
"73",2022-07-12,"8","13","OpTic Gaming","Lose"
"74",2022-07-10,"13","10","KRÜ Esports","Win"
"75",2022-06-26,"13","10","Ninjas In Pyjamas","Win"
"76",2022-06-11,"13","2","Gamelanders Blue","Win"
"77",2022-06-05,"13","0","Stars Horizon","Win"
"78",2022-04-22,"2","13","OpTic Gaming","Lose"
"79",2022-03-27,"13","11","Ninjas In Pyjamas","Win"
"80",2022-02-20,"11","13","Liberty","Lose"
"81",2022-01-14,"13","0","Royal PS","Win"
"82",2022-09-02,"3","13","OpTic Gaming","Lose"
