"","Data","RW","RL","Adversario","Resultados"
"1",2022-09-18,"13","6","LOUD","Win"
"2",2022-09-17,"13","8","DRX","Win"
"3",2022-09-16,"10","13","LOUD","Lose"
"4",2022-09-10,"13","8","Team Liquid","Win"
"5",2022-09-01,"13","5","BOOM Esports","Win"
"6",2022-07-23,"13","6","FunPlus Phoenix","Win"
"7",2022-07-22,"13","9","Paper Rex","Win"
"8",2022-07-17,"13","11","DRX","Win"
"9",2022-07-15,"13","6","XSET","Win"
"10",2022-06-26,"7","13","XSET","Lose"
"11",2022-06-03,"8","13","Evil Geniuses","Lose"
"12",2022-05-28,"13","8","Sentinels","Win"
"13",2022-04-24,"14","12","LOUD","Win"
"14",2022-04-23,"13","8","ZETA DIVISION","Win"
"15",2022-04-12,"13","5","KRÜ Esports","Win"
"16",2022-03-25,"13","4","The Guard","Win"
"17",2022-03-17,"13","7","XSET","Win"
"18",2022-03-13,"13","7","Knights","Win"
"19",2022-02-26,"13","2","Sentinels","Win"
"20",2022-02-13,"10","13","Rise","Lose"
"21",2022-09-18,"5","13","LOUD","Lose"
"22",2022-09-17,"13","10","DRX","Win"
"23",2022-09-12,"13","9","XSET","Win"
"24",2022-07-22,"3","13","Paper Rex","Lose"
"25",2022-07-15,"13","7","XSET","Win"
"26",2022-07-13,"13","6","KRÜ Esports","Win"
"27",2022-06-26,"3","13","XSET","Lose"
"28",2022-06-24,"7","13","XSET","Lose"
"29",2022-06-18,"13","3","Evil Geniuses","Win"
"30",2022-05-22,"13","10","Cloud9","Win"
"31",2022-04-23,"15","13","ZETA DIVISION","Win"
"32",2022-04-15,"7","13","The Guard","Lose"
"33",2022-04-13,"13","6","XERXIA Esports","Win"
"34",2022-03-27,"11","13","The Guard","Lose"
"35",2022-03-19,"14","12","Cloud9","Win"
"36",2022-03-06,"5","13","Version1","Lose"
"37",2022-02-13,"13","11","Rise","Win"
"38",2022-07-23,"6","13","FunPlus Phoenix","Lose"
"39",2022-07-13,"13","7","KRÜ Esports","Win"
"40",2022-07-12,"14","12","LOUD","Win"
"41",2022-07-10,"14","16","Guild Esports","Lose"
"42",2022-06-12,"14","12","Luminosity","Win"
"43",2022-06-03,"13","11","Evil Geniuses","Win"
"44",2022-04-17,"15","13","DRX","Win"
"45",2022-03-27,"13","7","The Guard","Win"
"46",2022-03-25,"13","10","The Guard","Win"
"47",2022-03-17,"4","13","XSET","Lose"
"48",2022-09-18,"13","15","LOUD","Lose"
"49",2022-09-17,"6","13","DRX","Lose"
"50",2022-09-16,"3","13","LOUD","Lose"
"51",2022-09-12,"11","13","XSET","Lose"
"52",2022-09-10,"13","8","Team Liquid","Win"
"53",2022-07-12,"8","13","LOUD","Lose"
"54",2022-06-26,"11","13","XSET","Lose"
"55",2022-06-24,"13","11","XSET","Win"
"56",2022-06-12,"13","8","Luminosity","Win"
"57",2022-06-03,"11","13","Evil Geniuses","Lose"
"58",2022-05-22,"13","5","Cloud9","Win"
"59",2022-05-14,"13","8","FaZe Clan","Win"
"60",2022-04-24,"13","9","LOUD","Win"
"61",2022-04-22,"8","13","LOUD","Lose"
"62",2022-04-17,"8","13","DRX","Lose"
"63",2022-04-12,"13","10","KRÜ Esports","Win"
"64",2022-04-10,"10","13","XERXIA Esports","Lose"
"65",2022-03-27,"13","9","The Guard","Win"
"66",2022-03-19,"13","8","Cloud9","Win"
"67",2022-03-17,"13","9","XSET","Win"
"68",2022-03-13,"13","6","Knights","Win"
"69",2022-03-06,"13","2","Version1","Win"
"70",2022-02-13,"9","13","Rise","Lose"
"71",2022-07-23,"8","13","FunPlus Phoenix","Lose"
"72",2022-07-10,"11","13","Guild Esports","Lose"
"73",2022-06-24,"13","11","XSET","Win"
"74",2022-05-22,"4","13","Cloud9","Lose"
"75",2022-04-22,"11","13","LOUD","Lose"
"76",2022-04-17,"13","11","DRX","Win"
"77",2022-04-15,"13","7","The Guard","Win"
"78",2022-04-10,"10","13","XERXIA Esports","Lose"
"79",2022-03-27,"9","13","The Guard","Lose"
"80",2022-03-06,"5","13","Version1","Lose"
"81",2022-02-26,"13","9","Sentinels","Win"
"82",2022-02-20,"13","7","NRG Esports","Win"
"83",2022-09-18,"14","16","LOUD","Lose"
"84",2022-09-17,"13","5","DRX","Win"
"85",2022-09-10,"7","13","Team Liquid","Lose"
"86",2022-09-02,"7","13","LOUD","Lose"
"87",2022-09-01,"16","18","BOOM Esports","Lose"
"88",2022-07-17,"13","4","DRX","Win"
"89",2022-06-24,"13","6","XSET","Win"
"90",2022-06-18,"13","5","Evil Geniuses","Win"
"91",2022-04-24,"15","13","LOUD","Win"
"92",2022-03-27,"2","13","The Guard","Lose"
"93",2022-09-17,"8","13","DRX","Lose"
"94",2022-09-02,"13","10","LOUD","Win"
"95",2022-09-01,"13","3","BOOM Esports","Win"
"96",2022-07-23,"7","13","FunPlus Phoenix","Lose"
"97",2022-07-22,"5","13","Paper Rex","Lose"
"98",2022-07-17,"4","13","DRX","Lose"
"99",2022-07-12,"13","8","LOUD","Win"
"100",2022-06-26,"14","12","XSET","Win"
"101",2022-05-28,"13","5","Sentinels","Win"
"102",2022-05-14,"13","9","FaZe Clan","Win"
"103",2022-04-23,"13","5","ZETA DIVISION","Win"
"104",2022-04-22,"13","2","LOUD","Win"
"105",2022-04-15,"13","11","The Guard","Win"
"106",2022-04-13,"13","9","XERXIA Esports","Win"
"107",2022-03-19,"5","13","Cloud9","Lose"
"108",2022-02-26,"10","13","Sentinels","Lose"
"109",2022-02-20,"13","5","NRG Esports","Win"
"110",2022-09-12,"13","8","XSET","Win"
"111",2022-09-02,"13","3","LOUD","Win"
