"","Data","RW","RL","Adversario","Resultados"
"1",2022-12-10," 11","13","KRÜ Esports","Lose"
"2",2022-12-09," 17","15","FUT Esports","Win"
"3",2022-09-11," 6","13","FNATIC","Lose"
"4",2022-09-10," 8","13","OpTic Gaming","Lose"
"5",2022-09-04," 13","5","EDward Gaming","Win"
"6",2022-08-14," 8","13","M3 Champions","Lose"
"7",2022-08-13," 10","13","G2 Esports","Lose"
"8",2022-08-13," 8","13","M3 Champions","Lose"
"9",2022-06-19," 6","13","M3 Champions","Lose"
"10",2022-06-03," 11","13","Natus Vincere","Lose"
"11",2022-03-13," 14","12","BIG","Win"
"12",2022-02-20," 10","13","Natus Vincere","Lose"
"13",2021-12-11," 6","13","Acend","Lose"
"14",2021-12-08," 13","10","Cloud9","Win"
"15",2021-12-04," 2","13","Sentinels","Lose"
"16",2021-11-07," 15","17","Acend","Lose"
"17",2021-10-16," 8","13","G2 Esports","Lose"
"18",2021-10-13," 13","6","Guild Esports","Win"
"19",2021-08-19," 3","13","Gambit Esports","Lose"
"20",2021-08-18," 13","7","forZe","Win"
"21",2021-08-12," 13","7","Natus Vincere","Win"
"22",2021-08-01," 13","6","Giants Gaming","Win"
"23",2021-07-31," 13","10","FNATIC","Win"
"24",2021-07-30," 4","13","Giants Gaming","Lose"
"25",2021-07-28," 11","13","Team Vitality","Lose"
"26",2021-07-07," 13","9","FNATIC","Win"
"27",2021-05-29," 10","13","FNATIC","Lose"
"28",2021-05-02," 7","13","FNATIC","Lose"
"29",2021-04-29," 13","5","FunPlus Phoenix","Win"
"30",2021-04-23," 13","6","BBL Esports","Win"
"31",2021-04-18," 6","13","FNATIC","Lose"
"32",2021-04-17," 15","13","Team BDS","Win"
"33",2021-04-16," 13","1","CE Calling","Win"
"34",2021-04-12," 13","3","Ninjas in Pyjamas","Win"
"35",2021-04-11," 13","3","1234","Win"
"36",2021-04-10," 13","11","Team Gravity","Win"
"37",2021-04-10," 13","0","FDP Esports","Win"
"38",2021-04-01," 8","13","Guild Esports","Lose"
"39",2021-03-30," 13","3","Progress","Win"
"40",2021-03-30," 13","3","Taunt","Win"
"41",2021-03-03," 4","13","Rix.GG Thunder","Lose"
"42",2021-03-03," 13","2","PowerHouse","Win"
"43",2021-03-02," 13","2","Nexus Gaming","Win"
"44",2021-01-31," 3","13","G2 Esports","Lose"
"45",2021-01-30," 5","13","SUMN FC","Lose"
"46",2020-12-03," 13","15","Team Heretics","Lose"
"47",2020-11-10," 13","11","Finest","Win"
"48",2020-11-10," 13","4","B7 Warriors","Win"
"49",2020-11-09," 13","7","Eazy One Gaming","Win"
"50",2020-09-13," 11","13","FunPlus Phoenix","Lose"
"51",2020-09-11," 8","13","FunPlus Phoenix","Lose"
"52",2020-08-28," 11","13","SKADE","Lose"
"53",2020-08-28," 13","10","SKADE","Win"
"54",2020-08-16," 11","13","FunPlus Phoenix","Lose"
"55",2020-08-16," 13","7","Ninjas in Pyjamas","Win"
"56",2020-08-14," 13","8","Ninjas in Pyjamas","Win"
"57",2020-08-11," 12","14","FunPlus Phoenix","Lose"
"58",2022-12-09," 5","13","100 Thieves","Lose"
"59",2022-09-11," 7","13","FNATIC","Lose"
"60",2022-09-07," 15","13","Paper Rex","Win"
"61",2022-08-31," 10","13","Leviatán","Lose"
"62",2022-08-13," 13","8","G2 Esports","Win"
"63",2022-06-17," 12","14","FunPlus Phoenix","Lose"
"64",2022-06-03," 13","11","Natus Vincere","Win"
"65",2022-04-16," 13","4","ZETA DIVISION","Win"
"66",2022-04-14," 13","3","LOUD","Win"
"67",2022-03-23," 9","13","FunPlus Phoenix","Lose"
"68",2022-03-22," 13","8","G2 Esports","Win"
"69",2022-03-12," 7","13","FunPlus Phoenix","Lose"
"70",2022-03-06," 13","8","LDN UTD","Win"
"71",2022-02-20," 13","9","Natus Vincere","Win"
"72",2021-12-02," 13","5","KRÜ Esports","Win"
"73",2021-11-04," 13","5","BIG","Win"
"74",2021-10-17," 5","13","Guild Esports","Lose"
"75",2021-10-16," 13","9","G2 Esports","Win"
"76",2021-10-11," 13","9","One Breath Gaming","Win"
"77",2021-08-14," 13","1","Oxygen Esports","Win"
"78",2021-07-31," 15","13","FNATIC","Win"
"79",2021-07-29," 13","10","TENSTAR","Win"
