"","Data","RW","RL","Adversario","Resultados"
"1",2022-09-13,"10","13","FunPlus Phoenix","Lose"
"2",2022-07-15,"6","13","OpTic Gaming","Lose"
"3",2022-06-26,"13","7","OpTic Gaming","Win"
"4",2022-05-28," 9","1","100 Thieves","Win"
"5",2022-05-22,"13","8","NRG Esports","Win"
"6",2022-04-16,"13","7","Cloud9 Academy","Win"
"7",2022-03-17,"7","13","OpTic Gaming","Lose"
"8",2022-02-26,"13","11","The Guard","Win"
"9",2022-02-19,"13","7","Cloud9","Win"
"10",2022-02-13,"13","7","Evil Geniuses","Win"
"11",2022-02-10,"13","10","Knights","Win"
"12",2022-02-09,"13","7","NRG Esports","Win"
"13",2022-01-29,"13","6","The Guard","Win"
"14",2022-01-29,"13","9","NRG Esports","Win"
"15",2021-12-01,"13","2","NRG Esports","Win"
"16",2021-10-30,"7","13","Cloud9","Lose"
"17",2021-10-29,"13","7","Version1","Win"
"18",2021-04-29,"11","13","Envy","Lose"
"19",2021-04-29,"6","13","NRG Esports","Lose"
"20",2021-04-10,"13","9","Envy","Win"
"21",2021-04-10,"13","5","Version1","Win"
"22",2021-04-09,"1","13","Immortals","Lose"
"23",2021-04-03,"13","11","NRG Esports","Win"
"24",2021-04-01,"13","1","Krampus","Win"
"25",2021-03-11,"3","13","FaZe Clan","Lose"
"26",2021-02-21,"13","6","Luminosity","Win"
"27",2021-02-20,"13","7","FaZe Clan","Win"
"28",2021-02-20,"7","13","Envy","Lose"
"29",2021-02-05,"14","12","Envy","Win"
"30",2021-02-04,"14","12","NRG Esports","Win"
"31",2021-02-04,"13","15","Immortals","Lose"
"32",2021-01-28,"13","7","TSM","Win"
"33",2021-01-28,"13","2","Cloud9 White","Win"
"34",2021-01-15,"10","13","Luminosity","Lose"
"35",2021-01-15,"8","13","Envy","Lose"
"36",2021-01-10,"10","13","Built By Gamers","Lose"
"37",2021-01-10,"13","4","Luminosity","Win"
"38",2021-01-09,"13","11","Built By Gamers","Win"
"39",2020-12-20,"13","8","Equinox Esports","Win"
"40",2020-12-20,"11","13","Gen.G","Lose"
"41",2020-12-19,"13","7","Demon Time","Win"
"42",2020-12-19,"13","4","Elevate","Win"
"43",2020-11-11,"10","13","Flow State","Lose"
"44",2020-11-11,"13","11","Last Round Save","Win"
"45",2020-11-04,"18","16","Luminosity","Win"
"46",2020-11-04,"5","13","Cloud9","Lose"
"47",2020-10-27,"13","7","Immortals","Win"
"48",2020-10-26,"13","15","Prospects","Lose"
"49",2022-09-12,"9","13","OpTic Gaming","Lose"
"50",2022-07-16,"14","16","Leviatán","Lose"
"51",2022-07-15,"7","13","OpTic Gaming","Lose"
"52",2022-06-26,"13","3","OpTic Gaming","Win"
"53",2022-06-24,"13","7","OpTic Gaming","Win"
"54",2022-06-10,"13","9","TSM","Win"
"55",2022-06-03,"13","11","The Guard","Win"
"56",2022-05-14,"13","11","Ghost Gaming","Win"
"57",2022-04-17,"14","12","Cloud9 Academy","Win"
"58",2022-04-16,"13","1","Drexel University","Win"
"59",2022-03-25,"4","13","Cloud9","Lose"
"60",2022-02-26,"7","13","The Guard","Lose"
"61",2022-02-07,"10","13","Reformed","Lose"
"62",2022-02-07,"13","5","Evil Geniuses","Win"
"63",2022-01-27,"13","6","Shopify Rebellion GC","Win"
"64",2022-01-27,"13","0","Team AIYA","Win"
"65",2021-12-01,"13","6","NRG Esports","Win"
"66",2021-11-30,"14","12","Evil Geniuses","Win"
"67",2021-11-29,"13","7","Cloud9 Academy","Win"
"68",2021-11-29,"25","4","Crime","Win"
"69",2021-10-12,"2","13","Luminosity","Lose"
"70",2021-08-13,"7","13","Envy","Lose"
"71",2021-08-12,"7","13","Rise","Lose"
"72",2021-08-11," 11","","100 Thieves",NA
