"","Data","RW","RL","Adversario","Resultados"
"1",2022-10-03,"13","5","NORTHEPTION","Win"
"2",2022-09-17,"8","13","OpTic Gaming","Lose"
"3",2022-07-17,"11","13","OpTic Gaming","Lose"
"4",2022-07-10,"13","1","NORTHEPTION","Win"
"5",2022-06-19,"13","7","World Game Star","Win"
"6",2022-05-29,"13","6","World Game Star","Win"
"7",2022-05-21,"13","6","DAMWON Gaming","Win"
"8",2022-04-15,"13","8","Paper Rex","Win"
"9",2022-03-18,"8","13","World Game Star","Lose"
"10",2022-03-12,"13","9","DAMWON Gaming","Win"
"11",2022-03-06,"8","13","On Sla2ers","Lose"
"12",2021-09-17,"2","13","Gambit Esports","Lose"
"13",2021-08-15,"3","5","F4Q","Lose"
"14",2021-08-08,"13","5","TNL Esports","Win"
"15",2021-08-06,"13","4","GoNGo Prince","Win"
"16",2021-05-01,"7","13","NUTURN","Lose"
"17",2021-04-15,"6","14","F4Q","Lose"
"18",2021-03-21,"11","13","NUTURN","Lose"
"19",2021-02-19,"13","6","World Game Star","Win"
"20",2021-02-06,"13","6","Hamtori ZunDeZinx","Win"
"21",2021-02-05,"13","5","GOMA","Win"
"22",2021-01-30,"7","13","NUTURN","Lose"
"23",2020-12-06,"13","8","TNL Esports","Win"
"24",2020-12-05,"13","0","Cloud9 Korea","Win"
"25",2020-12-05,"13","7","Cloud9 Korea","Win"
"26",2020-10-21,"13","11","Cloud9 Korea","Win"
"27",2020-10-20,"13","6","THE START W","Win"
"28",2020-10-18,"8","13","T1 Korea","Lose"
"29",2020-10-14,"13","9","aNg DarkHorse","Win"
"30",2020-10-13,"13","1","BE INFAMOUS","Win"
"31",2020-10-10,"13","5","Only One Word","Win"
"32",2020-10-10,"13","4","DeToNator","Win"
"33",2020-10-07,"13","6","aNg DarkHorse","Win"
"34",2020-10-06,"13","7","project_kr","Win"
"35",2020-09-27,"13","3","Attack All Around","Win"
"36",2020-09-26,"13","5","Attack All Around","Win"
"37",2020-09-23,"8","13","NewHappy","Lose"
"38",2020-09-22,"13","10","Paper Rex","Win"
"39",2020-09-22,"13","3","Resurgence","Win"
"40",2020-09-20,"13","7","Absolute JUPITER","Win"
"41",2020-08-19,"6","13","No Mercy","Lose"
"42",2020-08-12,"13","5","Lunatic-Hai FLUX","Win"
"43",2020-07-21,"13","7","FA","Win"
"44",2020-07-07,"4","13","Crazy Hamster","Lose"
"45",2020-06-23,"13","3","Quantum Strikers","Win"
"46",2020-06-14,"4","13","MaD","Lose"
"47",2020-06-13,"13","3","EGEL","Win"
"48",2022-11-27,"13","8","Talon Esports","Win"
"49",2022-10-16,"13","6","Team Secret","Win"
"50",2022-10-03,"13","4","NORTHEPTION","Win"
"51",2022-09-17,"10","13","OpTic Gaming","Lose"
"52",2022-09-16,"13","9","FunPlus Phoenix","Win"
"53",2022-09-12,"6","13","LOUD","Lose"
"54",2022-09-02,"13","4","FURIA","Win"
"55",2022-07-15,"13","11","Leviatán","Win"
"56",2022-07-12,"8","13","FunPlus Phoenix","Lose"
"57",2022-06-26,"13","9","Maru Gaming","Win"
"58",2022-06-19,"13","3","World Game Star","Win"
"59",2022-06-13,"13","5","SPEAR GAMING","Win"
"60",2022-06-05,"13","4","Maru Gaming","Win"
"61",2022-04-15,"10","13","Paper Rex","Lose"
"62",2022-04-10,"13","3","ZETA DIVISION","Win"
"63",2022-03-27,"14","12","On Sla2ers","Win"
"64",2022-03-18,"13","2","World Game Star","Win"
"65",2022-02-06,"13","5","Team GP","Win"
"66",2022-02-06,"13","2","VPZ","Win"
"67",2021-12-03,"13","10","FNATIC","Win"
"68",2021-12-01,"13","5","FULL SENSE","Win"
"69",2021-09-13,"13","7","Acend","Win"
"70",2021-09-11,"13","9","Paper Rex","Win"
