"","Data","RW","RL","Adversario","Resultados"
"1",2022-09-13,"13","10","XSET","Win"
"2",2022-09-03,"13","10","KRÜ Esports","Win"
"3",2022-07-24,"13","3","Paper Rex","Win"
"4",2022-07-23,"6","13","OpTic Gaming","Lose"
"5",2022-07-22,"13","7","FNATIC","Win"
"6",2022-07-16,"13","4","Guild Esports","Win"
"7",2022-07-11,"14","12","XERXIA Esports","Win"
"8",2022-06-10,"6","13","Acend","Lose"
"9",2022-06-04,"13","3","OG LDN UTD","Win"
"10",2022-02-18,"6","13","Gambit Esports","Lose"
"11",2022-02-12,"7","13","BIG","Lose"
"12",2022-01-16,"10","13","Natus Vincere","Lose"
"13",2022-01-15,"13","6","KPI Gaming","Win"
"14",2022-01-15,"13","3","5MOKES","Win"
"15",2022-01-11,"13","3","QLF Clan","Win"
"16",2021-08-14,"22","24","forZe","Lose"
"17",2021-08-12,"13","7","Fire Flux Esports","Win"
"18",2021-07-09,"11","13","G2 Esports","Lose"
"19",2021-07-08,"4","13","Acend","Lose"
"20",2021-07-02,"13","10","Team Vitality","Win"
"21",2021-07-01,"13","8","Guild Esports","Win"
"22",2021-04-29,"5","13","Team Liquid","Lose"
"23",2021-04-08,"13","4","Opportunists","Win"
"24",2021-04-01,"17","19","Ninjas in Pyjamas","Lose"
"25",2021-04-01,"13","5","volvo peek","Win"
"26",2021-03-31,"13","7","IVY","Win"
"27",2021-03-30,"13","6","dfiance","Win"
"28",2021-03-20,"13","7","Acend","Win"
"29",2021-02-21,"6","13","FNATIC","Lose"
"30",2020-12-05,"6","13","SUMN FC","Lose"
"31",2020-12-04,"13","10","nolpenki","Win"
"32",2020-11-15,"13","7","Opportunists","Win"
"33",2020-10-04,"13","9","SUMN FC","Win"
"34",2020-10-04,"13","4","need more DM","Win"
"35",2020-10-03,"13","4","Oxygen Esports","Win"
"36",2020-10-03,"13","6","Project SW","Win"
"37",2020-10-03,"13","6","Entropiq","Win"
"38",2020-10-03,"9","13","Oxygen Esports","Lose"
"39",2020-10-03,"13","4","AoeXe","Win"
"40",2020-09-13,"4","13","G2 Esports","Lose"
"41",2020-09-13,"13","11","Team Liquid","Win"
"42",2020-09-11,"13","8","Team Liquid","Win"
"43",2020-08-29,"13","15","G2 Esports","Lose"
"44",2020-08-28,"13","1","SKADE","Win"
"45",2020-08-28,"13","3","BBL Esports","Win"
"46",2020-08-28,"13","2","Wave Esports","Win"
"47",2020-08-16,"9","13","G2 Esports","Lose"
"48",2020-08-16,"13","11","Team Liquid","Win"
"49",2020-08-15,"13","9","Ninjas in Pyjamas","Win"
"50",2020-08-14,"13","7","BBL Esports","Win"
"51",2020-08-11,"14","12","Team Liquid","Win"
"52",2022-09-16,"9","13","DRX","Lose"
"53",2022-07-24,"7","13","Paper Rex","Lose"
"54",2022-07-14,"4","13","FNATIC","Lose"
"55",2022-07-12,"13","8","DRX","Win"
"56",2022-07-11,"13","10","XERXIA Esports","Win"
"57",2022-06-26,"13","15","FNATIC","Lose"
"58",2022-06-25,"13","11","Guild Esports","Win"
"59",2022-06-19,"3","13","Acend","Lose"
"60",2022-06-17,"14","12","Team Liquid","Win"
"61",2022-06-04,"13","6","OG LDN UTD","Win"
"62",2022-03-25,"13","10","FNATIC","Win"
"63",2022-03-23,"13","9","Team Liquid","Win"
"64",2022-03-13,"10","13","LDN UTD","Lose"
"65",2022-03-12,"13","7","Team Liquid","Win"
"66",2022-02-12,"13","8","BIG","Win"
"67",2022-01-16,"13","7","Natus Vincere","Win"
"68",2022-01-14,"13","1","Aim.Attack","Win"
"69",2021-07-09,"6","13","G2 Esports","Lose"
"70",2021-07-08,"13","9","Team Liquid","Win"
"71",2021-07-08,"7","13","Acend","Lose"
"72",2021-06-30,"13","9","Wave Esports","Win"
"73",2021-04-29,"7","13","Team Liquid","Lose"
"74",2021-04-08,"9","13","Opportunists","Lose"
"75",2021-04-07,"13","1","Team Vitality","Win"
