"","Data","RW","RL","Adversario","Resultados"
"1",2022-12-02,"13","8","Movistar Optix","Win"
"2",2022-09-01,"13","11","Paper Rex","Win"
"3",2022-07-18,"15","17","FNATIC","Lose"
"4",2022-06-25,"11","13","FUSION","Lose"
"5",2022-06-24,"13","9","E-Xolos LAZER","Win"
"6",2022-06-23,"13","5","FUSION","Win"
"7",2022-06-11,"10","13","KRÜ Esports","Lose"
"8",2022-06-04,"13","4","9z Team","Win"
"9",2022-03-26,"9","13","E-Xolos LAZER","Lose"
"10",2022-03-06,"12","14","KRÜ Esports","Lose"
"11",2022-03-05,"13","3","Movistar Optix","Win"
"12",2021-07-15,"7","13","Movistar Optix","Lose"
"13",2021-07-14,"13","1","OESTE FWT","Win"
"14",2021-04-15,"9","13","Movistar Optix","Lose"
"15",2021-04-14,"10","13","Cataclysm Team","Lose"
"16",2021-04-01,"8","13","9z Team","Lose"
"17",2021-02-04,"5","13","Australs","Lose"
"18",2021-01-21,"7","13","Furious Gaming","Lose"
"19",2022-12-04,"11","13","MIBR","Lose"
"20",2022-12-03,"13","7","MIBR","Win"
"21",2022-09-09,"6","13","LOUD","Lose"
"22",2022-09-01,"13","8","Paper Rex","Win"
"23",2022-08-31,"13","10","Team Liquid","Win"
"24",2022-07-16,"16","14","XSET","Win"
"25",2022-07-15,"11","13","DRX","Lose"
"26",2022-06-26,"13","10","KRÜ Esports","Win"
"27",2022-06-11,"10","13","KRÜ Esports","Lose"
"28",2022-06-04,"13","1","9z Team","Win"
"29",2022-05-29,"14","12","KRÜ Esports","Win"
"30",2022-05-15,"13","8","PAMPAS","Win"
"31",2022-04-01,"6","13","Ninjas In Pyjamas","Lose"
"32",2022-03-28,"13","9","KRÜ Esports","Win"
"33",2022-03-26,"13","8","E-Xolos LAZER","Win"
"34",2022-03-05,"13","11","Movistar Optix","Win"
"35",2022-02-26,"13","5","EBRO Gaming","Win"
"36",2022-02-20,"15","1","9z Team","Win"
"37",2022-02-13,"13","1","Meta Gaming","Win"
"38",2021-10-24,"0","13","9z Team","Lose"
"39",2021-05-14,"11","1","9z Team","Win"
"40",2021-04-17,"13","6","Cruzados Esports","Win"
"41",2021-04-15,"8","13","Movistar Optix","Lose"
"42",2021-02-24,"2","13","Meta Gaming","Lose"
"43",2021-02-24,"8","13","Stampede Gaming","Lose"
"44",2021-02-18,"13","7","kd negativo","Win"
"45",2021-02-17,"11","13","Armony Wings","Lose"
"46",2021-02-04,"5","13","Australs","Lose"
"47",2021-02-03,"16","14","Team Samurai","Win"
"48",2022-07-16,"9","13","XSET","Lose"
"49",2022-06-26,"13","3","KRÜ Esports","Win"
"50",2022-06-25,"13","6","FUSION","Win"
"51",2022-06-12,"13","4","9z Team","Win"
"52",2022-04-01,"12","1","Ninjas In Pyjamas","Win"
"53",2022-03-28,"6","13","KRÜ Esports","Lose"
"54",2022-03-26,"13","8","E-Xolos LAZER","Win"
"55",2022-03-06,"9","13","KRÜ Esports","Lose"
"56",2021-04-17,"10","13","Cruzados Esports","Lose"
"57",2021-04-01,"7","13","9z Team","Lose"
"58",2021-03-24,"4","13","Meta Gaming","Lose"
"59",2021-02-20,"10","13","Procyon Team","Lose"
"60",2022-12-04,"13","10","MIBR","Win"
"61",2022-12-03,"13","8","MIBR","Win"
"62",2022-09-11,"11","13","FunPlus Phoenix","Lose"
"63",2022-08-31,"13","10","Team Liquid","Win"
"64",2022-07-18,"13","10","FNATIC","Win"
"65",2022-07-16,"15","13","XSET","Win"
"66",2022-07-15,"13","6","DRX","Win"
"67",2022-06-26,"13","5","KRÜ Esports","Win"
"68",2022-06-25,"13","10","FUSION","Win"
"69",2022-06-23,"11","13","FUSION","Lose"
"70",2022-05-29,"9","13","KRÜ Esports","Lose"
"71",2022-05-21,"12","14","Movistar Optix","Lose"
"72",2022-05-15,"13","3","PAMPAS","Win"
"73",2022-03-28,"14","12","KRÜ Esports","Win"
"74",2022-03-12,"13","2","KRÜ Esports","Win"
"75",2022-02-20,"13","1","9z Team","Win"
"76",2022-02-13,"13","4","Meta Gaming","Win"
"77",2021-10-24,"3","13","9z Team","Lose"
"78",2021-07-15,"13","5","Movistar Optix","Win"
"79",2021-05-13,"12","14","Movistar Optix","Lose"
"80",2021-04-17,"9","13","Cruzados Esports","Lose"
"81",2021-04-14,"13","10","Cataclysm Team","Win"
"82",2021-04-01,"13","1","9z Team","Win"
"83",2021-02-24,"8","13","Meta Gaming","Lose"
"84",2021-02-24,"8","13","Stampede Gaming","Lose"
"85",2021-02-18,"13","3","kd negativo","Win"
"86",2021-02-17,"13","1","Armony Wings","Win"
"87",2021-02-03,"13","6","Team Samurai","Win"
"88",2021-01-21,"7","13","Furious Gaming","Lose"
"89",2022-12-02,"13","9","Movistar Optix","Win"
"90",2022-09-11,"6","13","FunPlus Phoenix","Lose"
"91",2022-09-09,"12","14","LOUD","Lose"
"92",2022-06-25,"13","1","FUSION","Win"
"93",2022-06-24,"13","9","E-Xolos LAZER","Win"
"94",2022-05-28,"13","6","SunXet Club","Win"
"95",2022-05-21,"13","7","Movistar Optix","Win"
"96",2022-04-01,"6","13","Ninjas In Pyjamas","Lose"
"97",2021-07-15,"3","13","Movistar Optix","Lose"
"98",2021-04-14,"13","5","Cataclysm Team","Win"
"99",2021-02-23,"13","8","Meta Gaming","Win"
"100",2021-02-20,"13","11","Aracne Esports","Win"
"101",2022-12-04,"13","8","MIBR","Win"
"102",2022-12-03,"9","13","MIBR","Lose"
"103",2022-07-15,"5","13","DRX","Lose"
"104",2022-06-25,"12","14","FUSION","Lose"
"105",2022-06-23,"7","13","FUSION","Lose"
"106",2022-06-12,"13","2","9z Team","Win"
"107",2022-05-29,"8","13","KRÜ Esports","Lose"
"108",2022-05-28,"13","3","SunXet Club","Win"
"109",2022-03-28,"13","15","KRÜ Esports","Lose"
"110",2022-03-25,"13","7","FUSION","Win"
"111",2022-03-12,"13","8","KRÜ Esports","Win"
"112",2022-02-26,"13","7","EBRO Gaming","Win"
"113",2021-07-14,"13","3","OESTE FWT","Win"
"114",2022-12-04,"13","9","MIBR","Win"
"115",2022-07-18,"12","14","FNATIC","Lose"
"116",2022-05-21,"13","2","Movistar Optix","Win"
"117",2022-03-28,"4","13","KRÜ Esports","Lose"
"118",2022-03-25,"13","8","FUSION","Win"
