"","Data","RW","RL","Adversario","Resultados"
"1",2022-10-14," 13","7","Shopify Rebellion GC","Win"
"2",2022-10-12," 13","1","XSET Purple","Win"
"3",2022-10-08," 13","4","Ariana Grande Perfume","Win"
"4",2022-09-09," 13","6","Tenax","Win"
"5",2022-08-25," 3","13","Knights Academy","Lose"
"6",2022-07-07," 11","13","Shopify Rebellion GC","Lose"
"7",2022-07-03," 13","5","Misfits Black","Win"
"8",2022-06-30," 13","2","Sanri-O's","Win"
"9",2022-06-30," 13","1","BEKNZ+","Win"
"10",2022-05-06," 4","13","Team Mystic","Lose"
"11",2022-04-29," 3","13","Gen.G","Lose"
"12",2022-04-09," 13","4","Shopify Rebellion GC","Win"
"13",2022-04-08," 14","12","Shopify Rebellion GC","Win"
"14",2022-04-01," 13","4","TSM X","Win"
"15",2022-01-27," 6","13","SoaR","Lose"
"16",2021-12-13," 4","13","BASILISK","Lose"
"17",2021-12-06," 5","13","Akrew","Lose"
"18",2021-12-06," 10","13","Aspyre","Lose"
"19",2021-12-06," 10","13","Renegades","Lose"
"20",2021-11-22," 5","13","Akrew","Lose"
"21",2021-11-15," 13","5","Team Reckaroo","Win"
"22",2021-11-15," 3","13","DarkZero Esports","Lose"
"23",2021-11-12," 11","13","The Mafia","Lose"
"24",2021-11-11," 2","13","Border Monsters","Lose"
"25",2021-11-11," 13","4","wasd fan club","Win"
"26",2021-10-03," 13","6","Shopify Rebellion GC","Win"
"27",2021-10-02," 13","3","Shopify Rebellion GC","Win"
"28",2021-09-30," 13","1","Dignitas","Win"
"29",2021-09-30," 13","6","XSET Purple","Win"
"30",2021-09-26," 13","5","Polaris","Win"
"31",2021-09-26," 13","2","Unbind Crouch","Win"
"32",2021-07-22," 13","3","Evolved Gamers","Win"
"33",2021-07-01," 13","2","dotExE","Win"
"34",2021-06-25," 13","8","TSM X","Win"
"35",2021-06-20," 13","4","Shopify Rebellion GC","Win"
"36",2021-05-22," 13","1","Team M00N","Win"
"37",2021-05-17," 9","13","Last Round Save","Lose"
"38",2021-05-17," 13","9","Merry Men","Win"
"39",2021-05-17," 5","13","Kooky Koalas","Lose"
"40",2021-05-10," 3","13","BASILISK","Lose"
"41",2021-05-10," 13","4","On The Way","Win"
