"","Data","RW","RL","Adversario","Resultados"
"1",2022-10-15," 12","14","Oxyg3niOus","Lose"
"2",2022-08-07," 11","13","REIGNITE Lily","Lose"
"3",2022-11-17," 5","13","Guild X","Lose"
"4",2022-10-16," 13","4","SPEAR GAMING Female","Win"
"5",2022-10-14," 13","9","ShanXi Gaming Girls","Win"
"6",2022-08-07," 13","10","REIGNITE Lily","Win"
"7",2022-08-06," 13","3","Focus e-Sports GC","Win"
"8",2022-08-07," 13","6","REIGNITE Lily","Win"
"9",2022-11-16," 4","13","Team Liquid Brazil","Lose"
"10",2022-10-16," 14","12","SPEAR GAMING Female","Win"
"11",2022-10-13," 8","13","SPEAR GAMING Female","Lose"
"12",2022-11-16," 13","8","Team Liquid Brazil","Win"
"13",2022-08-07," 10","13","REIGNITE Lily","Lose"
"14",2022-08-06," 13","5","Focus e-Sports GC","Win"
"15",2022-07-30," 13","7","IGZIST Female","Win"
"16",2022-07-30," 13","3","LiaCosMo Sasanqua","Win"
"17",2022-11-16," 9","13","Team Liquid Brazil","Lose"
"18",2022-10-15," 13","8","Oxyg3niOus","Win"
"19",2022-10-13," 12","14","SPEAR GAMING Female","Lose"
"20",2022-08-07," 13","9","REIGNITE Lily","Win"
"21",2022-11-17," 3","13","Guild X","Lose"
"22",2022-10-16," 15","13","SPEAR GAMING Female","Win"
"23",2022-10-15," 13","9","Oxyg3niOus","Win"
"24",2022-10-14," 13","7","ShanXi Gaming Girls","Win"
