"","Data","RW","RL","Adversario","Resultados"
"1",2022-11-20," 9","13","Shopify Rebellion GC","Lose"
"2",2022-10-02," 13","6","Guild X","Win"
"3",2022-04-26," 13","7","TENSTAR Nova","Win"
"4",2022-04-26," 13","4","ANYWAY","Win"
"5",2022-04-25," 13","10","UNtapped","Win"
"6",2022-04-25," 13","2","Noah's Ark","Win"
"7",2022-04-25," 13","4","MIDAS","Win"
"8",2022-02-06," 13","4","Guild X","Win"
"9",2022-01-27," 4","13","zyzz","Lose"
"10",2021-11-14," 16","14","TENSTAR Nova","Win"
"11",2021-11-14," 13","2","Valstars Gaming Female","Win"
"12",2021-11-13," 13","2","vanished","Win"
"13",2021-11-12," 13","8","Valstars Gaming Female","Win"
"14",2021-10-28," 11","13","TENSTAR Nova","Lose"
"15",2021-10-27," 5","13","Zero Zone W","Lose"
"16",2021-10-02," 7","13","TENSTAR Nova","Lose"
"17",2021-09-30," 13","4","Fire Flux Fierce","Win"
"18",2021-09-28," 13","0","Renaissance","Win"
"19",2021-07-25," 5","13","ChatBanned","Lose"
"20",2021-07-10," 13","7","NOFEAR5","Win"
"21",2022-10-01," 13","9","Natus Vincere Celestials","Win"
"22",2022-09-27," 13","7","Case Hydra","Win"
"23",2022-09-20," 13","10","Case Hydra","Win"
"24",2022-05-02," 13","3","5ynerG","Win"
"25",2022-04-26," 12","14","Guild X","Lose"
"26",2022-01-25," 13","10","Supermassive Blaze Female","Win"
"27",2022-01-17," 5","13","Team Progress","Lose"
"28",2022-01-10," 2","13","bref","Lose"
"29",2021-11-20," 13","4","Guild X","Win"
"30",2021-11-18," 13","10","ChatBanned","Win"
"31",2021-11-13," 13","5","Oxxgen Esports","Win"
"32",2021-10-30," 11","13","Oxxgen Esports","Lose"
"33",2021-10-28," 13","2","TENSTAR Nova","Win"
"34",2021-10-27," 13","7","BBL Queens","Win"
"35",2021-10-26," 13","5","SMARACIS eSports Female","Win"
"36",2021-10-25," 16","14","Oxxgen Esports","Win"
"37",2021-09-29," 13","2","E-Natolian Sports Club F","Win"
"38",2021-07-25," 13","3","vanished","Win"
"39",2022-05-03," 13","6","FUT JEFF","Win"
"40",2022-02-06," 4","13","Guild X","Lose"
"41",2022-01-31," 13","1","Ennola","Win"
"42",2022-01-17," 13","7","VeViCi Esports","Win"
"43",2021-11-21," 13","10","Guild X","Win"
"44",2021-10-30," 12","14","TENSTAR Nova","Lose"
"45",2021-10-27," 13","3","Zero Zone W","Win"
"46",2021-10-02," 6","13","TENSTAR Nova","Lose"
"47",2021-10-01," 13","4","BBL Queens","Win"
"48",2021-07-25," 2","13","Project X","Lose"
"49",2021-07-25," 18","16","Rix.GG Lightning","Win"
"50",2021-07-10," 11","13","Oxxgen Esports","Lose"
"51",2021-07-10," 13","8","NOFEAR5","Win"
"52",2022-11-20," 13","3","Shopify Rebellion GC","Win"
"53",2022-11-18," 14","12","Team Liquid Brazil","Win"
"54",2022-11-15," 7","13","Cloud9 White","Lose"
"55",2022-10-02," 9","13","Guild X","Lose"
"56",2022-09-29," 13","11","Guild X","Win"
"57",2022-09-27," 13","7","Rix.GG Lightning","Win"
"58",2022-09-26," 0","0","Unknownpros Female","Lose"
"59",2022-09-19," 13","3","GeeKay Esports Cherry","Win"
"60",2022-09-19," 13","0","InternetFlicks","Win"
"61",2022-05-08," 15","13","Guild X","Win"
"62",2022-05-03," 13","2","Beşiktaş Esports Female","Win"
"63",2022-05-02," 13","3","5ynerG","Win"
"64",2022-02-06," 13","7","Guild X","Win"
"65",2022-02-03," 13","4","noOrg","Win"
"66",2022-02-01," 13","3","Sangal Rebels","Win"
"67",2022-01-27," 10","13","zyzz","Lose"
"68",2022-01-17," 11","13","Team Progress","Lose"
"69",2022-01-17," 13","8","VeViCi Esports","Win"
"70",2021-11-21," 7","13","Guild X","Lose"
"71",2021-11-18," 13","6","ChatBanned","Win"
"72",2021-11-13," 6","13","ChatBanned","Lose"
"73",2021-11-12," 13","11","TENSTAR Nova","Win"
"74",2021-10-30," 8","13","TENSTAR Nova","Lose"
"75",2021-10-27," 13","7","BBL Queens","Win"
"76",2021-10-26," 13","9","Rix.GG Lightning","Win"
"77",2021-10-25," 13","1","Turgutlu Belediyesi Esports Ladies","Win"
"78",2021-10-01," 13","7","BBL Queens","Win"
"79",2021-09-29," 13","1","E-Natolian Sports Club F","Win"
"80",2021-09-28," 13","0","Renaissance","Win"
"81",2021-07-25," 13","15","Project X","Lose"
"82",2021-07-25," 14","12","Rix.GG Lightning","Win"
"83",2021-07-25," 13","9","ChatBanned","Win"
"84",2021-07-25," 13","9","vanished","Win"
"85",2021-07-10," 13","8","Oxxgen Esports","Win"
"86",2022-11-20," 13","2","Shopify Rebellion GC","Win"
"87",2022-11-15," 13","4","X10 Sapphire","Win"
"88",2022-10-02," 9","13","Guild X","Lose"
"89",2022-09-29," 7","13","Guild X","Lose"
"90",2022-09-27," 13","7","Case Hydra","Win"
"91",2022-09-26," 13","2","Unknownpros Female","Win"
"92",2022-09-20," 13","8","Natus Vincere Celestials","Win"
"93",2022-09-19," 13","1","CpG Waifus","Win"
"94",2022-05-08," 13","10","Guild X","Win"
"95",2022-05-07," 13","8","Rix.GG Lightning","Win"
"96",2022-05-05," 13","9","Guild X","Win"
"97",2022-05-03," 13","5","Beşiktaş Esports Female","Win"
"98",2022-02-06," 16","14","Guild X","Win"
"99",2022-02-05," 13","10","Guild X","Win"
"100",2022-02-03," 13","6","noOrg","Win"
"101",2022-02-01," 13","10","Supermassive Blaze Female","Win"
"102",2022-02-01," 13","3","Sangal Rebels","Win"
"103",2022-01-31," 13","0","Ennola","Win"
"104",2022-01-25," 13","11","Oxxgen Esports","Win"
"105",2022-01-25," 13","4","TENSTAR Nova","Win"
"106",2022-01-24," 13","4","Ennola","Win"
"107",2022-01-24," 13","2","IRIS","Win"
"108",2022-01-17," 13","11","Team Progress","Win"
"109",2021-11-21," 13","10","Guild X","Win"
"110",2021-10-30," 13","9","Oxxgen Esports","Win"
"111",2021-10-25," 13","3","Finest Female","Win"
"112",2021-09-30," 13","3","Fire Flux Fierce","Win"
"113",2021-07-25," 13","4","Project X","Win"
"114",2021-07-25," 5","13","Rix.GG Lightning","Lose"
"115",2021-07-25," 13","11","ChatBanned","Win"
"116",2021-07-10," 11","13","Oxxgen Esports","Lose"
"117",2022-11-20," 13","5","Shopify Rebellion GC","Win"
"118",2022-11-18," 13","10","Team Liquid Brazil","Win"
"119",2022-11-15," 13","6","Cloud9 White","Win"
"120",2022-11-15," 13","7","X10 Sapphire","Win"
"121",2022-09-27," 13","7","Rix.GG Lightning","Win"
"122",2022-09-20," 13","9","Acend Rising","Win"
"123",2022-05-08," 13","8","Guild X","Win"
"124",2022-05-05," 14","12","Guild X","Win"
"125",2022-05-03," 13","6","FUT JEFF","Win"
"126",2022-01-10," 1","13","bref","Lose"
"127",2021-11-21," 13","7","Guild X","Win"
"128",2021-11-20," 13","8","Guild X","Win"
"129",2021-11-14," 15","13","TENSTAR Nova","Win"
"130",2021-11-14," 13","2","Valstars Gaming Female","Win"
"131",2021-11-13," 13","5","vanished","Win"
"132",2021-11-13," 13","4","Rix.GG Lightning","Win"
"133",2021-10-30," 10","13","Oxxgen Esports","Lose"
"134",2021-10-28," 13","6","TENSTAR Nova","Win"
"135",2021-10-27," 13","3","Zero Zone W","Win"
"136",2021-10-26," 13","6","FUT JEFF","Win"
"137",2022-10-02," 3","13","Guild X","Lose"
"138",2022-05-07," 13","7","Rix.GG Lightning","Win"
"139",2022-02-05," 15","13","Guild X","Win"
"140",2022-02-01," 14","12","Supermassive Blaze Female","Win"
"141",2022-01-24," 13","2","GeeKay Esports Cherry","Win"
"142",2022-11-20," 9","13","Shopify Rebellion GC","Lose"
"143",2022-11-15," 13","3","Cloud9 White","Win"
"144",2022-10-02," 13","6","Guild X","Win"
"145",2022-10-01," 13","11","Natus Vincere Celestials","Win"
"146",2022-09-29," 13","6","Guild X","Win"
