"","Data","RW","RL","Adversario","Resultados"
"1",2022-10-02," 6","13","G2 Gozen","Lose"
"2",2022-09-27,"13","5","Into The Breach Prime","Win"
"3",2022-09-26," 13","5","ANYWAY","Win"
"4",2022-09-20," 13","3","TIGER Anonymo","Win"
"5",2022-07-08," 8","13","Acend Rising","Lose"
"6",2022-07-07," 13","10","TENSTAR Nova","Win"
"7",2022-02-06," 4","13","G2 Gozen","Lose"
"8",2022-02-05," 3","13","TENSTAR Nova","Lose"
"9",2022-02-03," 16","18","TENSTAR Nova","Lose"
"10",2022-02-01," 13","3","TFT DEMONZ","Win"
"11",2021-11-20," 13","11","Oxxgen Esports","Win"
"12",2021-11-14," 13","7","Oxxgen Esports","Win"
"13",2021-10-26," 13","2","Zero Zone W","Win"
"14",2021-10-25," 6","13","TENSTAR Nova","Lose"
"15",2021-09-28," 13","1","Unranked","Win"
"16",2021-09-12," 13","9","TENSTAR Nova","Win"
"17",2021-09-12," 13","5","Rix.GG Lightning","Win"
"18",2021-09-11," 13","8","Rix.GG Lightning","Win"
"19",2021-09-11," 5","13","ChatBanned","Lose"
"20",2021-09-04," 13","9","F5","Win"
"21",2021-09-04," 13","3","Finest Female","Win"
"22",2022-11-18," 5","13","Cloud9 White","Lose"
"23",2022-11-17," 13","5","FENNEL GC","Win"
"24",2022-11-16," 13","11","Shopify Rebellion GC","Win"
"25",2022-10-01," 13","6","Natus Vincere Celestials","Win"
"26",2022-09-30," 13","6","TENSTAR Nova","Win"
"27",2022-09-30," 11","13","Acend Rising","Lose"
"28",2022-07-07," 13","5","Acend Rising","Win"
"29",2022-05-07," 13","11","Rix.GG Lightning","Win"
"30",2022-05-06," 13","5","FUT JEFF","Win"
"31",2022-05-03," 13","8","Nomads","Win"
"32",2022-04-26," 14","12","G2 Gozen","Win"
"33",2022-03-15," 13","3","Beşiktaş Esports Female","Win"
"34",2022-02-05," 13","8","TENSTAR Nova","Win"
"35",2022-02-03," 13","11","TENSTAR Nova","Win"
"36",2022-01-25," 9","13","Rix.GG Lightning","Lose"
"37",2022-01-10," 13","10","Phoenicia","Win"
"38",2021-11-20," 11","13","Oxxgen Esports","Lose"
"39",2021-11-20," 4","13","G2 Gozen","Lose"
"40",2021-11-18," 13","7","SMARACIS eSports Female","Win"
"41",2021-11-14," 13","10","Oxxgen Esports","Win"
"42",2021-11-13," 13","5","Supermassive Blaze Female","Win"
"43",2021-11-12," 13","10","FUT JEFF","Win"
"44",2021-11-12," 13","3","Peeposhy","Win"
"45",2021-10-28," 13","5","Rix.GG Lightning","Win"
"46",2021-10-27," 11","13","ChatBanned","Lose"
"47",2021-10-27," 13","4","Valstars Gaming Female","Win"
"48",2021-10-26," 13","10","Giants G4E","Win"
"49",2021-09-30," 10","13","Rix.GG Lightning","Lose"
"50",2021-09-28," 13","2","Unranked","Win"
"51",2021-08-15," 13","7","fReya","Win"
"52",2021-07-25," 13","8","Lux Nova","Win"
"53",2021-07-11," 11","13","GangsterzZ","Lose"
"54",2021-07-11," 11","13","Oxxgen Esports","Lose"
"55",2021-06-28," 6","13","Judge Rush","Lose"
"56",2022-07-08," 9","13","Acend Rising","Lose"
"57",2022-05-06," 9","13","FUT JEFF","Lose"
"58",2022-05-06," 8","13","Supermassive Blaze Female","Lose"
"59",2022-05-03," 13","8","TENSTAR Nova","Win"
"60",2022-03-30," 3","13","SunnyBeach","Lose"
"61",2022-03-16," 11","13","TENSTAR Nova","Lose"
"62",2022-02-06," 13","4","G2 Gozen","Win"
