"","Data","RW","RL","Adversario","Resultados"
"1",2022-08-21," 13","5","9z Team GC","Win"
"2",2022-08-03," 13","11","9z Team GC","Win"
"3",2022-05-29," 13","2","Meta Gaming Fem","Win"
"4",2022-05-28," 13","6","Movistar Optix Fem","Win"
"5",2022-03-11," 13","3","Goat Crew Girls","Win"
"6",2022-01-23," 13","3","Undead Gaming Fem","Win"
"7",2022-01-21," 13","3","FEMSANE","Win"
"8",2022-01-19," 13","5","Undead Gaming Fem","Win"
"9",2022-11-17," 6","13","X10 Sapphire","Lose"
"10",2022-11-15," 5","13","Cloud9 White","Lose"
"11",2022-08-21," 14","12","9z Team GC","Win"
"12",2022-08-19," 12","14","NOORG","Lose"
"13",2022-07-28," 13","15","EBEA2 Gaming","Lose"
"14",2022-07-01," 13","6","Undead Gaming Fem","Win"
"15",2022-06-17," 13","11","CUY Gaming Fem","Win"
"16",2022-05-22," 13","5","AKA Team","Win"
"17",2022-06-17," 13","2","CUY Gaming Fem","Win"
"18",2022-05-29," 14","12","Meta Gaming Fem","Win"
"19",2022-03-17," 13","8","Movistar Optix Fem","Win"
"20",2022-03-11," 13","2","Goat Crew Girls","Win"
"21",2022-11-15," 4","13","Cloud9 White","Lose"
"22",2022-10-22," 13","6","FiRePOWER","Win"
"23",2022-08-21," 13","4","9z Team GC","Win"
"24",2022-08-03," 13","9","9z Team GC","Win"
"25",2022-08-02," 13","3","CUY Gaming Fem","Win"
"26",2022-07-28," 11","13","EBEA2 Gaming","Lose"
"27",2022-06-18," 13","4","9z Team GC","Win"
"28",2022-05-28," 13","4","Movistar Optix Fem","Win"
"29",2022-01-19," 13","5","Undead Gaming Fem","Win"
"30",2022-01-18," 13","3","Clowns Killer","Win"
"31",2022-10-22," 13","4","FiRePOWER","Win"
"32",2022-08-19," 13","8","NOORG","Win"
"33",2022-07-03," 13","3","Undead Gaming Fem","Win"
"34",2022-06-18," 13","8","9z Team GC","Win"
"35",2022-03-19," 13","5","Undead Gaming Fem","Win"
"36",2022-03-12," 13","1","Meta Gaming Fem","Win"
"37",2022-01-23," 13","6","Undead Gaming Fem","Win"
"38",2022-01-21," 4","13","FEMSANE","Lose"
"39",2022-01-18," 13","3","Clowns Killer","Win"
"40",2022-11-17," 13","9","X10 Sapphire","Win"
"41",2022-08-21," 9","13","9z Team GC","Lose"
"42",2022-08-19," 13","3","NOORG","Win"
"43",2022-08-02," 13","1","CUY Gaming Fem","Win"
"44",2022-07-01," 13","4","Undead Gaming Fem","Win"
"45",2022-05-22," 13","4","AKA Team","Win"
"46",2022-03-12," 13","4","Meta Gaming Fem","Win"
"47",2022-01-21," 13","10","FEMSANE","Win"
"48",2022-11-17," 7","13","X10 Sapphire","Lose"
"49",2022-10-22," 13","6","FiRePOWER","Win"
"50",2022-07-03," 13","3","Undead Gaming Fem","Win"
"51",2022-05-29," 13","6","Meta Gaming Fem","Win"
"52",2022-03-19," 13","5","Undead Gaming Fem","Win"
"53",2022-03-17," 13","7","Movistar Optix Fem","Win"
