"","Data","RW","RL","Adversario","Resultados"
"1",2022-11-20," 13","9","G2 Gozen","Win"
"2",2022-11-17," 12","14","Team Liquid Brazil","Lose"
"3",2022-10-14," 7","13","Cloud9 White","Lose"
"4",2022-10-08," 6","13","Complexity GX3","Lose"
"5",2022-10-08," 13","5","dart monkeys","Win"
"6",2022-10-06," 13","9","One Mom Four Kittens","Win"
"7",2022-08-06," 11","13","Evil Geniuses GC","Lose"
"8",2022-07-08," 13","10","TSM X","Win"
"9",2022-07-07," 13","11","Cloud9 White","Win"
"10",2022-07-06," 13","4","Ariana Grande Perfume","Win"
"11",2022-07-02," 13","10","Complexity GX3","Win"
"12",2022-07-02," 13","3","XSET Purple","Win"
"13",2022-04-09," 4","13","Cloud9 White","Lose"
"14",2022-04-09," 13","6","Dignitas","Win"
"15",2022-04-08," 12","14","Cloud9 White","Lose"
"16",2022-04-07," 13","10","Gen.G Black","Win"
"17",2022-04-06," 13","6","VersionX","Win"
"18",2022-04-01," 13","8","CLG Red","Win"
"19",2022-03-31," 13","2","Man I Love Fwogs","Win"
"20",2022-03-31," 13","4","INSOMNIA","Win"
"21",2022-02-13," 13","10","Moon Raccoons Black","Win"
"22",2021-12-05," 5","13","TSM X","Lose"
"23",2021-11-10," 0","13","Radiance","Lose"
"24",2021-11-08," 10","13","InControlNation","Lose"
"25",2021-11-04," 7","13","24Haven","Lose"
"26",2021-10-28," 12","14","Gen.G Black","Lose"
"27",2021-10-23," 10","13","FLICKBAITERS","Lose"
"28",2021-10-14," 5","13","Teal Seam","Lose"
"29",2021-10-03," 6","13","Cloud9 White","Lose"
"30",2021-10-02," 16","14","Dignitas","Win"
"31",2021-10-02," 3","13","Cloud9 White","Lose"
"32",2021-09-30," 13","8","Gen.G Black","Win"
"33",2021-09-30," 13","7","CLG Red","Win"
"34",2021-09-24," 13","1","Biddies Doin Esports","Win"
"35",2021-08-22," 13","9","Gen.G Black","Win"
"36",2021-08-22," 13","5","24Haven","Win"
"37",2021-06-25," 14","12","CLG Red","Win"
"38",2021-06-20," 7","13","Gen.G Black","Lose"
"39",2021-06-20," 4","13","Cloud9 White","Lose"
"40",2021-06-19," 13","0","Team X","Win"
"41",2022-11-19," 13","9","Cloud9 White","Win"
"42",2022-11-18," 16","14","X10 Sapphire","Win"
"43",2022-11-16," 11","13","Guild X","Lose"
"44",2022-10-16," 6","13","Cloud9 White","Lose"
"45",2022-10-15," 13","8","Misfits Black","Win"
"46",2022-10-12," 13","8","Complexity GX3","Win"
"47",2022-10-12," 13","11","Misfits Black","Win"
"48",2022-10-09," 13","5","Ariana Grande Perfume","Win"
"49",2022-10-08," 4","13","Complexity GX3","Lose"
"50",2022-08-06," 9","13","Gen.G Black","Lose"
"51",2022-06-30," 13","9","XSET Purple","Win"
"52",2022-04-25," 7","13","Teal Seam","Lose"
"53",2022-04-09," 4","13","Cloud9 White","Lose"
"54",2022-04-02," 13","3","Team X","Win"
"55",2022-04-01," 12","14","CLG Red","Lose"
"56",2022-03-21," 9","13","Highschool Dropouts","Lose"
"57",2022-03-08," 5","13","Knights Academy","Lose"
"58",2022-02-14," 13","10","Dignitas","Win"
"59",2022-02-06," 7","13","Complexity GX3","Lose"
"60",2022-02-03," 4","13","Thanos Mug Academy","Lose"
"61",2022-02-01," 13","15","afterMath Esports","Lose"
"62",2022-01-27," 6","13","XSET","Lose"
"63",2021-12-19," 1","13","Froggers","Lose"
"64",2021-11-12," 11","13","Peek Performance","Lose"
"65",2021-11-11," 11","13","Actually Homeless","Lose"
"66",2021-10-28," 13","4","Gen.G Black","Win"
"67",2021-10-03," 13","11","Cloud9 White","Win"
"68",2021-10-02," 15","13","Dignitas","Win"
"69",2021-10-02," 7","13","Cloud9 White","Lose"
"70",2021-09-30," 13","9","Gen.G Black","Win"
"71",2021-09-26," 13","6","CC Angels","Win"
"72",2021-09-26," 13","3","Castaways","Win"
"73",2021-09-25," 13","8","CLG Red","Win"
"74",2021-09-24," 13","3","Anavrin Esports","Win"
"75",2021-09-04," 5","13","ONIFANS","Lose"
"76",2021-09-04," 4","13","IlluZion","Lose"
"77",2021-08-22," 13","5","24Haven","Win"
"78",2021-08-21," 13","4","Unbind Crouch","Win"
"79",2021-08-21," 13","7","Fatality","Win"
"80",2021-07-22," 2","13","Renegades","Lose"
"81",2021-07-19," 13","3","Professional Malders","Win"
"82",2021-07-18," 13","1","CLG Red","Win"
"83",2021-07-17," 13","3","Fatality","Win"
"84",2021-07-17," 13","3","Fatality","Win"
"85",2021-06-26," 2","13","Cloud9 White","Lose"
"86",2021-06-24," 4","13","Dignitas","Lose"
"87",2022-04-28," 5","13","Nearest Airport","Lose"
"88",2022-04-09," 13","10","Dignitas","Win"
"89",2022-02-03," 11","13","Thanos Mug Academy","Lose"
"90",2022-01-31," 13","5","afterMath Esports","Win"
"91",2021-11-29," 13","7","TSM X","Win"
"92",2021-11-27," 13","2","VersionX","Win"
"93",2021-11-26," 3","13","Evil Geniuses","Lose"
"94",2021-09-30," 6","13","CLG Red","Lose"
"95",2021-08-22," 7","13","Gen.G Black","Lose"
"96",2021-07-22," 1","13","Renegades","Lose"
"97",2021-07-22," 13","8","Pog Champions","Win"
"98",2021-07-18," 13","9","TSM X","Win"
"99",2021-07-18," 13","11","Gen.G Black","Win"
"100",2021-06-26," 11","13","CLG Red","Lose"
"101",2021-06-25," 6","13","CLG Red","Lose"
"102",2021-06-24," 13","10","Dignitas","Win"
"103",2021-06-20," 13","7","Cloud9 White","Win"
"104",2021-06-19," 13","2","Team X","Win"
"105",2022-11-20," 3","13","G2 Gozen","Lose"
"106",2022-10-16," 6","13","Cloud9 White","Lose"
"107",2022-10-06," 13","4","One Mom Four Kittens","Win"
"108",2022-10-06," 13","0","Interstellar","Win"
"109",2022-08-24," 9","13","TetraEsportsGG","Lose"
"110",2022-08-06," 9","13","Evil Geniuses GC","Lose"
"111",2022-08-06," 13","6","Immortals","Win"
"112",2022-07-09," 11","13","Cloud9 White","Lose"
"113",2022-07-08," 13","10","TSM X","Win"
"114",2022-07-07," 7","13","Cloud9 White","Lose"
"115",2021-11-29," 7","13","TSM X","Lose"
"116",2021-11-15," 6","13","One Percent","Lose"
"117",2021-11-15," 3","13","Evil Geniuses","Lose"
"118",2021-11-11," 13","11","Actually Homeless","Win"
"119",2021-10-28," 5","13","Gen.G Black","Lose"
"120",2021-10-03," 8","13","Cloud9 White","Lose"
"121",2021-07-22," 13","6","Pog Champions","Win"
"122",2021-07-18," 7","13","CLG Red","Lose"
"123",2021-07-18," 15","13","Gen.G Black","Win"
"124",2021-07-17," 13","0","Killer Queens","Win"
"125",2021-06-20," 5","13","Cloud9 White","Lose"
"126",2021-06-19," 13","9","NOTHING2LOSE","Win"
"127",2022-11-20," 2","13","G2 Gozen","Lose"
"128",2022-11-19," 13","5","Team Liquid Brazil","Win"
"129",2022-11-19," 13","9","Cloud9 White","Win"
"130",2022-11-17," 7","13","Team Liquid Brazil","Lose"
"131",2022-11-16," 13","4","Guild X","Win"
"132",2022-10-16," 7","13","Cloud9 White","Lose"
"133",2022-10-15," 4","13","Misfits Black","Lose"
"134",2022-10-06," 13","1","Interstellar","Win"
"135",2022-08-24," 4","13","RILLAS","Lose"
"136",2022-08-24," 13","8","Team Flux","Win"
"137",2022-08-06," 16","14","Native Gaming White","Win"
"138",2022-07-09," 13","7","Cloud9 White","Win"
"139",2022-07-06," 13","11","Ariana Grande Perfume","Win"
"140",2022-05-25," 6","13","New Moon","Lose"
"141",2022-05-25," 9","13","Hyperspace Dark","Lose"
"142",2022-05-25," 3","13","Zero MarksMen Black","Lose"
"143",2022-04-28," 2","13","Nearest Airport","Lose"
"144",2022-04-25," 8","13","Moon Raccoons","Lose"
"145",2022-04-25," 13","7","Zenigma Alpha","Win"
"146",2022-04-25," 13","6","Zenigma Alpha","Win"
"147",2022-04-09," 4","13","Cloud9 White","Lose"
"148",2022-04-06," 9","13","VersionX","Lose"
"149",2022-04-03," 13","3","XSET Purple","Win"
"150",2022-04-01," 13","6","CLG Red","Win"
"151",2022-03-21," 13","11","Run it Down","Win"
"152",2022-03-08," 11","13","Knights Academy","Lose"
"153",2022-02-14," 13","4","Dignitas","Win"
"154",2022-02-06," 13","7","Complexity GX3","Win"
"155",2022-02-01," 3","13","Ghost Gaming","Lose"
"156",2022-02-01," 13","9","afterMath Esports","Win"
"157",2022-01-31," 7","13","Pack a Punch","Lose"
"158",2022-01-27," 13","11","EDO TENSEI","Win"
"159",2021-12-19," 9","13","Froggers","Lose"
"160",2021-12-05," 11","13","XSET Purple","Lose"
"161",2021-12-05," 13","5","VersionX","Win"
"162",2021-12-05," 13","6","TSM X","Win"
"163",2021-11-29," 15","17","TSM X","Lose"
"164",2021-11-27," 13","3","VersionX","Win"
"165",2021-11-27," 13","7","Polaris","Win"
"166",2021-11-26," 5","13","FLICKBAITERS","Lose"
"167",2021-11-26," 7","13","Proximity","Lose"
"168",2021-11-15," 7","13","GunsForHire","Lose"
"169",2021-11-11," 3","13","Actually Homeless","Lose"
"170",2021-11-10," 10","13","Radiance","Lose"
"171",2021-11-08," 7","13","Soniqs","Lose"
"172",2021-11-08," 3","13","Elysium","Lose"
"173",2021-11-04," 15","13","24Haven","Win"
"174",2021-10-23," 8","13","FLICKBAITERS","Lose"
"175",2021-10-14," 2","13","Teal Seam","Lose"
"176",2021-10-03," 10","13","Cloud9 White","Lose"
"177",2021-09-30," 13","6","CLG Red","Win"
"178",2021-09-26," 13","6","CC Angels","Win"
"179",2021-09-26," 13","6","Castaways","Win"
"180",2021-09-25," 6","13","CLG Red","Lose"
"181",2021-09-24," 13","3","Biddies Doin Esports","Win"
"182",2021-09-24," 13","2","Anavrin Esports","Win"
