"","Data","RW","RL","Adversario","Resultados"
"1",2022-11-17," 14","12","Shopify Rebellion GC","Win"
"2",2022-10-22," 5","13","B4 Angels","Lose"
"3",2022-08-21," 13","11","Gamelanders Purple","Win"
"4",2022-08-03," 13","10","ODDIK Bright","Win"
"5",2022-07-29," 8","13","Rise Gaming","Lose"
"6",2022-07-27," 13","10","B4 Angels","Win"
"7",2022-07-26," 13","4","TropiCaos GC","Win"
"8",2022-06-03," 13","7","maze e amigas","Win"
"9",2022-06-02," 13","3","Slipper Generation","Win"
"10",2022-05-08," 13","10","TBK Esports Female","Win"
"11",2022-05-06," 13","0","Meninas Super Furiosas","Win"
"12",2022-05-05," 13","0","Sphynx Lilac","Win"
"13",2022-04-03," 13","3","B4 Angels","Win"
"14",2022-04-01," 13","8","Stars Horizon Venus","Win"
"15",2022-03-31," 13","0","Valhalla","Win"
"16",2022-02-27," 13","7","TBK Esports Female","Win"
"17",2022-01-21," 1","13","ROLO COMPRESSOR","Lose"
"18",2022-10-22," 13","8","B4 Angels","Win"
"19",2022-10-20," 14","12","ODDIK Bright","Win"
"20",2022-10-03," 13","4","ODDIK Bright","Win"
"21",2022-09-25," 13","15","Gamelanders Purple","Lose"
"22",2022-09-24," 13","5","TBK Esports Female","Win"
"23",2022-08-20," 13","11","TBK Esports Female","Win"
"24",2022-08-18," 13","3","Jupiter King Esports","Win"
"25",2022-07-07," 13","11","B4 Angels","Win"
"26",2022-07-02," 13","11","TropiCaos GC","Win"
"27",2022-05-06," 13","5","Meninas Super Furiosas","Win"
"28",2022-04-03," 13","2","B4 Angels","Win"
"29",2022-04-02," 11","13","Gamelanders Purple","Lose"
"30",2022-04-01," 13","5","Stars Horizon Venus","Win"
"31",2022-03-15," 5","13","SG e-Sports","Lose"
"32",2022-03-07," 13","8","Looking for Contract","Win"
"33",2022-02-25," 13","3","Gamelanders Purple","Win"
"34",2022-06-04," 13","3","Gamelanders Purple","Win"
"35",2022-02-26," 13","8","ODDIK Bright","Win"
"36",2022-11-18," 12","14","G2 Gozen","Lose"
"37",2022-11-16," 13","4","FENNEL GC","Win"
"38",2022-10-22," 14","12","B4 Angels","Win"
"39",2022-10-18," 13","10","B4 Angels","Win"
"40",2022-10-15," 13","10","MIBR Female","Win"
"41",2022-09-30," 13","9","MIBR Female","Win"
"42",2022-09-25," 7","13","Gamelanders Purple","Lose"
"43",2022-09-23," 17","15","B4 Angels","Win"
"44",2022-09-23," 13","1","RABBIT NOORG","Win"
"45",2022-08-04," 8","13","The Union","Lose"
"46",2022-08-03," 13","0","ODDIK Bright","Win"
"47",2022-07-29," 8","13","Rise Gaming","Lose"
"48",2022-07-25," 8","13","puGG","Lose"
"49",2022-07-09," 13","11","Gamelanders Purple","Win"
"50",2022-07-05," 13","7","Gamelanders Purple","Win"
"51",2022-07-02," 13","3","TropiCaos GC","Win"
"52",2022-06-03," 13","7","maze e amigas","Win"
"53",2022-06-02," 13","4","Slipper Generation","Win"
"54",2022-05-08," 13","5","TBK Esports Female","Win"
"55",2022-04-03," 13","3","B4 Angels","Win"
"56",2022-04-02," 13","6","Gamelanders Purple","Win"
"57",2022-03-31," 13","10","Valhalla","Win"
"58",2022-03-08," 14","12","Agropesca Jacare","Win"
"59",2022-02-26," 13","10","ODDIK Bright","Win"
"60",2022-02-25," 13","7","Gamelanders Purple","Win"
"61",2022-02-24," 13","4","MIBR Female","Win"
"62",2022-01-21," 13","1","Team RUIM","Win"
"63",2022-11-19," 5","13","Shopify Rebellion GC","Lose"
"64",2022-11-17," 13","7","Shopify Rebellion GC","Win"
"65",2022-11-16," 8","13","FENNEL GC","Lose"
"66",2022-10-22," 6","13","B4 Angels","Lose"
"67",2022-10-20," 13","3","ODDIK Bright","Win"
"68",2022-10-18," 13","8","B4 Angels","Win"
"69",2022-10-15," 14","12","MIBR Female","Win"
"70",2022-10-03," 13","4","ODDIK Bright","Win"
"71",2022-10-01," 13","3","a culpa e das estrelas","Win"
"72",2022-09-30," 13","7","MIBR Female","Win"
"73",2022-09-25," 16","14","Gamelanders Purple","Win"
"74",2022-08-19," 13","4","MIBR Female","Win"
"75",2022-08-04," 6","13","The Union","Lose"
"76",2022-07-28," 10","13","Laboratorio do Leozin","Lose"
"77",2022-06-05," 13","11","TBK Esports Female","Win"
"78",2022-06-04," 13","9","Gamelanders Purple","Win"
"79",2022-05-08," 7","13","TBK Esports Female","Lose"
"80",2022-05-07," 13","5","Gamelanders Purple","Win"
"81",2022-04-02," 13","9","Gamelanders Purple","Win"
"82",2022-03-15," 5","13","SG e-Sports","Lose"
"83",2022-03-09," 9","13","LUSA White","Lose"
"84",2022-03-08," 14","12","Agropesca Jacare","Win"
"85",2022-03-08," 13","2","tropa do mata rindo","Win"
"86",2022-02-27," 13","5","TBK Esports Female","Win"
"87",2022-02-24," 13","4","MIBR Female","Win"
"88",2022-01-21," 13","4","Team RUIM","Win"
"89",2022-11-18," 10","13","G2 Gozen","Lose"
"90",2022-11-16," 13","9","FENNEL GC","Win"
"91",2022-10-22," 13","4","B4 Angels","Win"
"92",2022-10-03," 10","13","ODDIK Bright","Lose"
"93",2022-09-25," 13","6","Gamelanders Purple","Win"
"94",2022-08-21," 9","13","Gamelanders Purple","Lose"
"95",2022-08-20," 13","10","TBK Esports Female","Win"
"96",2022-08-18," 13","1","Jupiter King Esports","Win"
