"","Data","RW","RL","Adversario","Resultados"
"1",2022-10-01," 13","4","Bren Esports Victress","Win"
"2",2022-08-20," 13","8","X Team Bo","Win"
"3",2022-08-14," 13","5","Not Your Business Female","Win"
"4",2022-07-02," 8","13","Nigma Galaxy Female","Lose"
"5",2022-06-25," 13","0","KAIDA","Win"
"6",2022-05-08," 7","13","Alter Ego Celeste","Lose"
"7",2022-05-06," 13","10","Alter Ego Celeste","Win"
"8",2022-03-06," 4","13","Alter Ego Celeste","Lose"
"9",2022-03-05," 5","13","Alter Ego Celeste","Lose"
"10",2021-10-31," 6","13","Alter Ego Celeste","Lose"
"11",2021-10-30," 8","13","Alter Ego Celeste","Lose"
"12",2021-10-01," 13","9","Chill Lang","Win"
"13",2022-11-18," 14","16","Shopify Rebellion GC","Lose"
"14",2022-11-17," 13","6","KRÜ Fem","Win"
"15",2022-10-09," 13","5","Alter Ego Celeste","Win"
"16",2022-10-08," 13","11","Alter Ego Celeste","Win"
"17",2022-08-20," 13","3","X Team Bo","Win"
"18",2022-08-18," 13","8","W Streak Esports Female","Win"
"19",2022-08-17," 13","3","ARF Starlight","Win"
"20",2022-08-14," 13","5","Demon Dogs Titania","Win"
"21",2022-08-13," 13","8","Hero Zero KDA","Win"
"22",2022-06-25," 13","8","BIGG SCYTHE","Win"
"23",2022-05-07," 13","7","Bren Esports Victress","Win"
"24",2022-05-05," 13","5","FUMA Gaming","Win"
"25",2022-04-30," 10","13","Todak Female","Lose"
"26",2022-04-30," 13","1","X Team Bo","Win"
"27",2022-04-02," 13","3","Specifica Vittoria Empress","Win"
"28",2022-03-06," 8","13","Alter Ego Celeste","Lose"
"29",2022-03-04," 13","8","Siomai and Friends - Meraki","Win"
"30",2022-03-03," 13","6","The Capitol Arise","Win"
"31",2021-10-31," 13","9","Renatus White","Win"
"32",2021-10-30," 10","13","Alter Ego Celeste","Lose"
"33",2021-10-24," 18","16","Nigma Galaxy Female","Win"
"34",2021-10-02," 13","5","Asteria","Win"
"35",2021-10-02," 16","14","Lightality Estelle","Win"
"36",2021-09-26," 13","7","Aricat.Junior","Win"
"37",2022-05-08," 5","13","Alter Ego Celeste","Lose"
"38",2022-04-09," 4","13","Bren Esports Victress","Lose"
"39",2022-04-07," 3","13","Bren Esports Victress","Lose"
"40",2022-04-03," 13","4","BIGG SCYTHE","Win"
"41",2022-04-03," 13","0","Duality E-Sports Banshees","Win"
"42",2022-04-02," 13","3","Specifica Vittoria Empress","Win"
"43",2021-10-31," 9","13","Alter Ego Celeste","Lose"
"44",2022-10-09," 13","15","Alter Ego Celeste","Lose"
"45",2022-06-30," 12","14","Orangutan X","Lose"
"46",2022-05-07," 13","10","Bren Esports Victress","Win"
"47",2022-05-05," 9","13","FUMA Gaming","Lose"
"48",2022-05-01," 13","4","Sovereign","Win"
"49",2022-04-30," 13","3","Todak Female","Win"
"50",2022-04-09," 14","12","Bren Esports Victress","Win"
"51",2022-03-06," 16","14","Alter Ego Celeste","Win"
"52",2021-10-31," 13","11","Alter Ego Celeste","Win"
"53",2021-10-23," 13","2","BIGG SCYTHE","Win"
"54",2021-10-02," 13","9","Asteria","Win"
"55",2021-10-02," 13","5","Lightality Estelle","Win"
"56",2021-10-01," 13","3","Chill Lang","Win"
"57",2022-11-15," 4","13","G2 Gozen","Lose"
"58",2022-10-09," 13","11","Alter Ego Celeste","Win"
"59",2022-08-18," 13","7","W Streak Esports Female","Win"
"60",2022-07-02," 13","10","Nigma Galaxy Female","Win"
"61",2022-06-30," 5","13","Orangutan X","Lose"
"62",2022-05-28," 13","8","Thirsts Red","Win"
"63",2022-05-05," 13","3","FUMA Gaming","Win"
"64",2022-04-30," 13","4","Todak Female","Win"
"65",2022-04-09," 1","13","Bren Esports Victress","Lose"
"66",2022-04-09," 13","6","Aresta","Win"
"67",2022-04-08," 13","10","Orangutan X","Win"
"68",2022-04-03," 13","8","BIGG SCYTHE","Win"
"69",2022-04-02," 13","2","Team NvM","Win"
"70",2022-03-06," 11","13","Alter Ego Celeste","Lose"
"71",2022-03-06," 15","13","The Capitol Arise","Win"
"72",2022-02-27," 13","1","TEAM IMPACT RED","Win"
"73",2022-02-26," 13","7","Eight Paths: Xyra","Win"
"74",2021-10-31," 8","13","Alter Ego Celeste","Lose"
"75",2021-10-31," 13","6","Renatus White","Win"
"76",2021-10-24," 14","12","Nigma Galaxy Female","Win"
"77",2021-10-23," 13","0","BIGG SCYTHE","Win"
"78",2021-10-02," 8","13","Asteria","Lose"
"79",2021-09-26," 11","13","FIVE M NO.1","Lose"
"80",2021-09-25," 13","5","Cerulean Sentinel Esports White","Win"
"81",2022-11-17," 9","13","KRÜ Fem","Lose"
"82",2022-11-15," 7","13","G2 Gozen","Lose"
"83",2022-10-09," 13","4","Alter Ego Celeste","Win"
"84",2022-08-14," 13","5","Not Your Business Female","Win"
"85",2022-08-14," 13","4","Demon Dogs Titania","Win"
"86",2022-07-02," 12","14","Nigma Galaxy Female","Lose"
"87",2022-06-30," 3","13","Orangutan X","Lose"
"88",2022-06-25," 13","8","BIGG SCYTHE","Win"
"89",2022-06-25," 13","1","KAIDA","Win"
"90",2022-05-28," 10","13","Thirsts Red","Lose"
"91",2022-05-08," 12","14","Alter Ego Celeste","Lose"
"92",2022-05-07," 4","13","Bren Esports Victress","Lose"
"93",2022-05-01," 13","10","Gern Puimui","Win"
"94",2022-04-30," 13","5","X Team Bo","Win"
"95",2022-04-09," 16","14","Aresta","Win"
"96",2022-04-08," 13","5","Orangutan X","Win"
"97",2022-04-03," 13","3","Duality E-Sports Banshees","Win"
"98",2022-04-02," 13","4","Team NvM","Win"
"99",2022-03-06," 16","14","The Capitol Arise","Win"
"100",2022-03-04," 13","2","Siomai and Friends - Meraki","Win"
"101",2022-03-03," 13","3","The Capitol Arise","Win"
"102",2022-02-27," 13","3","FW Lady","Win"
"103",2021-10-02," 13","3","Asteria","Win"
"104",2021-09-26," 13","9","FIVE M NO.1","Win"
"105",2021-09-26," 13","3","BBBG","Win"
"106",2022-11-17," 13","7","KRÜ Fem","Win"
"107",2022-10-09," 8","13","Alter Ego Celeste","Lose"
"108",2022-10-08," 14","12","Alter Ego Celeste","Win"
"109",2022-10-01," 13","3","Team SMG","Win"
"110",2022-08-20," 13","3","X Team Bo","Win"
"111",2022-08-17," 13","3","ARF Starlight","Win"
"112",2022-08-13," 13","7","Hero Zero KDA","Win"
"113",2022-05-28," 10","13","Thirsts Red","Lose"
"114",2022-05-06," 13","6","Alter Ego Celeste","Win"
"115",2022-05-01," 13","8","Sovereign","Win"
"116",2022-05-01," 13","8","Gern Puimui","Win"
"117",2022-04-07," 7","13","Bren Esports Victress","Lose"
"118",2022-03-06," 13","10","Alter Ego Celeste","Win"
"119",2022-03-05," 8","13","Alter Ego Celeste","Lose"
"120",2022-11-18," 6","13","Shopify Rebellion GC","Lose"
"121",2022-10-08," 5","13","Alter Ego Celeste","Lose"
"122",2022-10-01," 13","8","Team SMG","Win"
"123",2022-10-01," 13","9","Bren Esports Victress","Win"
